problem,FE,pairs,updates,epochs,movementRMSE,commonRefs,adjacentTargetJump,top10WeightShare,effectiveWeightedPairs,preRMSE,postRMSE,relativeError,noiseRMSE
LIRCMOP5_BC,5200,12,200,200,NaN,0,0.0947254417545812,0.302195083842049,8.98826913915234,0.272212740790336,0.213151752521252,2.41527905299685,0.0324125535495697
LIRCMOP5_BC,5400,14,20,20,0.0678961773443411,4,0.0919612203209938,0.333008392791953,9.09831778923684,0.215776721512393,0.209249227794518,2.49674512049994,0.0340515428472035
LIRCMOP5_BC,5600,23,20,10,0.0905524116361649,4,0.0937380960617319,0.431407064161387,9.37523202805179,0.213294157178588,0.206888676641919,2.62113129204203,0.0343343430152967
LIRCMOP5_BC,5800,25,20,10,0.0495462720451793,12,0.101242763140434,0.403486515261086,11.5552670854874,0.207439522121705,0.201155441562475,2.69796555360295,0.0341018618435194
LIRCMOP5_BC,6000,27,20,10,0.0461375026183389,21,0.102905431071161,0.336570089097488,14.4699542800064,0.20119147682434,0.194462920384748,2.89055560664023,0.0338733173791592
LIRCMOP5_BC,6200,36,20,6.66666666666667,0.0765061934749674,6,0.101325757310944,0.333626545855444,19.3579407086696,0.192944820765264,0.186736191434853,2.64626443926639,0.0339273532291998
LIRCMOP5_BC,6400,39,20,6.66666666666667,0.0881625675346202,16,0.102092484290452,0.290251842694794,22.7545791023698,0.184504847809613,0.178030321750543,2.6315768074477,0.0343676344395798
LIRCMOP5_BC,6600,42,20,6.66666666666667,0.111048608396808,16,0.10444510458893,0.331615109432121,24.2010413605414,0.179501697096592,0.172868440125799,2.55082529090162,0.0340707274282002
LIRCMOP5_BC,6800,39,20,6.66666666666667,0.10155212479329,20,0.0982500839362974,0.324605508929204,21.6099051850201,0.171206486889728,0.164691662153362,2.43051499119372,0.0344732347665137
LIRCMOP5_BC,7000,43,20,6.66666666666667,0.104629176241903,23,0.109782363052749,0.309954868115005,25.8973080844933,0.168055519925851,0.16131781630521,2.4943944061667,0.0343261046200182
LIRCMOP5_BC,7200,14,20,20,0.0991356662017854,8,0.0932305423585475,0.284694788856548,11.0156215877417,0.149761880784014,0.143654438835249,2.33804803676275,0.0349437429635122
LIRCMOP5_BC,7400,17,20,10,0.0958592417861256,3,0.0967775983843202,0.49663096890124,6.60560774432958,0.148895557883128,0.14282934911986,3.07943436440123,0.0350539915613756
LIRCMOP5_BC,7600,18,20,10,0.096433035990225,10,0.0967747015811478,0.508943106988427,5.76470729882238,0.145013611031808,0.139367202086272,2.56364124188695,0.0343390999266605
LIRCMOP5_BC,7800,21,20,10,0.116685089823369,3,0.102858653374126,0.529708618265493,6.81565399427468,0.140098643279843,0.136126256631319,2.4058155141882,0.0335051419820507
LIRCMOP5_BC,8000,23,20,10,0.0932351572687275,8,0.0943962567365812,0.48846925195186,7.82040236762455,0.137270590657526,0.132051238608534,2.31423965241164,0.0345860565070311
LIRCMOP5_BC,8200,26,20,10,0.0855591233851099,9,0.0949899974373416,0.450420950347484,9.1315015659186,0.133690195145445,0.128533908592301,2.27650868387801,0.0335654114057344
