problem,FE,pairs,updates,epochs,movementRMSE,commonRefs,adjacentTargetJump,top10WeightShare,effectiveWeightedPairs,preRMSE,postRMSE,relativeError,noiseRMSE
LIRCMOP6_BC,5400,8,200,200,NaN,0,0.108931023138581,0.224905834518906,7.0740272160268,0.304018539348257,0.242324417634367,2.11184252745208,0.0352639486031229
LIRCMOP6_BC,5600,11,20,20,0.0404319718429939,3,0.103851115967003,0.347991420480344,8.96708006892471,0.239275726946874,0.231893350289406,2.14043529901622,0.0351930034116299
LIRCMOP6_BC,5800,13,20,20,0.0993068614978889,2,0.114631745821387,0.270142105115433,11.3112741894581,0.237289878663487,0.229723114971403,2.22782031056257,0.034983895276681
LIRCMOP6_BC,6000,16,20,20,0.12428786065634,5,0.118716223926869,0.284794092875057,12.2998566614115,0.230564957775521,0.222775696297048,2.24963879874593,0.036845007596639
LIRCMOP6_BC,6200,18,20,10,0.1230227202112,2,0.126910696565648,0.246616752990513,14.0073523778833,0.221731134425763,0.215008250249977,2.09162336280852,0.0368174146253087
LIRCMOP6_BC,6400,21,20,10,0.0895374341176492,5,0.125122212724214,0.291036169139953,16.6045119395326,0.214100032256525,0.206818364237569,2.05496554129886,0.0363085784205276
LIRCMOP6_BC,6600,10,20,20,NaN,0,0.128536533384164,0.222060988604801,7.93388620249876,0.198172665478552,0.189944636571818,2.13620001456763,0.0371136098818541
LIRCMOP6_BC,6800,11,20,20,0.0995069820460596,3,0.118811530116411,0.352537100209474,8.56769083092067,0.191449552995211,0.184013648517282,2.0453368290798,0.036411804261543
LIRCMOP6_BC,7000,11,20,20,0.128087676591949,2,0.109916290922623,0.34015186211975,9.21544335898675,0.18865583285276,0.181364802386823,1.81606507890046,0.0361469446332106
LIRCMOP6_BC,7200,14,20,20,0.118577113713077,2,0.116701649773512,0.245641555941994,12.0529869711141,0.17342914304151,0.165417476865418,1.78362003171306,0.0368492589676026
