problem,run,mode,sigma,iter,reconstructionWeight,repeat,n,dec_rmse,obj_dist50,obj_dist90,feasible_rate
DASCMOP4_BC,1,true_train,0,NaN,NaN,NaN,17,0,0,0,1
DASCMOP4_BC,1,perturb,0.01,NaN,NaN,1,17,0.0102857680429891,0.380368739373165,0.603435422863156,0
DASCMOP4_BC,1,overfit,0,2,20,1,17,0.143368929728734,2.47938159288378,2.48908529081635,0
