problem,run,target_FE,actual_FE,gen,bmem_count,chain_count,train_count,query_count,raw_generated_count,feasible_generated_count,boundary_dist50,boundary_dist90,query_width90,feasible_rate
DASCMOP1_BC,1,10000,10028,45,13,2,13,5,20,16,0.0955864892080927,0.312624844535871,0.0107989210676764,0.8
DASCMOP1_BC,1,30000,30048,136,20,1,20,5,20,11,0.0111419632512275,0.0271647615043922,0.00451940142710964,0.55
DASCMOP1_BC,1,50000,50068,227,30,3,30,5,20,0,0.0497829283260865,0.0925386076874498,0.00490299250264265,0
DASCMOP1_BC,1,70000,70088,318,30,3,30,5,20,0,0.0386629313884553,0.0541571759479549,0.00390509338039153,0
DASCMOP1_BC,1,100000,100008,454,33,4,33,5,20,8,0.0155647714832795,0.0383521296250045,0.00374161835271479,0.4
DASCMOP2_BC,1,10000,10020,45,15,3,15,5,20,4,0.195906409541884,0.51355493396291,0.0448122475624415,0.2
DASCMOP2_BC,1,30000,30040,136,39,7,39,5,20,3,0.054992723778227,0.0953630993963125,0.00466056194380875,0.15
DASCMOP2_BC,1,50000,50060,227,49,3,49,5,20,16,0.0592874630148749,0.269352927545955,0.00668202593157821,0.8
DASCMOP2_BC,1,70000,70080,318,47,4,47,5,20,5,0.0344965049804959,0.0568089248863774,0.0034275823034061,0.25
DASCMOP2_BC,1,100000,100000,454,48,5,48,5,20,4,0.120596323566929,0.149015724376925,0.00475750419020796,0.2
DASCMOP4_BC,1,10000,10096,48,21,7,21,5,20,0,1.38423066175222,2.07604434233858,0.176654197624559,0
DASCMOP4_BC,1,30000,30116,139,27,5,27,5,20,12,0.0697010186240488,0.169810451032652,0.0074849725729708,0.6
DASCMOP4_BC,1,50000,50136,230,27,4,27,5,20,13,0.0558404251850767,0.121596026753642,0.00865901086267195,0.65
DASCMOP4_BC,1,70000,70156,321,21,5,21,5,20,0,0.31140559809135,0.428721113549221,0.0151945528297045,0
DASCMOP4_BC,1,100000,100076,457,21,5,21,5,20,0,1.3082374476516,1.37489331049621,0.0439089855265285,0
DASCMOP5_BC,1,10000,10000,49,0,0,0,0,0,0,NaN,NaN,NaN,NaN
DASCMOP5_BC,1,30000,30000,149,0,0,0,0,0,0,NaN,NaN,NaN,NaN
DASCMOP5_BC,1,50000,50000,249,0,0,0,0,0,0,NaN,NaN,NaN,NaN
DASCMOP5_BC,1,70000,70132,346,14,3,14,5,20,0,0.402674645097268,0.492595088300912,0.0117738158030886,0
DASCMOP5_BC,1,100000,100052,482,15,5,15,5,20,0,0.75680150556639,0.788386208004975,0.0238725102737297,0
LIRCMOP5_BC,1,10000,10092,48,36,12,36,5,20,0,0.0173088405759054,0.0223841884643608,0.00137596672465576,0
LIRCMOP5_BC,1,30000,30112,139,19,3,19,5,20,4,0.00936443459153715,0.18638018482909,0.00463255621357639,0.2
LIRCMOP5_BC,1,50000,50132,230,25,6,25,5,20,4,0.0240054395132795,0.0275802488066489,0.0027680087279534,0.2
LIRCMOP5_BC,1,70000,70152,321,62,12,62,5,20,16,0.00878080775952212,0.0235040860508039,0.0033371842771061,0.8
LIRCMOP5_BC,1,100000,100072,457,67,13,67,5,20,20,0.00167462675379986,0.00396078564194276,0.000213602811529067,1
LIRCMOP6_BC,1,10000,10108,49,15,5,15,5,20,4,0.0106189354117328,0.014623917786122,0.00085582109118468,0.2
LIRCMOP6_BC,1,30000,30128,140,39,8,39,5,20,1,0.00559572606307391,0.0229088408703903,0.00256035653169299,0.05
LIRCMOP6_BC,1,50000,50148,231,58,11,58,5,20,8,0.0307076118422128,0.0764947920273308,0.00546364480823525,0.4
LIRCMOP6_BC,1,70000,70168,322,35,10,35,5,20,20,0.216265483178988,0.244224533095777,0.0106166256410393,1
LIRCMOP6_BC,1,100000,100088,458,54,14,54,5,20,4,0.0531060511199946,0.366476416354128,0.00656304634882036,0.2
LIRCMOP7_BC,1,10000,10112,47,39,15,39,5,20,13,0.0219360960679425,0.0300513012789864,0.00324065599555848,0.65
LIRCMOP7_BC,1,30000,30132,138,44,12,44,5,20,20,0.136698484275094,0.148462362008696,0.00554930964471408,1
LIRCMOP7_BC,1,50000,50152,229,22,3,22,5,20,8,0.0587721171571939,0.22734959988962,0.00425591519904676,0.4
LIRCMOP7_BC,1,70000,70172,320,65,10,65,5,20,4,0.0137150052556183,0.0383069857009763,0.00286716424816304,0.2
LIRCMOP7_BC,1,100000,100092,456,85,11,85,5,20,1,0.0204816887722117,0.0462568879987877,0.00217372997454108,0.05
LIRCMOP8_BC,1,10000,10144,48,38,8,38,5,20,0,0.0121138776502613,0.0172599421747468,0.00323545911564531,0
LIRCMOP8_BC,1,30000,30164,139,54,13,54,5,20,6,0.00916625390816852,0.0258328788305727,0.00106012395956202,0.3
LIRCMOP8_BC,1,50000,50184,230,48,16,48,5,20,20,0.104118458638064,0.136657220451231,0.0181541995505629,1
LIRCMOP8_BC,1,70000,70204,321,72,17,72,5,20,8,0.0103428437209134,0.063602196405429,0.000837648111378461,0.4
LIRCMOP8_BC,1,100000,100124,457,62,11,62,5,20,5,0.00934135101655042,0.0215480655886174,0.00229098723058197,0.25
LIRCMOP9_BC,1,10000,10004,46,8,3,8,5,20,4,0.000540275187241029,0.0731921492230777,0.00022176216357939,0.2
LIRCMOP9_BC,1,30000,30016,137,10,2,10,5,20,20,0.00444877293203135,0.0049642384117098,9.4284952592596e-05,1
LIRCMOP9_BC,1,50000,50036,228,22,6,22,5,20,20,0.0222607008908903,0.0448005395022984,0.0191331767767762,1
LIRCMOP9_BC,1,70000,70056,319,24,5,24,5,20,20,0.00390030441830421,0.0779230345099423,0.00713596445790706,1
LIRCMOP9_BC,1,100000,100196,456,14,4,14,5,20,20,0.002503449245963,0.0141408895107047,0.00051309075726292,1
LIRCMOP10_BC,1,10000,10200,47,10,2,10,5,20,20,0.0178082999714346,0.0377966838005076,0.0069652382590204,1
LIRCMOP10_BC,1,30000,30000,137,14,6,14,5,20,9,0.00283416036900884,0.28111524381525,0.00142073034627446,0.45
LIRCMOP10_BC,1,50000,50020,228,15,6,15,5,20,20,0.00226817730723858,0.00871910522558263,0.000868401103783197,1
LIRCMOP10_BC,1,70000,70040,319,35,7,35,5,20,20,0.00159998988734743,0.00179449059759852,0.000819120603673746,1
LIRCMOP10_BC,1,100000,100180,456,43,8,43,5,20,20,0.000556418880103212,0.00132732987674105,0.000526119064861613,1
