setting,variant,condition_mode,advWeight,reconstructionWeight,nGen,zDim,ganIter,ganMiniBatch,trainMode,trainZMode,sampleZMode,maxCandidatePairsPerRef,networkPreset,generatorHidden,discriminatorHidden,problem,run,target_FE,actual_FE,gen,bmem_count,boundary_count,bmem_ref_coverage,finite_gap_count,inf_gap_count,median_gap,max_gap,train_count,query_count,condition_dim,train_param_ratio,gan_sample_reuse,train_pair_dec_dist50,train_pair_dec_dist90,train_tau_iqr,train_tau_range,train_tau_nonzero_rate,train_x_rec90,train_y_rec90,sample_z_mode,missing_ref_query_count,large_gap_query_count,raw_generated_count,feasible_generated_count,generated_per_train,boundary_dist50,boundary_dist90,query_width90,segment_width90,segment_width90_ratio,side_rate,pair_margin50,ref_cover,query_obj_dist50,query_obj_dist90,missing_ref_query_obj_dist90,large_gap_query_obj_dist90,feasible_rate,boundary_sample_current_count,boundary_sample_prev_pair_count,boundary_sample_merged_count,boundary_sample_finite_count,boundary_feasible_count,boundary_infeasible_count,boundary_main_feasible_count,boundary_ref_with_main_feasible_count,boundary_ref_with_neighbor_infeasible_count,boundary_ref_pairable_count,boundary_pair_distance_count,boundary_pair_dominated_skip_count,boundary_pair_appended_count,boundary_candidate_raw_count,boundary_candidate_finite_count,boundary_candidate_pareto_count,boundary_candidate_gap_count,boundary_candidate_dedup_count,boundary_candidate_final_count,dataset_bmem_input_count,dataset_valid_train_count,dataset_invalid_train_count,dataset_query_count
B_ref_huber_compact_epoch20,B_ref_huber_compact_epoch20,ref_only,1,1,30,2,20,32,epoch,zero,zero,3,compact,32:32,32:16,LIRCMOP5_BC,1,70000,70042,308,66,1,0.23,66,0,0.0376350989628175,0.125166181714174,66,30,2,0.0173364854215918,19.3939393939394,0.200959599796223,0.387021178775625,0.198945007767096,0.981955522692831,0.772727272727273,0.564301147113602,4.59034132703647,zero,30,0,30,27,0.454545454545455,0.158761533561103,0.373007992761859,0,0.41562780748366,NaN,0.4,-0.0358581554588825,0.173913043478261,0.220096315866156,0.439890086985228,0.439890086985228,NaN,0.9,400,45,490,490,313,177,189,25,100,25,4195,546,74,74,74,67,66,66,66,66,66,0,30
B_ref_huber_compact_epoch20,B_ref_huber_compact_epoch20,ref_only,1,1,30,2,20,32,epoch,zero,zero,3,compact,32:32,32:16,LIRCMOP5_BC,1,100000,100172,439,63,1,0.21,63,0,0.00795067369210204,0.0145337487231959,63,30,2,0.016548463356974,20.3174603174603,0.113131519592285,0.166602167429199,0.201087676035236,0.423573058924328,0.666666666666667,0.173665884676879,0.369361195481323,zero,30,0,30,1,0.476190476190476,0.0122126108504106,0.0138644850972792,0,0.0303734659214857,NaN,0.633333333333333,0.000989051540556105,0.0952380952380952,0.0226600387922164,0.0353961245732933,0.0353961245732933,NaN,0.0333333333333333,400,62,524,524,346,178,255,77,100,77,4263,2140,78,78,78,70,63,63,63,63,63,0,30
B_ref_huber_compact_epoch20,B_ref_huber_compact_epoch20,ref_only,1,1,30,2,20,32,epoch,zero,zero,3,compact,32:32,32:16,LIRCMOP6_BC,1,10000,10039,48,43,1,0.15,43,0,0.00365718117022242,0.00961861549769101,43,30,2,0.0112949829261886,29.7674418604651,0.285278136239787,0.407747962720677,0,0.919375683035168,0.13953488372093,1.46803933051404,17.6945026111324,zero,25,5,30,30,0.697674418604651,0.255925110046467,0.263752323689957,0,0.26391127312449,NaN,0.566666666666667,0.00808115620610694,0.8,0.262862182582646,0.264193687177143,0.264062008825077,0.26503563418028,1,400,42,484,484,432,52,198,53,46,20,1071,0,55,55,55,55,43,43,43,43,43,0,30
B_ref_huber_compact_epoch20,B_ref_huber_compact_epoch20,ref_only,1,1,30,2,20,32,epoch,zero,zero,3,compact,32:32,32:16,LIRCMOP6_BC,1,30000,30049,135,107,1,0.36,107,0,0.00197399557340312,0.00594123358213904,107,30,2,0.0281061203047019,11.9626168224299,0.281246944933598,0.433252351036664,0,0.48020086936425,0.196261682242991,0.394234161554051,1.0628487116305,zero,16,14,30,0,0.280373831775701,0.00912650368228829,0.00979772025473838,0,0.0204044418109066,NaN,0.666666666666667,0.0134045058703084,0,0.0172592699584923,0.0211263775715673,0.0213101857897335,0.0210165929588455,0,400,113,626,626,461,165,281,59,70,39,6005,11,114,114,114,114,107,107,107,107,107,0,30
B_ref_huber_compact_epoch20,B_ref_huber_compact_epoch20,ref_only,1,1,30,2,20,32,epoch,zero,zero,3,compact,32:32,32:16,LIRCMOP6_BC,1,50000,50059,222,162,1,0.54,162,0,0.00125465993774691,0.00490411583543665,162,30,2,0.0425531914893617,7.90123456790123,0.420941837448539,0.692001263381534,0,1,0.111111111111111,0.480223513114228,0.950440629539652,zero,24,6,30,0,0.185185185185185,0.0127015693094158,0.0141613914484747,0,0.0187854444397056,NaN,0.6,0.075860876155664,0,0.0166699891030287,0.0191524322920548,0.0193217659779283,0.0182923968592266,0,400,162,724,724,448,276,290,68,93,64,6886,0,191,191,191,188,162,162,162,162,162,0,30
B_ref_huber_compact_epoch20,B_ref_huber_compact_epoch20,ref_only,1,1,30,2,20,32,epoch,zero,zero,3,compact,32:32,32:16,LIRCMOP6_BC,1,70000,70069,309,216,1,0.72,216,0,0.00162557755426124,0.004842012201458,216,30,2,0.0567375886524823,5.92592592592593,0.432561130267537,0.80478045571162,0,1,0.152777777777778,0.596066908895585,0.718972541366337,zero,24,6,30,2,0.138888888888889,0.00655785455880213,0.00933577182163339,0,0.0107571291960868,NaN,0.433333333333333,-0.014300640056074,0.0416666666666667,0.00714814240116181,0.011315356498546,0.0116002071479414,0.00905197862727294,0.0666666666666667,400,225,850,850,461,389,361,78,100,78,13183,3,234,234,234,234,216,216,216,216,216,0,30
B_ref_huber_compact_epoch20,B_ref_huber_compact_epoch20,ref_only,1,1,30,2,20,32,epoch,zero,zero,3,compact,32:32,32:16,LIRCMOP6_BC,1,100000,100199,440,225,1,0.75,225,0,0.00273646539132443,0.00754289743438198,225,30,2,0.0591016548463357,5.68888888888889,0.533701273072668,0.99781182592298,0,1,0.0666666666666667,0.918466560357795,1.36515989262965,zero,25,5,30,1,0.133333333333333,0.00463479935341119,0.00872591098060143,0,0.0147338688377985,NaN,0.533333333333333,0.0164285641687896,0.0266666666666667,0.0129448980814365,0.0153630533778449,0.0142506510931818,0.0219379555231314,0.0333333333333333,400,237,874,874,435,439,356,78,100,78,14148,0,234,234,234,234,225,225,225,225,225,0,30
B_ref_huber_compact_epoch20,B_ref_huber_compact_epoch20,ref_only,1,1,30,2,20,32,epoch,zero,zero,3,compact,32:32,32:16,LIRCMOP7_BC,1,10000,10133,46,90,1,0.31,90,0,0.00812520443780624,0.0206772729822528,90,30,2,0.0236406619385343,14.2222222222222,0.258894593882996,0.396452838656387,0,0.384629542918743,0.122222222222222,0.882479296910263,4.05514487460342,zero,30,0,30,30,0.333333333333333,0.037987032160112,0.0412889641369057,0,0.0504407224035866,NaN,0.6,0.00956284024487503,0.290322580645161,0.0457181492938819,0.0526943753058611,0.0526943753058611,NaN,1,400,69,538,538,386,152,178,45,94,39,2442,167,114,114,114,106,90,90,90,90,90,0,30
B_ref_huber_compact_epoch20,B_ref_huber_compact_epoch20,ref_only,1,1,30,2,20,32,epoch,zero,zero,3,compact,32:32,32:16,LIRCMOP7_BC,1,30000,30143,133,163,1,0.55,163,0,0.00140391656671415,0.00423429517111496,163,30,2,0.042815865510901,7.85276073619632,0.224308574318807,0.355558990905142,0,0.827494428686611,0.184049079754601,0.279023313547176,0.422356179045231,zero,30,0,30,3,0.184049079754601,0.000587263287665072,0.0018670045387303,0,0.00297295506312424,NaN,0.333333333333333,-0.0356839233034149,0.0363636363636364,0.00329842837546775,0.0163455856732321,0.0163455856732321,NaN,0.1,400,187,774,774,408,366,322,61,100,61,13879,5,183,183,183,182,163,163,163,163,163,0,30
B_ref_huber_compact_epoch20,B_ref_huber_compact_epoch20,ref_only,1,1,30,2,20,32,epoch,zero,zero,3,compact,32:32,32:16,LIRCMOP7_BC,1,50000,50116,220,39,1,0.13,39,0,0.000994531144535411,0.00517158896890181,39,30,2,0.0102442868400315,32.8205128205128,0.25910260623796,0.422409946803277,0,0.876070660040111,0.0512820512820513,0.313532893317653,0.648982737871341,zero,11,19,30,4,0.769230769230769,0.0023192905191611,0.00823906032342949,0,0.00890275271108203,NaN,0.933333333333333,0.0676067424047908,0.307692307692308,0.00669077132139335,0.00901964506247152,0.00702651022076699,0.0091430936679546,0.133333333333333,400,31,462,462,349,113,192,54,34,15,3689,6,42,42,42,42,39,39,39,39,39,0,30
