updates,seconds,prototypeRMSE,objectiveGap,seenObjectiveGap,unseenObjectiveGap,offlineFullFE,arm,problem,hiddenWidth
0,0.000561041666666667,0.345186748055185,24.0374838091008,23.9450689107851,24.3301309871008,200,original,LIRCMOP7_BC,128
1000,9.98466729166667,0.109225929323126,0.142909924765655,0.146085065704984,0.132855311791114,200,original,LIRCMOP7_BC,128
5000,27.8856871666667,0.100735979315184,0.150607051311668,0.148977624446796,0.155766903050429,200,original,LIRCMOP7_BC,128
10000,48.5212775833333,0.100591211985879,0.128948344910069,0.125956981054481,0.138420997119432,200,original,LIRCMOP7_BC,128
