problem,run,seed,target_FE,actual_FE,generation,query_mode,train_count,prev_bmem_candidate_count,prev_bmem_survivor_count,raw_generated_count,feasible_rate,gap_ratio50,gap_ratio90,near_boundary_rate_gap1,better_than_random_gap_rate,sample_feasible_count,sample_infeasible_count
LIRCMOP5_BC,3,3,10000,10000,49,boundary_populated,8,0,0,0,NaN,NaN,NaN,NaN,NaN,399,1
LIRCMOP5_BC,3,3,30000,30182,137,boundary_populated,102,108,88,30,0.3,1.61375826398325,8.73812336548414,0.366666666666667,1,298,102
LIRCMOP5_BC,3,3,50000,50192,224,boundary_populated,53,99,38,30,0.3,2.68231816503425,13.2463313644781,0.2,1,199,201
LIRCMOP5_BC,3,3,70000,70078,315,boundary_populated,2,7,0,0,NaN,NaN,NaN,NaN,NaN,257,143
LIRCMOP5_BC,3,3,100000,100200,461,boundary_populated,32,27,22,20,0.05,4.8064768076932,11.0147375444695,0.05,1,262,138
LIRCMOP6_BC,3,3,10000,10156,48,boundary_populated,138,120,121,30,0.8,2.69783633131273,13.6721439064097,0.233333333333333,1,367,33
LIRCMOP6_BC,3,3,30000,30120,135,boundary_populated,124,115,112,30,0.166666666666667,1.08942278728811,3.38812607340414,0.466666666666667,1,349,51
LIRCMOP6_BC,3,3,50000,50130,222,boundary_populated,71,86,61,30,0.233333333333333,0.767605228971536,2.64235629000542,0.6,1,356,44
LIRCMOP6_BC,3,3,70000,70140,309,boundary_populated,139,136,121,30,0.333333333333333,2.18964076281477,6.28843044686745,0.366666666666667,1,284,116
LIRCMOP6_BC,3,3,100000,100074,441,boundary_populated,35,45,20,22,0.227272727272727,1.17603250542222,4.52658171358245,0.409090909090909,1,252,148
LIRCMOP7_BC,3,3,10000,10080,47,boundary_populated,153,147,136,30,0.5,0.943826603576705,4.10422744447404,0.533333333333333,1,361,39
LIRCMOP7_BC,3,3,30000,30090,134,boundary_populated,116,88,91,30,0.266666666666667,0.583123502289845,1.89681881290866,0.733333333333333,1,313,87
LIRCMOP7_BC,3,3,50000,50088,221,boundary_populated,99,81,60,30,0.233333333333333,1.28003567508819,4.6005691546934,0.433333333333333,1,235,165
LIRCMOP7_BC,3,3,70000,70098,308,boundary_populated,157,175,141,30,0.133333333333333,1.58527805847158,3.53645067601947,0.333333333333333,1,188,212
LIRCMOP7_BC,3,3,100000,100228,439,boundary_populated,171,161,148,30,0.133333333333333,1.10369489990219,3.97604997812013,0.4,1,149,251
LIRCMOP8_BC,3,3,10000,10084,46,boundary_populated,114,123,103,30,0.433333333333333,1.01204665489468,4.75949100015232,0.5,1,347,53
LIRCMOP8_BC,3,3,30000,30092,133,boundary_populated,67,70,51,30,0.266666666666667,1.17443720651572,2.47100954457571,0.466666666666667,1,306,94
LIRCMOP8_BC,3,3,50000,50042,220,boundary_populated,72,67,61,30,0.4,0.261878929509785,1.52348981998298,0.833333333333333,1,354,46
LIRCMOP8_BC,3,3,70000,70050,307,boundary_populated,83,70,73,30,0.166666666666667,1.2565548678739,5.1149235948662,0.4,1,339,61
LIRCMOP8_BC,3,3,100000,100180,438,boundary_populated,126,134,105,30,0.2,0.794947461461566,2.22551877626725,0.566666666666667,1,210,190
LIRCMOP9_BC,3,3,10000,10110,49,boundary_populated,22,15,14,0,NaN,NaN,NaN,NaN,NaN,238,162
LIRCMOP9_BC,3,3,30000,30210,144,boundary_populated,54,54,23,24,0.833333333333333,0.0863897927833028,2.49191374279163,0.833333333333333,1,291,109
LIRCMOP9_BC,3,3,50000,50134,235,boundary_populated,50,44,16,20,0.6,0.326686593126688,4.64203675600547,0.8,1,254,146
LIRCMOP9_BC,3,3,70000,70124,326,boundary_populated,44,52,24,18,0.722222222222222,0.391614030239352,80.6090619975279,0.666666666666667,1,218,182
LIRCMOP9_BC,3,3,100000,100132,459,boundary_populated,59,54,29,28,0.607142857142857,5.08958854260821,137.163542527183,0.392857142857143,1,205,195
LIRCMOP10_BC,3,3,10000,10074,48,boundary_populated,34,32,29,16,0.8125,17.5292036917933,133.133306546718,0.0625,1,296,104
LIRCMOP10_BC,3,3,30000,30220,143,boundary_populated,60,60,18,24,0.541666666666667,0.169659013313301,24.0041883585999,0.625,1,277,123
LIRCMOP10_BC,3,3,50000,50020,230,boundary_populated,71,78,42,30,0.5,1.30530934269103,83.4118777894783,0.466666666666667,1,260,140
LIRCMOP10_BC,3,3,70000,70198,318,boundary_populated,75,79,44,30,0.466666666666667,0.662444362177287,26.5569669438231,0.633333333333333,1,244,156
LIRCMOP10_BC,3,3,100000,100096,448,boundary_populated,113,109,80,30,0.4,1.0390439159021,20.571831872438,0.466666666666667,1,245,155
