addedUpdates,distanceBefore,distanceAfter,distanceChange,fullVsAdversarialCosine,fullVsUsedCosine,adamDirectionalDerivative,adamStepNorm,adversarialGradientNorm,distanceGradientNorm,usedGradientNorm
1,0.607987167217591,0.606012820230422,-0.00197434698716925,-0.24251215364017,0.728814061268548,-0.00203513919963146,0.00468122098338375,1.05225631482217,0.761871294068838,1.05225627265518
2,0.606012820230422,0.603898647649036,-0.00211417258138635,0.038489474633654,0.854287440061612,-0.00219646215630725,0.00492461011535045,1.1438994321637,0.731283543636801,1.14389946650363
3,0.603898647649036,0.602691002872937,-0.00120764477609892,0.276951281032906,0.822411052924568,-0.00123187269174718,0.00298347622760104,0.715542421920257,0.850353247568036,0.715542445618582
4,0.602691002872937,0.600751206020705,-0.00193979685223167,0.575617516297129,0.83005995692437,-0.00202398381856077,0.00480173767606577,1.24967958743983,0.869234897646755,1.24967956202164
5,0.600751206020705,0.599075788519525,-0.00167541750118039,0.108731668046544,0.651452270879595,-0.00175226547890318,0.00601619226762008,1.72057575993591,0.846093644435846,1.7205757591313
20,0.58649282383906,0.585905116571701,-0.000587707267358795,0.113931745174103,0.461073954345923,-0.000697216074430788,0.00572362699856027,1.60543223822663,0.963144886893496,1.60543226231359
40,0.579038349641541,0.578687089073123,-0.0003512605684175,0.151423007494138,0.755929586438792,-0.000416871461594152,0.0041103755717353,1.22420589034438,0.82489122970021,1.2242059174096
60,0.57491917432991,0.574668281486387,-0.000250892843523198,-0.100883335751338,0.667074571506922,-0.000289862945355582,0.00387974033323851,1.09462387971355,0.51558492743329,1.09462387576355
80,0.571433989358807,0.5712706696029,-0.000163319755907887,0.0441755491196048,0.417858990803798,-0.000256447985655783,0.00444178761978225,1.29331803364559,0.637856038425993,1.29331799996244
100,0.568960475464271,0.5688769247719,-8.35506923713147e-05,-0.138666909369187,0.060811634600768,-0.000181188000546234,0.00561824998549638,1.42384056059988,0.509789108287582,1.4238406067586
120,0.566630879846364,0.56650988464895,-0.000120995197413598,0.282594835941432,0.535901073353875,-0.000196881942297325,0.00398800493755449,1.22077090351996,0.685532524343841,1.22077089338342
140,0.56591158853065,0.565647116878766,-0.000264471651884479,-0.475599672247534,0.531682463479195,-0.000329222511109831,0.0051556728036791,1.58298113011664,0.409604392581561,1.58298112885562
160,0.56351899792992,0.563540589877264,2.15919473444126e-05,-0.318133058853637,0.124194118306978,-7.06624409654085e-05,0.00522427699081462,1.37460543920326,0.557942969770269,1.37460545288679
180,0.562395214774122,0.562511849233339,0.000116634459217835,-0.316170786587904,-0.0986676358674084,4.09452012178207e-05,0.00472204064299327,1.35564717892001,0.419641750771785,1.35564716618102
200,0.561377567109351,0.561174651272167,-0.000202915837183348,0.393415607272232,0.719264199035913,-0.000282740899226746,0.00416735935942728,1.49288763313446,0.727370986487368,1.49288768954995
220,0.560101223038923,0.560290005620905,0.000188782581981517,-0.508140374929493,-0.12198658282638,4.73240655113511e-05,0.00504638614796219,1.54236503731888,0.787707630718014,1.54236502173889
240,0.559106731975842,0.559082916346424,-2.38156294176672e-05,-0.0949602225339147,0.124948638380339,-6.61779281326952e-05,0.00392814319411227,1.15456652546874,0.508370609239668,1.15456657615213
260,0.558463421183349,0.558522987988073,5.95668047244091e-05,0.0753333381659625,-0.210872680067485,1.30574570541814e-06,0.00488032653358346,1.26638798118591,0.496087818773725,1.26638799926869
280,0.557354720759514,0.557235150011366,-0.000119570748148501,0.105337223826109,0.366512175837831,-0.000193279256734327,0.00571941569657564,1.5027786631125,0.366560486043385,1.50277857344658
300,0.556604314581,0.556485988635242,-0.000118325945758557,0.144458785621238,0.680730878389963,-0.000174608911200939,0.00337212092308376,1.27671252532237,0.905191023020457,1.27671253244223
320,0.555623160505182,0.555690590123791,6.74296186090606e-05,-0.160253016640302,-0.117598913346299,9.43916691058634e-06,0.00473463013294814,1.34972264303938,0.463115690938372,1.34972263085801
340,0.555537904294599,0.555352878996766,-0.000185025297832264,0.108070366259765,0.485327421274857,-0.000235612169655625,0.00376990278849268,1.20667017034736,0.531245019085876,1.20667017666353
360,0.554306705447709,0.554242011011888,-6.46944358204671e-05,0.293696286591697,0.129149617760256,-0.000113522425483619,0.00393031757639829,1.11951825851312,0.545519364551331,1.11951826141329
380,0.553933894739349,0.553884666997833,-4.92277415157227e-05,-0.22208426852324,0.339486562881293,-0.000164338513084209,0.00548540994865569,1.63963142154493,0.531805783662873,1.63963137568529
400,0.553107548401318,0.553276686858957,0.000169138457639328,-0.0705727482199071,-0.422701975362547,9.0997782529873e-05,0.00374351642181274,1.32916152549234,0.80670447858976,1.32916153949949
420,0.552341734585277,0.552212082640667,-0.00012965194461001,0.055356362906828,0.3686615324856,-0.000243606911212622,0.004957123033856,1.42078154893995,0.442105683866628,1.4207815723041
440,0.551752857671601,0.551836996606074,8.41389344732324e-05,-0.363752575727965,0.0640318475209252,-1.6851799613409e-05,0.00568571276194878,1.61203225038727,0.391143043127752,1.61203226650739
460,0.550966762646223,0.551011973466904,4.52108206813184e-05,-0.33610510008239,0.0379089726995235,-1.7523210957408e-06,0.00404697231139134,1.12168614812608,0.459253034186469,1.12168617046168
480,0.550589478002054,0.550719883972833,0.000130405970778957,-0.437520205912586,-0.395342379430603,4.7491176032972e-05,0.00417567165165095,1.64937745154909,0.775354507469262,1.64937746920159
500,0.550174198161663,0.550030346883628,-0.00014385127803529,-0.498280475917917,0.62731193975761,-0.000227590839073781,0.00454104288568354,1.80169572994613,0.767059935414031,1.8016957663219
520,0.549675821015777,0.549615015024085,-6.08059916925585e-05,0.309085716152028,0.221383806578681,-0.000144361446314511,0.00492228939030217,1.54507610233982,0.522277028450961,1.54507610674667
540,0.549073320930342,0.549057231596875,-1.60893334666401e-05,-0.11173675666916,0.108780971429929,-0.000143503432330478,0.00507601075374021,1.69884212005961,0.771784555660914,1.69884205034322
