exactDistance,weightedDecisionMSE,conditionalVariance,varianceFraction,gradientCosine,objectiveGap,reverseCoverageGap,seenObjectiveGap,conditionalSeenGap,singletonObjectiveGap,multipleObjectiveGap,archiveExcludedObjectiveGap,archiveUnseenObjectiveGap,directionError,seenDirectionError,singletonConditions,multipleConditions,archiveExcludedConditions,archiveUnseenConditions,queryConditions,generatedFeasibleRate,offlineFE,offlineObjRows,offlineConRows,addedUpdates,trainingSeconds,problem,stage,stream,loss
0.60798716545105,0.00385463248424652,0.000255478770335953,0.0662783731990191,-0.55618833842868,0.103238508515442,0.270977753579063,0.0881480356925345,0.417866231177552,0.0881477388411228,0.088150503269894,0.0665388798377826,0.238212276220026,3.30371499657933,3.40447877238108,133,16,27,24,200,0.125,200,400,200,0,0,LIRCMOP7_BC,middle,3,distance
0.586878061294556,0.00361848629099005,0.000255478770335953,0.0706037690323961,-0.131575920606044,0.120956746133403,0.279425788116687,0.0924101752749181,0.436111117296993,0.090571377300894,0.107695183433993,0.0968958626068928,0.325251867513819,2.81950595357079,2.97910157922728,133,16,27,24,200,0.055,200,400,200,20,2.085343,LIRCMOP7_BC,middle,3,distance
0.56182461977005,0.00338413267622999,0.000255478770335953,0.0754931306713905,-0.402733490089748,0.117694286161368,0.272128945683565,0.0786453106345158,0.42678572204324,0.0754990874443415,0.104798290902839,0.104989028161455,0.374416757807145,3.79190211345903,3.98051426238658,133,16,27,24,200,0.025,200,400,200,200,11.2526598333333,LIRCMOP7_BC,middle,3,distance
0.530707180500031,0.00305972391500629,0.000255478770335953,0.0834973276781502,-0.5039499755719,0.101406872799704,0.274857115643257,0.0675826214301796,0.426516892605635,0.0682751163544416,0.0618262573722515,0.0969729468907549,0.316387266699734,3.62605788091642,3.84591119961432,133,16,27,24,200,0.04,200,400,200,2000,92.1435127916666,LIRCMOP7_BC,middle,3,distance
