variant,archiveParetoFilterMode,archivePairDirectionMode,generatorMode,problem,target_FE,GroupCount,mean_has_GAN,mean_AF_size,mean_AI_size,mean_BoundaryHit_all,mean_ObjInterfaceScore,mean_RefCov,mean_DuplicateRate,mean_GAN_to_AF_Dist90,mean_AF_Cover_epsilon,mean_AF_CoverEpsilon,mean_RawGANFeasibleRate,mean_InjectedCount,mean_GAN_to_AF_ObjNN_mean,mean_GAN_to_AF_ObjNN_median,mean_GAN_to_AF_ObjNN_p90,mean_GAN_to_AF_DecNN_mean,mean_GAN_to_AF_DecNN_median,mean_GAN_to_AF_DecNN_p90,mean_RawGANVarClipRate
A1_pair_cd,global_af_nd,ai_dominates_af,pair_cd_conditioned,DASCMOP5_BC,50000,1,1,21,21,1,0,0.13,0,92.7173414449916,0,0.05,0,NaN,55.0156531977364,46.7932858273625,92.7173414449916,0.0475412912698979,0.0182349389627207,0.13546496310278,0
A1_pair_cd,global_af_nd,ai_dominates_af,pair_cd_conditioned,DASCMOP5_BC,70000,1,1,13,13,0,0,0.18,0,125.403786221166,0,0.05,0,NaN,115.559844497597,115.271696507478,125.403786221166,0.0651613329958653,0.0615218477905145,0.0758414217827114,0
A1_pair_cd,global_af_nd,ai_dominates_af,pair_cd_conditioned,DASCMOP5_BC,100000,1,1,96,96,0,0,0.09,0,60.143933347502,0,0.05,0,NaN,54.0193283844817,53.712774136026,60.143933347502,0.0675030379953683,0.0674322760486708,0.0709896255711476,0
A1_pair_cd,global_af_nd,ai_dominates_af,pair_cd_conditioned,LIRCMOP10_BC,10000,1,1,16,16,1,0,0.75,0,2.56574229450456,0,0.05,1,NaN,2.55175064346046,2.55324767179671,2.56574229450456,0.0192447457791201,0.0192065715215048,0.0212308600362039,0
A1_pair_cd,global_af_nd,ai_dominates_af,pair_cd_conditioned,LIRCMOP10_BC,30000,1,1,0,0,NaN,0.364200646759728,0.69,0,NaN,NaN,0.05,0.505,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
A1_pair_cd,global_af_nd,ai_dominates_af,pair_cd_conditioned,LIRCMOP10_BC,50000,1,1,1,1,1,0.02,0.59,0,3500881212.27518,0,0.05,0.99,NaN,2747325536.97624,2693565114.7973,3500881212.27518,0.0243608891028947,0.0224973831959044,0.0324915235108047,0
A1_pair_cd,global_af_nd,ai_dominates_af,pair_cd_conditioned,LIRCMOP10_BC,70000,1,1,1,1,1,0,0.47,0,896049527.205665,0,0.05,1,NaN,701767064.499054,684631485.513236,896049527.205665,0.00904614234621758,0.00836681320654029,0.011943620055805,0
A1_pair_cd,global_af_nd,ai_dominates_af,pair_cd_conditioned,LIRCMOP10_BC,100000,1,1,1,1,1,0,0.62,0,67032630.6248734,0,0.05,1,NaN,54051898.6882465,53818383.4550612,67032630.6248734,0.0308431276497959,0.0305939879864906,0.0321870274414313,0
A1_pair_cd,global_af_nd,ai_dominates_af,pair_cd_conditioned,LIRCMOP5_BC,10000,1,1,61,61,0.395,0.00202522877187031,0.68,0,0.708674925372511,0.180327868852459,0.05,0.995,NaN,0.367376342901106,0.315440003450458,0.708674925372511,0.111722777692771,0.111033823723754,0.126114504143181,0
A1_pair_cd,global_af_nd,ai_dominates_af,pair_cd_conditioned,LIRCMOP5_BC,30000,1,1,93,93,0.845,0.0299652834183771,0.77,0,0.430193043873744,0.494623655913978,0.05,0.1,NaN,0.150688678939294,0.109031469045712,0.430193043873744,0.0495785072517523,0.047732504912555,0.0603865710624002,0
A1_pair_cd,global_af_nd,ai_dominates_af,pair_cd_conditioned,LIRCMOP5_BC,50000,1,1,124,124,0.84,0.0228986084870387,0.65,0,0.276887396502443,0.669354838709677,0.05,0.135,NaN,0.166658265582385,0.146104410731516,0.276887396502443,0.0455903738051483,0.0434681264340393,0.0603438647587017,0
A1_pair_cd,global_af_nd,ai_dominates_af,pair_cd_conditioned,LIRCMOP5_BC,70000,1,1,0,0,NaN,0.00367879441171442,0.54,0,NaN,NaN,0.05,0.995,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
A1_pair_cd,global_af_nd,ai_dominates_af,pair_cd_conditioned,LIRCMOP5_BC,100000,1,1,1,1,1,0,0.66,0,28.7351649851338,0,0.05,1,NaN,18.6210293278264,17.8523034273922,28.7351649851338,0.0101859731495734,0.0101236232370194,0.0112419489170339,0
A1_pair_cd,global_af_nd,ai_dominates_af,pair_cd_conditioned,LIRCMOP6_BC,10000,1,0,12,12,NaN,NaN,NaN,NaN,NaN,NaN,0.05,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
A1_pair_cd,global_af_nd,ai_dominates_af,pair_cd_conditioned,LIRCMOP6_BC,30000,1,1,140,140,0.815,0.0129801615002168,0.76,0,0.315474465586736,0.678571428571429,0.05,0.085,NaN,0.177522514803176,0.175519809089828,0.315474465586736,0.0359327375574965,0.0374694958068825,0.0435853810654791,0
A1_pair_cd,global_af_nd,ai_dominates_af,pair_cd_conditioned,LIRCMOP6_BC,50000,1,1,194,194,0.31,0.057409005310948,0.76,0,0.419911430930869,0.56701030927835,0.05,0.295,NaN,0.211635878217199,0.169035000959099,0.419911430930869,0.0544567817503667,0.0517160159324553,0.0703280422571032,0
A1_pair_cd,global_af_nd,ai_dominates_af,pair_cd_conditioned,LIRCMOP6_BC,70000,1,1,234,234,0.765,0.0406782167964035,0.8,0,0.221711032496509,0.752136752136752,0.05,0.255,NaN,0.129538057661856,0.0920412686261921,0.221711032496509,0.0460519290515713,0.0433005479401817,0.0574012745857695,0
A1_pair_cd,global_af_nd,ai_dominates_af,pair_cd_conditioned,LIRCMOP6_BC,100000,1,1,2,2,1,0.0575154440678152,0.59,0,144.06369294309,0,0.05,0.965,NaN,106.686074857051,105.108255455128,144.06369294309,0.0108561988673259,0.0107750115259971,0.0119599458141111,0
