variant,GroupCount,median_train_x_rec50,median_train_x_rec90,median_train_y_rec50,median_train_y_rec90,median_query_y_err50,median_query_y_err90,median_boundary_dist50,median_boundary_dist90,median_pair_violation_rate,median_pair_margin50,median_pair_margin90,median_side_rate,median_feasible_rate,median_segment_width90,median_coverage_by_ref,median_outlier_rate,median_collapse_rate,median_z_sensitivity
V0_Pure_CGAN,18,1.6161424340226,2.52370103979713,0.298610740798004,0.302204257184084,0.293649126543569,0.29910106444686,0.287555694800653,0.294353297903252,0.975,0.00100484783951288,0.0204543560115129,0.6,1,0.296830450780043,0,1,0,0.00100220028350087
V1_CGAN_mismatchD,18,1.67558337729988,2.55166521058034,0.337065637358671,0.338992119044995,0.330190630439249,0.33699078166406,0.318699097452773,0.324918566993316,0.975,0.00165157619764905,0.0199009999242422,0.625,1,0.333074194541709,0,1,0,0.00115775146794647
V2_Adv_Huber,18,1.65798313315972,2.53234879163338,0.327376671346024,0.330668354012944,0.320306639223505,0.327314247971633,0.310247738788813,0.317571727837588,0.975,0.00168826291086815,0.019917243810442,0.65,1,0.320713308918577,0,1,0,0.00117527477040405
V3_Adv_Pair,18,1.69771812528181,2.53668023630702,0.34734566001224,0.349505787443383,0.345373015142788,0.348950875942357,0.335291220623574,0.337970417870008,0.975,0.00171686181880243,0.0200531153381787,0.65,1,0.346636488969007,0,1,0,0.00113813918247207
V4_Full_current,18,1.68018044128281,2.52107541293091,0.336209125880155,0.337273594273081,0.332094073182662,0.336407952449284,0.322852990754839,0.325968437766546,0.975,0.00182687223130606,0.0200385780606668,0.65,1,0.33423911143263,0,1,0,0.00119777161510507
V5_Huber_Pair_no_adv,18,1.76199315439815,2.38870726427653,0.358818343841188,0.368099724490458,0.356120184150075,0.363102764605783,0.345115945458437,0.358944673600781,0.975,0.0024986951608208,0.0200535741372356,0.7,1,0.362923341601001,0,1,0,0.00112675892960708
