variant,problem,GroupCount,median_train_x_rec50,median_train_x_rec90,median_train_y_rec50,median_train_y_rec90,median_query_y_err50,median_query_y_err90,median_boundary_dist50,median_boundary_dist90,median_pair_violation_rate,median_pair_margin50,median_pair_margin90,median_side_rate,median_feasible_rate,median_segment_width90,median_coverage_by_ref,median_outlier_rate,median_collapse_rate,median_z_sensitivity
V0_Pure_CGAN,LIRCMOP10_BC,3,2.36204837963526,2.70357903324148,0.127198791974823,0.141169474350475,0.138654602385194,0.140259807362915,0.128742614783467,0.129671667553058,1,0.0140893931714683,0.0234855816769546,1,1,0.140233048156353,0,1,0,0.000383113209143329
V0_Pure_CGAN,LIRCMOP5_BC,3,1.54077320247284,1.89732508233702,0.326298118192464,0.336774174501632,0.341798699023723,0.342361591771066,0.334595580618226,0.336436777732761,1,-0.068610060493278,-0.0402486125887217,0,1,0.342019765138203,0,1,0,0.001183257710249
V0_Pure_CGAN,LIRCMOP6_BC,3,1.50731422870572,1.6534024884533,0.318361416592424,0.322165943132893,0.309427826861995,0.320576332536471,0.297509299173444,0.298623312826701,0.95,-0.000574395112170278,0.0118067361046434,0.5,1,0.300408590103145,0,1,0,0.000736783673687493
V0_Pure_CGAN,LIRCMOP7_BC,3,1.55075337579211,2.48190420436358,0.30112975343882,0.30770071709422,0.294290381432798,0.304109188321648,0.284793833735097,0.298582781133362,0.8,0.0157025683883169,0.180680496587812,0.75,1,0.304000242618567,0,1,0.1,0.00108754797644382
V0_Pure_CGAN,LIRCMOP8_BC,3,1.64158727223453,2.65377523522363,0.307578348705056,0.314193740774299,0.301904669515739,0.312231984967146,0.293396793201634,0.306386730443279,0.85,-0.0704071636016755,0.0585515204014846,0.3,1,0.312144966680348,0,1,0.25,0.00117781315567125
V0_Pure_CGAN,LIRCMOP9_BC,3,2.51619747027203,2.67378875058786,0.216199046819632,0.218294718069882,0.214647727030741,0.217037956079407,0.213308233342264,0.215922816917395,1,0.00216793243993996,0.00671512759625958,0.75,1,0.215922816917395,0,1,0,0.000572285033976181
V1_CGAN_mismatchD,LIRCMOP10_BC,3,2.3810322062311,2.73349510267665,0.13901965472004,0.149778090922477,0.146832509956062,0.148128323152465,0.134533961144372,0.136838212898419,1,0.0139626983031333,0.0232523599701706,1,1,0.148070954163115,0,1,0,0.000603644692922768
V1_CGAN_mismatchD,LIRCMOP5_BC,3,1.60958630288864,1.99864583445518,0.346072523492489,0.354644271642278,0.361913424737034,0.363773773454678,0.355766322067851,0.358776916092435,1,-0.0664503192786832,-0.0374151050232228,0,1,0.363409011162312,0,1,0,0.00135078797525851
V1_CGAN_mismatchD,LIRCMOP6_BC,3,1.59679170117184,1.70177910020991,0.340997488028397,0.344313320924318,0.331563530565923,0.342841133236648,0.319479841752056,0.320622814162415,0.95,-1.46529644283744e-05,0.0136211712564633,0.5,1,0.322502028659709,0,1,0,0.000826034676263357
V1_CGAN_mismatchD,LIRCMOP7_BC,3,1.64343510252679,2.47012381750846,0.332674031199911,0.338686083607369,0.328817730312575,0.335787653722636,0.31791835315349,0.329214319824216,0.8,0.0125171106304753,0.175720138285314,0.75,1,0.33567248109297,0,1,0.1,0.00141409193663663
V1_CGAN_mismatchD,LIRCMOP8_BC,3,1.7245703109367,2.63259319532013,0.339800240539594,0.345090277678497,0.336017255596191,0.343626238925326,0.331347381304849,0.337016474954918,0.85,-0.0726102435830231,0.056899302080563,0.3,1,0.343533548434614,0,1,0.25,0.00125790533208291
V1_CGAN_mismatchD,LIRCMOP9_BC,3,2.54193543786932,2.70058587310842,0.243861711308228,0.252809203479613,0.233518572261156,0.253588640644475,0.231365027205239,0.251574724488603,1,0.00217038708586492,0.0074185628264607,0.75,1,0.251885881470052,0,1,0,0.000564307686469455
V2_Adv_Huber,LIRCMOP10_BC,3,2.36350640629479,2.71062939880299,0.135017214346025,0.146815296774152,0.14391807083238,0.145369873204215,0.131914900730067,0.134514658857496,1,0.0139560570805957,0.0233316548788638,1,1,0.145347012252986,0,1,0,0.000471452764891294
V2_Adv_Huber,LIRCMOP5_BC,3,1.57792878710539,1.97633881454277,0.336632249195092,0.345597974218149,0.355114695776784,0.357275950726784,0.34923608392191,0.352542087089041,1,-0.0668041614412518,-0.0376189359286088,0,1,0.356908230604366,0,1,0,0.00119703559513751
V2_Adv_Huber,LIRCMOP6_BC,3,1.57409418025894,1.68134126525592,0.331655397310432,0.335467843496932,0.324791562354808,0.334751824053163,0.312379477196906,0.313095390398041,0.95,-0.000233042060241107,0.0137142351010375,0.5,1,0.314975505151759,0,1,0,0.00087941712166883
V2_Adv_Huber,LIRCMOP7_BC,3,1.62626195733122,2.46136730555861,0.326581599591006,0.332066117637357,0.317712019085703,0.327949780988397,0.308116000380721,0.322440311031632,0.8,0.0131512077821971,0.17849393580033,0.75,1,0.327835313114339,0,1,0.1,0.00139419948632946
V2_Adv_Huber,LIRCMOP8_BC,3,1.70709692144208,2.62506537274305,0.332461802730236,0.336748195800096,0.324259798550608,0.334673609979011,0.318453769029015,0.328212428487597,0.85,-0.072769562479458,0.0577991268784397,0.3,1,0.334581958153587,0,1,0.25,0.00123299128338016
V2_Adv_Huber,LIRCMOP9_BC,3,2.51618173160172,2.6727436155245,0.247054469362419,0.256148372696869,0.235777609817661,0.256699779963562,0.233940474077043,0.254947337051536,1,0.00214348621307092,0.00757449696663426,0.75,1,0.254996330314898,0,1,0,0.000512216893684246
V3_Adv_Pair,LIRCMOP10_BC,3,2.38375503975904,2.73716591340722,0.139355648882555,0.150448080597805,0.147431767189884,0.148584714104973,0.135112704227098,0.137294974537527,1,0.0139337902214134,0.0232258804776646,1,1,0.148528112251417,0,1,0,0.000605444647350606
V3_Adv_Pair,LIRCMOP5_BC,3,1.63396962478171,2.03658385450359,0.375606599488965,0.383541424545545,0.38726813143365,0.38787631144968,0.380584589556798,0.38288534812459,1,-0.0654083753873622,-0.0367408547184673,0,1,0.387355030310678,0,1,0,0.00149262121473758
V3_Adv_Pair,LIRCMOP6_BC,3,1.60974006955015,1.70765215005243,0.344569600589906,0.347469403360233,0.336949900368135,0.346200355897217,0.324885871524627,0.326037444464396,0.95,0.000126103856251003,0.0136481360673283,0.5,1,0.327538704815644,0,1,0,0.0010095851922641
