problem,stage_count,query_mean,raw_mean,train_rmse_mean,train_obj50_mean,train_obj90_mean,train_feas_mean,query_obj50_mean,query_obj90_mean,boundary50_mean,feasible_rate_mean
DASCMOP1_BC,15,19,19,0.0968251401347269,0.0159004104805906,0.0308514108089736,0.246822249589491,0.01546677623946,0.0330925861154002,0.0125119381631818,0.303333333333333
DASCMOP2_BC,15,19.6,19.6,0.108663159013297,0.0225153902452017,0.0492630227540677,0.443674870329229,0.0188598920865991,0.0439823527810136,0.0152858858318539,0.423333333333333
DASCMOP4_BC,15,15.4,15.4,0.0302281863529085,0.18108796362374,0.328138312105839,0.0457750582750583,0.18659498514545,0.337247266210654,0.179327436454086,0.0458333333333333
DASCMOP5_BC,15,2.4,2.4,0.0320314486778073,0.178495491935057,0.316209363934576,0,0.202854485782645,0.389002595933321,0.196001491982759,0
LIRCMOP5_BC,15,17.6666666666667,17.6666666666667,0.0463637218632306,0.0429845316248368,0.0640424179824332,1,0.00539093322680537,0.017250852486767,0.00222758899172984,0.56827731092437
LIRCMOP6_BC,15,18.5333333333333,18.5333333333333,0.0504382050115973,0.0512900966663866,0.0641753741828091,1,0.00670042299559526,0.0152371518814245,0.00288954091184502,0.469047619047619
LIRCMOP7_BC,15,19.8,19.8,0.0703286321647776,0.0546149023155281,0.0778588135853625,1,0.00713529910099773,0.0222786950503905,0.00466851380324453,0.257843137254902
LIRCMOP8_BC,15,18.4,18.4,0.0673546530126458,0.065582082873216,0.0962348155330315,1,0.0112950713497239,0.0287851512991255,0.00574577385082018,0.465269792127377
LIRCMOP9_BC,15,15.8666666666667,15.8666666666667,0.0393747968817318,0.0144731649290448,0.041599785467622,1,0.00109702690317993,0.00652782754356687,0.000320776164365942,0.750985530064477
LIRCMOP10_BC,15,16.7333333333333,16.7333333333333,0.0422340567090522,0.0151131109605816,0.0304256241705238,1,0.00225869098015024,0.00756577806442803,0.000812087389396457,0.704555541923963
