problem,seed,mode,stage,targetFE,actualFE,missing,IGD,HV,p1Feasible,p2Feasible,populationOverlap,archivePairs,activePairs,inactivePairs,eligiblePairs,activeRefCoverage,frontRejectedPairs,infeasibleDominatedPairs,eligibilityRemoved,feasiblePoolEligible,infeasiblePoolEligible,gapMedian,gapP90,trainingEvents,generatorUpdates,criticUpdates,trainingSeconds,lastTrainingFE,lastTrainingPairs,lastTrainingEpochs,lastTrainingUpdates,lastTrainingEndpointRMSE,modelVersion,consumedTrainingFE,consumedTrainingPairs,consumedTrainingEpochs,consumedTrainingUpdates,consumedTrainingRMSE,productionFE,selectedCount,selectedFeasibleRate,survivedP1,survivedP2,cumulativeGuided,nativeBandRate,rebuildInputPoints,netGapReduction
LIRCMOP8_BC,13,cgan,FE010000,10000,10000,0,1.68519019981257,0,100,51,12,112,67,45,112,0.67,8,2,10,100,188,0.21817219731828,0.350212975896479,26,1500,7500,112.634930791667,10000,67,5.12,20,0.0650782307690531,25,9800,66,5.20325203252033,20,0.0660146794889468,9800,20,0.05,1,0,600,NaN,616,0.170994357363679
LIRCMOP8_BC,13,cgan,FE030000,30000,30000,0,0.121970956900368,0.246816577512157,100,14,8,405,62,343,405,0.62,12,2,14,115,358,0.122606698062073,0.202536899359269,126,3500,17500,261.628932208333,30000,62,5.47008547008547,20,0.0450352912804631,125,29800,60,5.51724137931035,20,0.0474723834643527,29800,20,0.45,1,1,2600,NaN,1216,-0.0675900624102502
LIRCMOP8_BC,13,cgan,FE050000,50000,50000,0,0.010451808033716,0.292177403592323,100,0,0,500,93,407,500,0.93,3,2,5,178,536,0.120933663653345,0.214628026938086,226,5500,27500,438.062636583333,50000,93,3.49726775956284,20,0.0629164280695545,225,49800,93,3.57541899441341,20,0.0557914470097278,49800,20,0.3,1,0,4600,NaN,1400,0.0546116510506257
LIRCMOP8_BC,13,cgan,FE070000,70000,70000,0,0.0087185602373619,0.29325358154455,100,0,0,500,99,401,500,0.99,4,2,6,194,541,0.0886676106727054,0.194396662391696,325,7480,37400,609.407408541667,70000,99,3.42245989304813,20,0.0659008212766618,324,69800,91,3.76470588235294,20,0.061498996336023,69800,20,0,0,0,6600,NaN,1400,-0.298457146788036
LIRCMOP8_BC,13,cgan,FE100000,100000,100000,0,0.00798964044424863,0.293597653891405,100,0,0,500,96,404,500,0.96,8,0,8,203,552,0.0915587593218988,0.200728115807611,473,10440,52200,855.23147625,99800,84,3.92638036809816,20,0.0754385239222319,473,99800,84,3.92638036809816,20,0.0754385239222319,99800,20,0.1,0,0,9600,NaN,1400,-0.0106602142439039
LIRCMOP8_BC,14,cgan,first_true_use,3800,3800,0,2.22154719149716,0,100,51,36,15,12,3,15,0.12,5,0,5,17,41,0.566450184014255,0.754248442517516,2,1020,5100,75.183750875,3800,12,19.1304347826087,20,0.0989134352204452,1,3600,8,933.333333333333,1000,0.0833460005405311,3600,20,0.55,0,9,20,NaN,418,0.0416777083775528
LIRCMOP8_BC,14,cgan,FE010000,10000,10000,0,0.319252787290008,0.201963012404302,100,32,29,30,27,3,30,0.27,9,3,9,31,104,0.133928143865753,0.245158786541585,30,1580,7900,121.975103208333,10000,27,12.8,20,0.0344251380632142,29,9800,25,14.2222222222222,20,0.0446597259456099,9800,20,0.1,0,0,640,NaN,468,0.223878948146046
LIRCMOP8_BC,14,cgan,FE030000,30000,30000,0,0.171114965241931,0.232359066968187,100,33,11,454,77,377,454,0.77,9,1,10,150,361,0.110723741310965,0.187909885667233,129,3560,17800,262.757098583333,30000,77,4.44444444444444,20,0.0348090780081759,128,29800,74,4.57142857142857,20,0.036138055545026,29800,20,0,0,0,2640,NaN,1300,0.175917720232218
LIRCMOP8_BC,14,cgan,FE050000,50000,50000,0,0.0790870836380959,0.260450366026085,100,24,12,500,87,413,500,0.87,7,0,7,181,462,0.105195084226163,0.226963801763513,229,5560,27800,422.493985666667,50000,87,3.78698224852071,20,0.0476156600373348,228,49800,86,3.87878787878788,20,0.0448230349427074,49800,20,0,0,1,4640,NaN,1400,0.539393434385962
LIRCMOP8_BC,14,cgan,FE070000,70000,70000,0,0.00957795637527783,0.293026597410529,100,3,2,500,88,412,500,0.88,1,2,3,184,556,0.122685862284898,0.206169257609923,328,7540,37700,595.190883333333,70000,88,3.67816091954023,20,0.0604040649131653,327,69800,89,3.65714285714286,20,0.0624323943001265,69800,20,0,0,0,6640,NaN,1394,0.565974546078137
LIRCMOP8_BC,14,cgan,FE100000,100000,100000,0,0.00822313858040324,0.293945427193264,100,0,0,500,94,406,500,0.94,7,1,7,201,566,0.0866962362804031,0.19264897596286,476,10500,52500,842.432950708333,99800,96,3.38624338624339,20,0.078699724021275,476,99800,96,3.38624338624339,20,0.078699724021275,99800,20,0.1,0,0,9640,NaN,1400,0
LIRCMOP8_BC,15,cgan,first_true_use,4800,4800,0,1.77141044444804,0,100,86,69,3,3,0,3,0.03,8,7,8,17,12,0.0567850510188735,0.0576232044956295,1,1000,5000,96.351921,4600,9,1000,1000,0.0943656092048834,1,4600,9,1000,1000,0.0943656092048834,4600,20,0.25,5,14,20,NaN,420,0.827338073364386
LIRCMOP8_BC,15,cgan,FE010000,10000,10000,0,1.68535234149911,0,100,59,17,95,62,33,95,0.62,6,2,8,94,150,0.202043714204531,0.355740082590585,25,1480,7400,150.081637458333,10000,62,5.51724137931035,20,0.0464353923294588,24,9800,60,5.76576576576577,20,0.0449538861849396,9800,20,0.1,1,0,540,NaN,580,0.182988425211091
LIRCMOP8_BC,15,cgan,FE030000,30000,30000,0,0.074596631611972,0.262285894710175,100,11,9,274,65,209,274,0.65,20,2,22,85,326,0.155192399085581,0.233795844340138,123,3440,17200,305.289265375,30000,65,5.07936507936508,20,0.0472219852014034,122,29800,61,5.42372881355932,20,0.0473811447862338,29800,20,0,0,8,2540,NaN,956,-0.0465955054885396
LIRCMOP8_BC,15,cgan,FE050000,50000,50000,0,0.0116893737039811,0.292233093049995,100,5,2,500,89,411,500,0.89,15,3,18,163,519,0.122677129670971,0.200056827929392,223,5440,27200,454.411855208333,50000,89,3.69942196531792,20,0.0552844955778622,222,49800,87,3.85542168674699,20,0.0537685281760237,49800,20,0.3,1,0,4540,NaN,1400,-0.00359931652140648
LIRCMOP8_BC,15,cgan,FE070000,70000,70000,0,0.0090735752870407,0.293520518353049,100,1,1,500,83,417,500,0.83,3,1,4,178,577,0.107119410663543,0.209003504555793,322,7420,37100,635.744718375,70000,83,4.05063291139241,20,0.0757685268429639,321,69800,89,3.76470588235294,20,0.0760331114822888,69800,20,0.05,0,0,6540,NaN,1400,0.0401701130713825
LIRCMOP8_BC,15,cgan,FE100000,100000,100000,0,0.0080672119982097,0.294048065775502,100,0,0,500,87,413,500,0.87,2,2,4,188,584,0.0982916649999903,0.199331108540482,468,10340,51700,901.846876416667,99800,88,3.72093023255814,20,0.0666397398755476,468,99800,88,3.72093023255814,20,0.0666397398755476,99800,20,0,0,0,9540,NaN,1400,-0.0229240904539121
