epoch,taskCount,full20Rate,guidedCountMedian,candidateValidRateMedian,rawFeasibleRateMedian,rawInfeasibleRateMedian,rawBoundaryMarginMedian,rawCVMedian,guidedFeasibleRateMedian,guidedBoundaryMarginMedian,guidedCVMedian,guidedUsefulPerQuotaMedian,useFEMedian,wallClockMedian,wallClockP90,qualityScoreMedian,qualityScoreIQR,problem
400,2,1,20,0.996,0.905,0.095,2.25308604035649,0,0.7,2.01958917719243,0.00446540108457044,0.025,4000,24.061162875,27.6520620833333,0.472556702844758,0.0610640001224517,LIRCMOP5_BC
600,2,1,20,0.995,0.819,0.181,0.9932584728941,0,0.775,2.78531979115247,0,0,4000,102.755846145833,104.798709041667,0.618648970635612,0.0013377514093954,LIRCMOP5_BC
800,2,1,20,0.997,0.807,0.193,0.700678368770295,0,0.65,2.41833179881923,0.0107441495071979,0,4000,132.574758145833,134.899745333333,0.720947099278416,0.104305801443168,LIRCMOP5_BC
1000,2,1,20,1,0.83,0.17,0.715324905892145,0,0.775,0.940200441065154,0,0,4000,150.130803645833,164.969799833333,0.721931765180529,0.117884688027801,LIRCMOP5_BC
1200,2,1,20,1,0.828,0.172,0.673088026795038,0,0.7,0.623243935637391,0,0,4000,216.973295229167,217.184254833333,0.718156241263012,0.150687517473975,LIRCMOP5_BC
400,2,1,20,0.984,0.857,0.143,1.21832075019493,0,0.675,0.383490802814997,0.00413448864182487,0.025,2900,66.5439507291667,67.8079299166667,0.603232126503521,0.341864253007042,LIRCMOP7_BC
600,2,1,20,0.978,0.798,0.202,0.93309054953918,0,0.6,0.230051062743934,0.00726439360340528,0,2900,102.2260025,102.7990965,0.743826931234801,0.0564637053922847,LIRCMOP7_BC
800,2,1,20,0.975,0.805,0.195,1.03007458055418,0,0.675,0.192218493747992,0,0.1,2900,133.050273145833,135.159403458333,0.700747385084417,0.033419354660522,LIRCMOP7_BC
1000,2,1,20,0.982,0.879,0.121,1.13660778287716,0,0.7,0.381870155886598,0,0.075,2900,162.721724,163.660599916667,0.49517464899529,0.119094798702628,LIRCMOP7_BC
1200,2,1,20,0.985,0.849,0.151,0.963071387514803,0,0.675,0.342968225360381,0,0,2900,214.339211520833,215.192520041667,0.554347908396074,0.280325224605288,LIRCMOP7_BC
400,2,1,20,0.96,1,0,7.31697592282374,0,0.95,1.72027905869186,0,0,3300,35.28960775,36.919158875,0.4425,0,LIRCMOP8_BC
600,2,1,20,0.993,0.899,0.101,1.25466814314959,0,0.65,0.57317859557496,0,0.025,3300,41.6370940416667,51.2462640416667,0.7095124764948,0.0707650618073019,LIRCMOP8_BC
800,2,1,20,0.999,0.806,0.194,0.5480716561183,0,0.625,0.178640247554454,0,0.025,3300,64.749023875,65.0240081666667,0.765063380720073,0.0124335350996843,LIRCMOP8_BC
1000,2,1,20,0.999,0.766,0.234,0.356441890076931,0,0.625,0.175071451661231,0,0.075,3300,82.8963429375,85.922683125,0.777989827163402,0.0086739495673841,LIRCMOP8_BC
1200,2,1,20,1,0.75,0.25,0.274687690602533,0,0.625,0.141006545465629,0,0.075,3300,126.032680458333,127.467586166667,0.788815900713892,0.0110828720575976,LIRCMOP8_BC
400,2,1,20,0.525,1,0,11.0993904819546,0,1,3.86063406487571,0,0,4600,66.7129464583333,67.8120005416667,0.45,0,LIRCMOP10_BC
600,2,1,20,0.669,0.993,0.007,8.55149701673534,0,1,2.04302750864915,0,0,4600,100.393765854167,100.826974833333,0.61223397596505,0.101229217409374,LIRCMOP10_BC
800,2,1,20,0.764,0.949,0.051,6.08109867555507,0,1,1.73985753184836,0,0,4600,129.701659104167,130.661721458333,0.699392099201802,0.149531396201076,LIRCMOP10_BC
1000,2,1,20,0.813,0.93,0.07,3.56203514680983,0,0.95,1.82768896216594,0,0,4600,161.7859115625,163.344866333333,0.77920896371784,0.0386763091307122,LIRCMOP10_BC
1200,2,1,20,0.833,0.925,0.075,2.97879496734316,0,0.95,2.90584253100825,0,0,4600,216.3542846875,216.563079625,0.752630815261323,0.0935892496111453,LIRCMOP10_BC
400,2,0,8.5,0.204,1,0,20.7067264517922,0,1,6.63625824032665,0,0,7100,33.3529471875,37.5579477916667,0.2025,0.405,LIRCMOP12_BC
600,2,1,20,0.254,1,0,16.4847685645137,0,1,4.36291878560412,0,0,7100,52.0308486458333,52.5114522916667,0.560989377504049,0.0763678165478018,LIRCMOP12_BC
800,2,1,20,0.309,1,0,13.198697577251,0,0.925,3.29660073832457,0,0,7100,69.6513493125,73.820642125,0.665305570563714,0.00728011228522263,LIRCMOP12_BC
1000,2,1,20,0.337,1,0,11.5822161211276,0,0.875,2.09203626059822,0,0,7100,85.6803595416667,91.8760183333333,0.730960028949519,0.021514708666015,LIRCMOP12_BC
1200,2,1,20,0.37,1,0,10.2789127705359,0,0.875,1.76233290645521,0,0,7100,128.3223379375,128.710177458333,0.778548963027662,0.0279020739446751,LIRCMOP12_BC
400,2,1,20,0.997,0.72,0.28,43.3642111192355,0,0.85,35.756897623841,0,0,3500,65.8438371666667,75.3157867916667,0.659554794597774,0.0615405208243901,LIRCMOP14_BC
600,2,1,20,0.995,0.737,0.263,51.7775164940002,0,0.85,29.2893930427571,0,0.05,3500,71.6034564583333,74.2074995833333,0.671947723924271,0.330304552151459,LIRCMOP14_BC
800,2,1,20,0.992,0.771,0.229,65.2217018516005,0,0.825,20.7701406977345,0,0,3500,156.863039520833,193.544972166667,0.568034640766939,0.195469281533877,LIRCMOP14_BC
1000,2,1,20,0.998,0.741,0.259,39.7894514070987,0,0.725,12.5663583233587,0,0.025,3500,194.970866895833,239.706673166667,0.732501364652595,0.0768227618356985,LIRCMOP14_BC
1200,2,1,20,0.999,0.746,0.254,31.8401410098073,0,0.75,12.7223359717372,0,0,3500,174.144388604167,275.355259208333,0.771550878410481,0.0640989001518767,LIRCMOP14_BC
