problem,epoch,run,poolFE,useFE,wallClockSeconds,trainingPairs,batchesPerEpoch,updates,pairVisits,candidateValidCount,candidateValidRate,guidedCount,guidedSelectionRate,fallbackCount,rawFeasibleRate,rawInfeasibleRate,rawBoundaryMarginMedian,rawCVMedian,rawDecisionUniqueRate,guidedFeasibleRate,guidedBoundaryMarginMedian,guidedCVMedian,guidedDominatingRate,guidedUsefulRate,guidedUsefulPerQuota,qualityScore
LIRCMOP5_BC,400,1,3400,3500,20.4702636666667,44,2,800,17600,500,1,20,1,0,0.886,0.114,0.892471450618458,0,1,0.5,0.0835417979692689,0.00893080216914089,0.25,0.05,0.05,0.442024702783532
LIRCMOP5_BC,400,2,4400,4500,27.6520620833333,48,2,800,19200,496,0.992,20,1,0,0.924,0.076,3.61370063009452,0,1,0.9,3.9556365564156,0,0,0,0,0.503088702905984
LIRCMOP5_BC,600,1,3400,3500,104.798709041667,44,2,1200,26400,500,1,20,1,0,0.748,0.252,0.253754423861344,0,1,0.6,0.0908655070121364,0,0.1,0,0,0.61931784634031
LIRCMOP5_BC,600,2,4400,4500,100.71298325,48,2,1200,28800,495,0.99,20,1,0,0.89,0.11,1.73276252192686,0,1,0.95,5.47977407529281,0,0,0,0,0.617980094930914
LIRCMOP5_BC,800,1,3400,3500,134.899745333333,44,2,1600,35200,500,1,20,1,0,0.722,0.278,0.17849345477086,0,1,0.45,0.0660251737303671,0.0214882990143958,0.05,0,0,0.7731
LIRCMOP5_BC,800,2,4400,4500,130.249770958333,48,2,1600,38400,497,0.994,20,1,0,0.892,0.108,1.22286328276973,0,1,0.85,4.77063842390809,0,0,0,0,0.668794198556832
LIRCMOP5_BC,1000,1,3400,3500,164.969799833333,44,2,2000,44000,500,1,20,1,0,0.742,0.258,0.195328284726304,0,1,0.6,0.0865424270381435,0,0.1,0,0,0.662989421166628
LIRCMOP5_BC,1000,2,4400,4500,135.291807458333,48,2,2000,48000,500,1,20,1,0,0.918,0.082,1.23532152705799,0,1,0.95,1.79385845509216,0,0,0,0,0.780874109194429
LIRCMOP5_BC,1200,1,3400,3500,216.762335625,44,2,2400,52800,500,1,20,1,0,0.736,0.264,0.183526954333256,0,1,0.55,0.0893879261829452,0,0.15,0,0,0.642812482526025
LIRCMOP5_BC,1200,2,4400,4500,217.184254833333,48,2,2400,57600,500,1,20,1,0,0.92,0.08,1.16264909925682,0,1,0.85,1.15709994509184,0,0,0,0,0.7935
LIRCMOP7_BC,400,1,2800,2900,67.8079299166667,40,2,800,16000,499,0.998,20,1,0,0.738,0.262,0.356796114857456,0,1,0.5,0.0590225915879031,0.00826897728364973,0.25,0,0,0.774164253007042
LIRCMOP7_BC,400,2,2800,2900,65.2799715416667,37,2,800,14800,485,0.97,20,1,0,0.976,0.024,2.07984538553241,0,1,0.85,0.70795901404209,0,0.15,0.05,0.05,0.4323
LIRCMOP7_BC,600,1,2800,2900,101.6529085,40,2,1200,24000,500,1,20,1,0,0.716,0.284,0.353705261748284,0,1,0.45,0.0595693576020398,0.0145287872068106,0.25,0,0,0.772058783930943
LIRCMOP7_BC,600,2,2800,2900,102.7990965,37,2,1200,22200,478,0.956,20,1,0,0.88,0.12,1.51247583733008,0,1,0.75,0.400532767885828,0,0.05,0,0,0.715595078538658
LIRCMOP7_BC,800,1,2800,2900,130.941142833333,40,2,1600,32000,499,0.998,20,1,0,0.75,0.25,0.397478925889074,0,1,0.55,0.0718637901939194,0,0.35,0.1,0.1,0.684037707754156
LIRCMOP7_BC,800,2,2800,2900,135.159403458333,37,2,1600,29600,476,0.952,20,1,0,0.86,0.14,1.66267023521928,0,1,0.8,0.312573197302065,0,0.15,0.1,0.1,0.717457062414678
LIRCMOP7_BC,1000,1,2800,2900,161.782848083333,40,2,2000,40000,496,0.992,20,1,0,0.846,0.154,0.523421983744227,0,1,0.55,0.0956165207734154,0,0.1,0.05,0.05,0.435627249643976
LIRCMOP7_BC,1000,2,2800,2900,163.660599916667,37,2,2000,37000,486,0.972,20,1,0,0.912,0.088,1.7497935820101,0,1,0.85,0.668123790999781,0,0.2,0.1,0.1,0.554722048346604
LIRCMOP7_BC,1200,1,2800,2900,215.192520041667,40,2,2400,48000,499,0.998,20,1,0,0.848,0.152,0.544749438928929,0,1,0.55,0.0953029605452463,0,0.05,0,0,0.41418529609343
LIRCMOP7_BC,1200,2,2800,2900,213.485903,37,2,2400,44400,486,0.972,20,1,0,0.85,0.15,1.38139333610068,0,1,0.8,0.590633490175515,0,0.05,0,0,0.694510520698718
LIRCMOP8_BC,400,1,3000,3100,36.919158875,32,1,400,12800,471,0.942,20,1,0,1,0,7.07180881306885,0,1,0.95,1.0834900254392,0,0,0,0,0.4425
LIRCMOP8_BC,400,2,3400,3500,33.660056625,32,1,400,12800,489,0.978,20,1,0,1,0,7.56214303257864,0,1,0.95,2.35706809194452,0,0,0,0,0.4425
LIRCMOP8_BC,600,1,3000,3100,32.0279240416667,32,1,600,19200,493,0.986,20,1,0,0.86,0.14,0.804891846434478,0,1,0.55,0.123071778508205,0,0.25,0.05,0.05,0.744895007398451
LIRCMOP8_BC,600,2,3400,3500,51.2462640416667,32,1,600,19200,500,1,20,1,0,0.938,0.062,1.70444443986469,0,1,0.75,1.02328541264171,0,0.15,0,0,0.674129945591149
LIRCMOP8_BC,800,1,3000,3100,64.4740395833333,32,1,800,25600,499,0.998,20,1,0,0.788,0.212,0.460584491480823,0,1,0.6,0.238828699827953,0,0.25,0.05,0.05,0.75884661317023
LIRCMOP8_BC,800,2,3400,3500,65.0240081666667,32,1,800,25600,500,1,20,1,0,0.824,0.176,0.635558820755777,0,1,0.65,0.118451795280956,0,0.15,0,0,0.771280148269915
LIRCMOP8_BC,1000,1,3000,3100,79.87000275,32,1,1000,32000,499,0.998,20,1,0,0.754,0.246,0.319728457425127,0,1,0.7,0.254607073094025,0,0.25,0.15,0.15,0.782326801947094
LIRCMOP8_BC,1000,2,3400,3500,85.922683125,32,1,1000,32000,500,1,20,1,0,0.778,0.222,0.393155322728735,0,1,0.55,0.0955358302284366,0,0.15,0,0,0.77365285237971
LIRCMOP8_BC,1200,1,3000,3100,124.59777475,32,1,1200,38400,500,1,20,1,0,0.754,0.246,0.274534792419817,0,1,0.7,0.186092267779653,0,0.2,0.1,0.1,0.794357336742691
LIRCMOP8_BC,1200,2,3400,3500,127.467586166667,32,1,1200,38400,500,1,20,1,0,0.746,0.254,0.27484058878525,0,1,0.55,0.0959208231516053,0,0.25,0.05,0.05,0.783274464685093
LIRCMOP10_BC,400,1,4000,4100,65.613892375,38,2,800,15200,354,0.708,20,1,0,1,0,12.9845799115718,0,1,1,6.56755018808672,0,0,0,0,0.45
LIRCMOP10_BC,400,2,5000,5100,67.8120005416667,33,2,800,13200,171,0.342,20,1,0,1,0,9.21420105233745,0,1,1,1.15371794166469,0,0,0,0,0.45
LIRCMOP10_BC,600,1,4000,4100,100.826974833333,38,2,1200,22800,407,0.814,20,1,0,0.986,0.014,8.95877488829528,0,1,1,3.33780212994257,0,0,0,0,0.662848584669737
LIRCMOP10_BC,600,2,5000,5100,99.960556875,33,2,1200,19800,262,0.524,20,1,0,1,0,8.1442191451754,0,1,1,0.748252887355729,0,0,0,0,0.561619367260363
LIRCMOP10_BC,800,1,4000,4100,130.661721458333,38,2,1600,30400,437,0.874,20,1,0,0.898,0.102,5.1711991646133,0,1,1,2.86443699967684,0,0,0,0,0.774157797302341
LIRCMOP10_BC,800,2,5000,5100,128.74159675,33,2,1600,26400,327,0.654,20,1,0,1,0,6.99099818649684,0,1,1,0.615278064019881,0,0,0,0,0.624626401101264
LIRCMOP10_BC,1000,1,4000,4100,163.344866333333,38,2,2000,38000,456,0.912,20,1,0,0.872,0.128,2.92329842450008,0,1,0.95,3.29761785222623,0,0.05,0,0,0.798547118283196
LIRCMOP10_BC,1000,2,5000,5100,160.226956791667,33,2,2000,33000,357,0.714,20,1,0,0.988,0.012,4.20077186911958,0,1,0.95,0.357760072105645,0,0,0,0,0.759870809152484
LIRCMOP10_BC,1200,1,4000,4100,216.14548975,38,2,2400,45600,464,0.928,20,1,0,0.878,0.122,2.82134801823931,0,1,0.9,5.42116039277872,0,0.05,0,0,0.70583619045575
LIRCMOP10_BC,1200,2,5000,5100,216.563079625,33,2,2400,39600,369,0.738,20,1,0,0.972,0.028,3.13624191644702,0,1,1,0.39052466923777,0,0,0,0,0.799425440066895
LIRCMOP12_BC,400,1,6000,6100,37.5579477916667,32,1,400,12800,140,0.28,0,0,20,1,0,19.3553217471078,0,1,NaN,NaN,NaN,NaN,NaN,0,0
LIRCMOP12_BC,400,2,8000,8100,29.1479465833333,32,1,400,12800,64,0.128,17,0.85,3,1,0,22.0581311564765,0,1,1,6.63625824032665,0,0,0,0,0.405
LIRCMOP12_BC,600,1,6000,6100,51.550245,32,1,600,19200,167,0.334,20,1,0,1,0,16.2253307938576,0,1,1,4.19819463124202,0,0,0,0,0.522805469230148
LIRCMOP12_BC,600,2,8000,8100,52.5114522916667,32,1,600,19200,87,0.174,20,1,0,1,0,16.7442063351697,0,1,1,4.52764293996621,0,0,0,0,0.59917328577795
LIRCMOP12_BC,800,1,6000,6100,73.820642125,32,1,800,25600,197,0.394,20,1,0,1,0,12.4991619420158,0,1,0.95,3.11384285269151,0,0,0,0,0.668945626706325
LIRCMOP12_BC,800,2,8000,8100,65.4820565,32,1,800,25600,112,0.224,20,1,0,1,0,13.8982332124861,0,1,0.9,3.47935862395764,0,0,0,0,0.661665514421102
LIRCMOP12_BC,1000,1,6000,6100,79.48470075,32,1,1000,32000,207,0.414,20,1,0,1,0,11.6303418434263,0,1,0.95,2.611108841118,0,0,0,0,0.720202674616512
LIRCMOP12_BC,1000,2,8000,8100,91.8760183333333,32,1,1000,32000,130,0.26,20,1,0,1,0,11.5340903988289,0,1,0.8,1.57296368007844,0,0,0,0,0.741717383282527
LIRCMOP12_BC,1200,1,6000,6100,128.710177458333,32,1,1200,38400,216,0.432,20,1,0,1,0,10.7570914593368,0,1,0.95,1.76935352204442,0,0,0,0,0.7925
LIRCMOP12_BC,1200,2,8000,8100,127.934498416667,32,1,1200,38400,154,0.308,20,1,0,1,0,9.80073408173497,0,1,0.8,1.75531229086599,0,0,0,0,0.764597926055325
LIRCMOP14_BC,400,1,3200,3300,56.3718875416667,43,2,800,17200,499,0.998,20,1,0,0.69,0.31,34.5457788342328,0,1,0.85,51.6257911991575,0,0,0,0,0.628784534185579
LIRCMOP14_BC,400,2,3600,3700,75.3157867916667,65,3,1200,26000,498,0.996,20,1,0,0.75,0.25,52.1826434042381,0,1,0.85,19.8880040485245,0,0.05,0,0,0.690325055009969
LIRCMOP14_BC,600,1,3200,3300,68.9994133333333,43,2,1200,25800,497,0.994,20,1,0,0.772,0.228,72.4528206204882,0,1,0.85,41.4033169960893,0,0.1,0.1,0.1,0.506795447848541
LIRCMOP14_BC,600,2,3600,3700,74.2074995833333,65,3,1800,39000,498,0.996,20,1,0,0.702,0.298,31.1022123675122,0,1,0.85,17.1754690894249,0,0,0,0,0.8371
LIRCMOP14_BC,800,1,3200,3300,120.181106875,43,2,1600,34400,498,0.996,20,1,0,0.756,0.244,50.472839281611,0,1,0.8,16.3711849057124,0,0,0,0,0.665769281533877
LIRCMOP14_BC,800,2,3600,3700,193.544972166667,65,3,2400,52000,494,0.988,20,1,0,0.786,0.214,79.9705644215901,0,1,0.85,25.1690964897566,0,0.05,0,0,0.4703
LIRCMOP14_BC,1000,1,3200,3300,150.235060625,43,2,2000,43000,500,1,20,1,0,0.712,0.288,25.2848164566081,0,1,0.6,6.11901718764627,0,0.1,0.05,0.05,0.770912745570444
LIRCMOP14_BC,1000,2,3600,3700,239.706673166667,65,3,3000,65000,498,0.996,20,1,0,0.77,0.23,54.2940863575893,0,1,0.85,19.0136994590712,0,0,0,0,0.694089983734746
LIRCMOP14_BC,1200,1,3200,3300,72.933518,43,2,2400,51600,500,1,20,1,0,0.702,0.298,18.0217353490263,0,1,0.65,7.18074225886659,0,0.05,0,0,0.803600328486419
LIRCMOP14_BC,1200,2,3600,3700,275.355259208333,65,3,3600,78000,499,0.998,20,1,0,0.79,0.21,45.6585466705882,0,1,0.85,18.2639296846078,0,0.1,0,0,0.739501428334542
