problem,target_FE,default_train_count,endpoint_train_count,endpoint_dataset_valid_train_count,endpoint_dataset_invalid_train_count,endpoint_boundaryTargetMode
LIRCMOP10_BC,10000,27,18,18,0,feasible_endpoint
LIRCMOP10_BC,30000,75,75,75,0,feasible_endpoint
LIRCMOP10_BC,50000,94,101,101,0,feasible_endpoint
LIRCMOP10_BC,70000,111,111,111,0,feasible_endpoint
LIRCMOP10_BC,100000,120,132,132,0,feasible_endpoint
LIRCMOP5_BC,10000,111,102,102,0,feasible_endpoint
LIRCMOP5_BC,30000,39,105,105,0,feasible_endpoint
LIRCMOP5_BC,50000,132,82,82,0,feasible_endpoint
LIRCMOP5_BC,70000,59,63,63,0,feasible_endpoint
LIRCMOP5_BC,100000,53,77,77,0,feasible_endpoint
LIRCMOP6_BC,10000,51,43,43,0,feasible_endpoint
LIRCMOP6_BC,30000,102,159,159,0,feasible_endpoint
LIRCMOP6_BC,50000,177,153,153,0,feasible_endpoint
LIRCMOP6_BC,70000,75,126,126,0,feasible_endpoint
LIRCMOP6_BC,100000,87,96,96,0,feasible_endpoint
LIRCMOP7_BC,10000,72,93,93,0,feasible_endpoint
LIRCMOP7_BC,30000,120,93,93,0,feasible_endpoint
LIRCMOP7_BC,50000,114,90,90,0,feasible_endpoint
LIRCMOP7_BC,70000,117,195,195,0,feasible_endpoint
LIRCMOP7_BC,100000,143,252,252,0,feasible_endpoint
LIRCMOP8_BC,10000,51,127,127,0,feasible_endpoint
LIRCMOP8_BC,30000,45,33,33,0,feasible_endpoint
LIRCMOP8_BC,50000,126,106,106,0,feasible_endpoint
LIRCMOP8_BC,70000,216,165,165,0,feasible_endpoint
LIRCMOP8_BC,100000,246,198,198,0,feasible_endpoint
LIRCMOP9_BC,10000,36,33,33,0,feasible_endpoint
LIRCMOP9_BC,30000,61,77,77,0,feasible_endpoint
LIRCMOP9_BC,50000,72,45,45,0,feasible_endpoint
LIRCMOP9_BC,70000,51,75,75,0,feasible_endpoint
LIRCMOP9_BC,100000,90,90,90,0,feasible_endpoint
