updates,seconds,prototypeRMSE,objectiveGap,seenObjectiveGap,unseenObjectiveGap,offlineFullFE,arm,problem
0,5.70833333333333e-05,0.363618075473768,28.0192055908841,27.9453695897768,28.6837296008502,100,stable_no_side,LIRCMOP7_BC
1000,5.20690258333333,0.0623264216254469,0.116923132053638,0.11975145572359,0.0914682190240713,100,stable_no_side,LIRCMOP7_BC
5000,21.149614625,0.0581969418734328,0.132520135231355,0.13803650747184,0.0828727850669905,100,stable_no_side,LIRCMOP7_BC
10000,42.91926375,0.0555519270380139,0.166200002836443,0.17641780181471,0.0742398120320394,100,stable_no_side,LIRCMOP7_BC
