problem,stage,loss,stream,addedUpdates,reverseFeasibleCoverage,reverseInfeasibleCoverage,f1Offset,f2Offset,f1BaseOffset,f2BaseOffset,f1EnergyOffset,f2EnergyOffset,medianTrueFeasibleNeighborRMS,medianGeneratedFeasibleNeighborRMS
LIRCMOP7_BC,early,adversarial,1,0,0.320326413259257,0.171324959813343,-0.326902233616456,0.081695568367245,0.00117112637297985,-0.000170561865583502,-0.328073359989436,0.0818661302328285,0.0602329952672059,0.00174453664665148
LIRCMOP7_BC,early,adversarial,1,20,0.299498753276327,0.165039501080859,-0.227609567439784,0.0486827263554716,0.00416304589384552,-0.00202849669801864,-0.23177261333363,0.0507112230534902,0.0602329952672059,0.00176920551924945
LIRCMOP7_BC,early,adversarial,1,200,0.28502545018485,0.166067701112722,-0.326870408879817,-0.104299035444812,-0.00506369301045384,0.00296373264476659,-0.321806715869363,-0.107262768089578,0.0602329952672059,0.00171598241792115
LIRCMOP7_BC,early,adversarial,1,2000,0.255164639043676,0.171785496519661,-0.280162741571228,-0.13972419944263,0.000730285564786519,-0.000704319211618552,-0.280893027136014,-0.139019880231012,0.0602329952672059,0.00156069068016887
LIRCMOP7_BC,early,adversarial,2,0,0.320326413259257,0.171324959813343,-0.326902233616456,0.081695568367245,0.00117112637297985,-0.000170561865583502,-0.328073359989436,0.0818661302328285,0.0602329952672059,0.00174453664665148
LIRCMOP7_BC,early,adversarial,2,20,0.305723654208286,0.168079041879638,-0.249155830656271,0.0422820716069245,0.00516864405986123,-0.00264427193405682,-0.254324474716132,0.0449263435409813,0.0602329952672059,0.00177322809765033
LIRCMOP7_BC,early,adversarial,2,200,0.290055001262291,0.170479882079357,-0.335685302990861,-0.117884105429132,-0.00245691886381662,0.00136484343502201,-0.333228384127044,-0.119248948864154,0.0602329952672059,0.00171064956829522
LIRCMOP7_BC,early,adversarial,2,2000,0.272142975293926,0.168558856345398,-0.290759884119799,-0.119141643895259,-0.00269862725096647,0.00144042663221688,-0.288061256868832,-0.120582070527476,0.0602329952672059,0.00161858917239299
LIRCMOP7_BC,early,adversarial,3,0,0.320326413259257,0.171324959813343,-0.326902233616456,0.081695568367245,0.00117112637297985,-0.000170561865583502,-0.328073359989436,0.0818661302328285,0.0602329952672059,0.00174453664665148
LIRCMOP7_BC,early,adversarial,3,20,0.299193412382172,0.162290864813096,-0.248411416556736,0.0578704261718963,0.000263663320010554,0.000348486985310157,-0.248675079876747,0.0575219391865861,0.0602329952672059,0.00177277390049572
