problem,stage,stream,addedUpdates,exactDistanceRatio,seenObjectiveGapRatio,singletonObjectiveGapRatio,conditionalSeenGapRatio,objectiveGapRatio,reverseCoverageGapRatio,directionErrorRatio,weightedDecisionMSERatio,supportCriterion
LIRCMOP5_BC,early,1.0,20.0,0.9512087925954452,0.9513605317012364,0.9696690081189133,1.0895984804581493,0.8779143883484566,1.1181906983386174,0.9030153601187159,0.9191009804993605,0
LIRCMOP5_BC,early,1.0,200.0,0.8929936925857296,0.7963611773484987,0.7899815800434387,0.9442882032659883,0.7989929813065682,1.1291877229404552,0.5518047427687232,0.8421714250190443,0
LIRCMOP5_BC,early,1.0,2000.0,0.8733077088463437,1.0594917754522388,1.0464830369721465,0.8712539588937039,0.9896631176940609,1.1142317355764286,0.6966325256159469,0.8049751745681284,0
LIRCMOP5_BC,early,2.0,20.0,0.9545105253242628,1.0527987368585683,1.0522661524590737,1.0422651207762403,0.9587478731573804,1.0391747885324274,0.937627283115221,0.9265921448649574,0
LIRCMOP5_BC,early,2.0,200.0,0.8976258658569248,0.9645521724578908,0.9960425688312355,0.9433273005682057,0.9686201138253869,0.9838787529542851,1.029335816035005,0.8469450349721924,0
LIRCMOP5_BC,early,2.0,2000.0,0.8763214268261084,0.8877247324302432,0.853208987711755,1.0174568153962533,0.8746781828114818,1.315978964511079,0.649953008379139,0.8177013112733846,0
LIRCMOP5_BC,early,3.0,20.0,0.9403788081929065,1.0575873346381117,1.0764513988104851,0.9938280895899976,0.963708468051518,1.050115805398535,0.6269459511737256,0.9120544143319196,0
LIRCMOP5_BC,early,3.0,200.0,0.9082332019512199,0.9683212912749037,0.9806945038239332,1.065617721182919,0.957947908227214,1.1767935853902936,0.8977977066321136,0.8649330011479957,0
LIRCMOP5_BC,early,3.0,2000.0,0.8780530911218035,0.9426279156952775,0.9247975535956774,0.9618321226565131,0.861981031498584,1.030728589698601,1.072550097683487,0.8004563517026789,0
LIRCMOP5_BC,late,1.0,20.0,0.7044654254739461,0.33827562821210333,0.37469073167532035,0.8787514131149983,0.7527420035537548,0.8817474842366759,0.7039715164218129,0.7032810851156324,1
LIRCMOP5_BC,late,1.0,200.0,0.6958688292000831,0.31256913734925673,0.34159247302040313,0.7499969411760621,0.19774438891106347,0.533262716275674,0.6762174204614726,0.7676414623416671,1
LIRCMOP5_BC,late,1.0,2000.0,0.5196158887655317,0.3473401964402844,0.37196138521040717,0.8141387547718498,0.9182145789021049,0.5165196697711819,1.1387200091833332,0.6643322623847855,1
LIRCMOP5_BC,late,2.0,20.0,0.7791860927991734,0.5086870146602495,0.5439616960574623,0.9373924671786099,0.829588729546733,1.0323826423115625,0.8060845996078775,0.7657715519184043,1
LIRCMOP5_BC,late,2.0,200.0,0.6552079597664936,0.295833501919662,0.33227012863224137,0.7308274934290344,0.20645070073166527,0.5570644910422602,0.6551952172826822,0.71665422875665,1
LIRCMOP5_BC,late,2.0,2000.0,0.7857861892475936,0.8199945353312244,0.8486022901349927,0.9602238591027292,0.818570318469149,0.5645608976038609,2.132310940515208,0.974383992684736,0
LIRCMOP5_BC,late,3.0,20.0,0.6640354674586083,0.44347320183354116,0.4709186265904058,0.7348004031371184,0.8222334115823607,0.7518501434621537,0.688891727823737,0.6994016789479095,1
LIRCMOP5_BC,late,3.0,200.0,0.6201161752680638,0.268434706489124,0.3034470804590591,0.6368605630069172,0.2052184292221492,0.5194618308414443,0.6317723495057368,0.7335599140038432,1
LIRCMOP5_BC,late,3.0,2000.0,0.573100214683119,0.31354419360206703,0.3160164614408865,0.7471350672373195,0.8298257673969623,0.6176600373166004,1.286244112570415,0.7833790746352688,1
LIRCMOP5_BC,middle,1.0,20.0,0.861039712761899,0.4632912795673322,0.49784236876660615,0.6745285926612024,0.4635925909806903,1.063270889483258,0.8198855485782743,0.7540824646788312,0
LIRCMOP5_BC,middle,1.0,200.0,0.7699708771287768,0.7118402455970259,0.6965865286149312,0.8918111465646751,0.6998274899922994,1.1051721726819779,0.5967662438004918,0.7351732538349723,0
LIRCMOP5_BC,middle,1.0,2000.0,0.9467388084546409,0.47819596632326344,0.452220449736794,0.9735210258248799,0.7116913705088586,0.888766981903001,0.5074923297901872,1.0290573346937286,1
LIRCMOP5_BC,middle,2.0,20.0,0.8722468654249249,0.357765648025688,0.3050009700299893,0.7222799914627949,0.42985332645667956,1.0196585574097552,0.7919799852591121,0.7994506465231739,1
LIRCMOP5_BC,middle,2.0,200.0,0.8403743457976889,0.5349495795854988,0.5519613334001544,1.1169074418723879,0.7292690989510229,1.2385137449088495,0.5990883060745501,0.7998242331106169,0
LIRCMOP5_BC,middle,2.0,2000.0,0.9663768270151774,1.2052725801932047,1.3306159188445563,1.2078501159449904,0.8401702661863079,1.4868147590049101,0.766026540512236,1.056263794897291,0
LIRCMOP5_BC,middle,3.0,20.0,0.8704675931322281,0.5354528856008995,0.5341598858638603,0.639807858242733,0.4704355001801206,0.85290572025644,0.8242468425113907,0.747901846285005,1
