problem,stage,mode,threshold,initialShortPairs,finalShortPairs,newSeparatedWitnesses,witnessesCoveredByP1
LIRCMOP6_BC,early,pair_only,0.04,112,206,29,26
LIRCMOP6_BC,middle,raw,0.01,0,0,0,0
LIRCMOP6_BC,middle,raw,0.02,0,1,1,1
LIRCMOP6_BC,middle,raw,0.04,3,15,0,0
LIRCMOP6_BC,middle,adversarial20,0.01,0,0,0,0
LIRCMOP6_BC,middle,adversarial20,0.02,0,1,1,1
LIRCMOP6_BC,middle,adversarial20,0.04,3,15,0,0
LIRCMOP6_BC,middle,distance20,0.01,0,1,1,1
LIRCMOP6_BC,middle,distance20,0.02,0,6,3,3
LIRCMOP6_BC,middle,distance20,0.04,3,16,2,2
LIRCMOP6_BC,middle,adversarial2000,0.01,0,2,2,2
LIRCMOP6_BC,middle,adversarial2000,0.02,0,6,4,4
LIRCMOP6_BC,middle,adversarial2000,0.04,3,10,1,1
LIRCMOP6_BC,middle,distance2000,0.01,0,0,0,0
LIRCMOP6_BC,middle,distance2000,0.02,0,4,2,2
LIRCMOP6_BC,middle,distance2000,0.04,3,6,1,1
LIRCMOP6_BC,middle,de,0.01,0,1,1,1
LIRCMOP6_BC,middle,de,0.02,0,7,3,3
LIRCMOP6_BC,middle,de,0.04,3,13,1,1
LIRCMOP6_BC,middle,pair_only,0.01,0,3,2,2
LIRCMOP6_BC,middle,pair_only,0.02,0,6,3,3
LIRCMOP6_BC,middle,pair_only,0.04,3,7,1,1
LIRCMOP6_BC,late,raw,0.01,0,0,0,0
LIRCMOP6_BC,late,raw,0.02,0,0,0,0
LIRCMOP6_BC,late,raw,0.04,0,0,0,0
LIRCMOP6_BC,late,adversarial20,0.01,0,0,0,0
LIRCMOP6_BC,late,adversarial20,0.02,0,0,0,0
LIRCMOP6_BC,late,adversarial20,0.04,0,0,0,0
LIRCMOP6_BC,late,distance20,0.01,0,0,0,0
LIRCMOP6_BC,late,distance20,0.02,0,0,0,0
LIRCMOP6_BC,late,distance20,0.04,0,0,0,0
LIRCMOP6_BC,late,adversarial2000,0.01,0,0,0,0
LIRCMOP6_BC,late,adversarial2000,0.02,0,0,0,0
LIRCMOP6_BC,late,adversarial2000,0.04,0,0,0,0
LIRCMOP6_BC,late,distance2000,0.01,0,0,0,0
LIRCMOP6_BC,late,distance2000,0.02,0,0,0,0
LIRCMOP6_BC,late,distance2000,0.04,0,0,0,0
LIRCMOP6_BC,late,de,0.01,0,0,0,0
LIRCMOP6_BC,late,de,0.02,0,0,0,0
LIRCMOP6_BC,late,de,0.04,0,0,0,0
LIRCMOP6_BC,late,pair_only,0.01,0,0,0,0
LIRCMOP6_BC,late,pair_only,0.02,0,0,0,0
LIRCMOP6_BC,late,pair_only,0.04,0,0,0,0
LIRCMOP7_BC,early,raw,0.01,12,10,1,1
LIRCMOP7_BC,early,raw,0.02,36,40,6,6
LIRCMOP7_BC,early,raw,0.04,169,219,4,4
LIRCMOP7_BC,early,adversarial20,0.01,12,12,2,2
LIRCMOP7_BC,early,adversarial20,0.02,36,45,9,8
LIRCMOP7_BC,early,adversarial20,0.04,169,213,4,4
LIRCMOP7_BC,early,distance20,0.01,12,16,4,3
LIRCMOP7_BC,early,distance20,0.02,36,51,17,15
LIRCMOP7_BC,early,distance20,0.04,169,244,4,4
LIRCMOP7_BC,early,adversarial2000,0.01,12,13,1,1
LIRCMOP7_BC,early,adversarial2000,0.02,36,47,11,9
LIRCMOP7_BC,early,adversarial2000,0.04,169,213,4,4
LIRCMOP7_BC,early,distance2000,0.01,12,19,7,7
LIRCMOP7_BC,early,distance2000,0.02,36,52,12,12
LIRCMOP7_BC,early,distance2000,0.04,169,242,2,2
LIRCMOP7_BC,early,de,0.01,12,14,2,1
LIRCMOP7_BC,early,de,0.02,36,48,8,7
LIRCMOP7_BC,early,de,0.04,169,220,2,2
LIRCMOP7_BC,early,pair_only,0.01,12,13,2,2
LIRCMOP7_BC,early,pair_only,0.02,36,58,20,16
LIRCMOP7_BC,early,pair_only,0.04,169,237,5,5
LIRCMOP7_BC,middle,raw,0.01,21,21,4,3
LIRCMOP7_BC,middle,raw,0.02,89,85,5,4
LIRCMOP7_BC,middle,raw,0.04,364,339,8,8
LIRCMOP7_BC,middle,adversarial20,0.01,21,16,2,2
LIRCMOP7_BC,middle,adversarial20,0.02,89,77,5,3
LIRCMOP7_BC,middle,adversarial20,0.04,364,358,6,5
LIRCMOP7_BC,middle,distance20,0.01,21,21,2,2
LIRCMOP7_BC,middle,distance20,0.02,89,89,7,6
LIRCMOP7_BC,middle,distance20,0.04,364,351,4,4
LIRCMOP7_BC,middle,adversarial2000,0.01,21,16,1,1
LIRCMOP7_BC,middle,adversarial2000,0.02,89,85,8,8
LIRCMOP7_BC,middle,adversarial2000,0.04,364,354,9,6
LIRCMOP7_BC,middle,distance2000,0.01,21,18,2,2
LIRCMOP7_BC,middle,distance2000,0.02,89,80,11,10
LIRCMOP7_BC,middle,distance2000,0.04,364,339,9,9
LIRCMOP7_BC,middle,de,0.01,21,18,2,2
LIRCMOP7_BC,middle,de,0.02,89,87,7,7
LIRCMOP7_BC,middle,de,0.04,364,357,10,8
LIRCMOP7_BC,middle,pair_only,0.01,21,17,2,2
LIRCMOP7_BC,middle,pair_only,0.02,89,85,12,11
LIRCMOP7_BC,middle,pair_only,0.04,364,354,7,2
LIRCMOP7_BC,late,raw,0.01,21,18,0,0
LIRCMOP7_BC,late,raw,0.02,87,94,13,11
LIRCMOP7_BC,late,raw,0.04,311,333,4,4
LIRCMOP7_BC,late,adversarial20,0.01,21,19,1,1
LIRCMOP7_BC,late,adversarial20,0.02,87,79,8,7
LIRCMOP7_BC,late,adversarial20,0.04,311,318,7,6
LIRCMOP7_BC,late,distance20,0.01,21,19,2,1
LIRCMOP7_BC,late,distance20,0.02,87,88,12,11
LIRCMOP7_BC,late,distance20,0.04,311,323,2,2
LIRCMOP7_BC,late,adversarial2000,0.01,21,19,0,0
LIRCMOP7_BC,late,adversarial2000,0.02,87,85,5,5
LIRCMOP7_BC,late,adversarial2000,0.04,311,325,5,5
LIRCMOP7_BC,late,distance2000,0.01,21,20,3,3
LIRCMOP7_BC,late,distance2000,0.02,87,88,11,10
LIRCMOP7_BC,late,distance2000,0.04,311,311,9,8
LIRCMOP7_BC,late,de,0.01,21,20,2,2
LIRCMOP7_BC,late,de,0.02,87,85,10,10
LIRCMOP7_BC,late,de,0.04,311,308,7,6
LIRCMOP7_BC,late,pair_only,0.01,21,17,2,1
LIRCMOP7_BC,late,pair_only,0.02,87,91,12,7
LIRCMOP7_BC,late,pair_only,0.04,311,327,15,7
LIRCMOP8_BC,early,raw,0.01,7,5,1,1
LIRCMOP8_BC,early,raw,0.02,34,36,13,10
LIRCMOP8_BC,early,raw,0.04,160,246,4,4
LIRCMOP8_BC,early,adversarial20,0.01,7,5,3,3
LIRCMOP8_BC,early,adversarial20,0.02,34,38,18,18
LIRCMOP8_BC,early,adversarial20,0.04,160,240,6,6
LIRCMOP8_BC,early,distance20,0.01,7,7,2,2
LIRCMOP8_BC,early,distance20,0.02,34,46,11,10
LIRCMOP8_BC,early,distance20,0.04,160,260,4,4
LIRCMOP8_BC,early,adversarial2000,0.01,7,5,2,2
LIRCMOP8_BC,early,adversarial2000,0.02,34,55,17,16
LIRCMOP8_BC,early,adversarial2000,0.04,160,282,6,6
LIRCMOP8_BC,early,distance2000,0.01,7,6,2,2
LIRCMOP8_BC,early,distance2000,0.02,34,43,11,11
LIRCMOP8_BC,early,distance2000,0.04,160,256,5,5
LIRCMOP8_BC,early,de,0.01,7,3,1,1
LIRCMOP8_BC,early,de,0.02,34,39,16,15
LIRCMOP8_BC,early,de,0.04,160,263,3,3
LIRCMOP8_BC,early,pair_only,0.01,7,10,4,4
LIRCMOP8_BC,early,pair_only,0.02,34,59,26,24
LIRCMOP8_BC,early,pair_only,0.04,160,246,2,2
LIRCMOP8_BC,middle,raw,0.01,18,15,3,3
LIRCMOP8_BC,middle,raw,0.02,65,63,13,11
LIRCMOP8_BC,middle,raw,0.04,378,399,7,5
LIRCMOP8_BC,middle,adversarial20,0.01,18,17,1,1
