FE,IGD,HV,guidedCount,problem,stage,mode
20800,1.22717558645981,0,0,LIRCMOP5_BC,early,adversarial2000
21000,1.22706473266905,0,0,LIRCMOP5_BC,early,adversarial2000
21200,1.22706473266905,0,0,LIRCMOP5_BC,early,adversarial2000
21400,1.22704871588565,0,0,LIRCMOP5_BC,early,adversarial2000
21600,1.22704871588565,0,0,LIRCMOP5_BC,early,adversarial2000
21800,1.22704871588565,0,0,LIRCMOP5_BC,early,adversarial2000
22000,1.22701613933652,0,0,LIRCMOP5_BC,early,adversarial2000
22200,1.22701613933652,0,0,LIRCMOP5_BC,early,adversarial2000
22400,1.22701613933652,0,0,LIRCMOP5_BC,early,adversarial2000
22600,1.22701613933652,0,0,LIRCMOP5_BC,early,adversarial2000
22800,1.22701613933652,0,0,LIRCMOP5_BC,early,adversarial2000
23000,1.22701613933652,0,0,LIRCMOP5_BC,early,adversarial2000
23200,1.22701613933652,0,0,LIRCMOP5_BC,early,adversarial2000
23400,1.22701613933652,0,0,LIRCMOP5_BC,early,adversarial2000
23600,1.22701613933652,0,0,LIRCMOP5_BC,early,adversarial2000
23800,1.22701613933652,0,0,LIRCMOP5_BC,early,adversarial2000
24000,1.22701613933652,0,0,LIRCMOP5_BC,early,adversarial2000
24200,1.22701613933652,0,0,LIRCMOP5_BC,early,adversarial2000
24400,1.22701613933652,0,0,LIRCMOP5_BC,early,adversarial2000
24600,1.22701613933652,0,0,LIRCMOP5_BC,early,adversarial2000
24800,1.22701613933652,0,0,LIRCMOP5_BC,early,adversarial2000
25000,1.22701613933652,0,0,LIRCMOP5_BC,early,adversarial2000
20000,1.22718262349464,0,0,LIRCMOP5_BC,early,distance2000
20200,1.22717574127631,0,20,LIRCMOP5_BC,early,distance2000
20400,1.22717574127631,0,0,LIRCMOP5_BC,early,distance2000
20600,1.22717574127631,0,0,LIRCMOP5_BC,early,distance2000
20800,1.22717574127631,0,0,LIRCMOP5_BC,early,distance2000
21000,1.22717574127631,0,0,LIRCMOP5_BC,early,distance2000
21200,1.22714305410879,0,0,LIRCMOP5_BC,early,distance2000
21400,1.22714305410879,0,0,LIRCMOP5_BC,early,distance2000
21600,1.22714305410879,0,0,LIRCMOP5_BC,early,distance2000
21800,1.22714305410879,0,0,LIRCMOP5_BC,early,distance2000
22000,1.22714305410879,0,0,LIRCMOP5_BC,early,distance2000
22200,1.22701569295431,0,0,LIRCMOP5_BC,early,distance2000
22400,1.22701569295431,0,0,LIRCMOP5_BC,early,distance2000
22600,1.22690660356431,0,0,LIRCMOP5_BC,early,distance2000
22800,1.22690660356431,0,0,LIRCMOP5_BC,early,distance2000
