problem,seed,prefixFE,mode,backboneSeed,queryAvailable,trainingStream,initialIGD,finalIGD,finalHV,IGDAUC,firstSelected,firstSurvivedP1,firstGuidedInfeasible,suffixFE,wallSeconds,firstSurvivedP2,firstGuidedFeasible,firstRetainedInfeasibleEndpoints,firstRetainedFeasibleEndpoints
LIRCMOP5_BC,1,20000,raw,1891096984,1,1,1.22718262349464,1.22727243380924,0,1.22708520766143,20,0,4,5000,3.54099991666667,0,2,1,0
LIRCMOP5_BC,1,20000,adversarial20,1891096984,1,1,1.22718262349464,1.22736337893122,0,1.22715624894509,20,0,0,5000,2.61513945833333,1,7,1,0
LIRCMOP5_BC,1,20000,distance20,1891096984,1,1,1.22718262349464,1.22695455441535,0,1.22706729865431,20,2,2,5000,2.843903875,4,6,3,2
LIRCMOP5_BC,1,20000,adversarial2000,1891096984,1,1,1.22718262349464,1.22701613933652,0,1.22705278959723,20,2,2,5000,3.21152066666667,2,3,1,2
LIRCMOP5_BC,1,20000,distance2000,1891096984,1,1,1.22718262349464,1.22692739383309,0,1.22702321618154,20,2,5,5000,3.689647625,4,5,5,2
LIRCMOP5_BC,1,20000,de,1891096984,1,1,1.22718262349464,1.22708805425018,0,1.22713684805983,0,0,0,5000,2.28270858333333,0,0,0,0
LIRCMOP5_BC,1,20000,pair_only,1891096984,1,1,1.22718262349464,1.22686339164478,0,1.22716832367054,20,0,21,5000,1.92130245833333,0,0,19,0
LIRCMOP5_BC,1,50000,raw,1891096984,1,1,0.203784195110152,0.148273399482949,0.229153983401135,0.176453614319008,20,0,0,5000,2.17790625,0,0,0,0
LIRCMOP5_BC,1,50000,adversarial20,1891096984,1,1,0.203784195110152,0.103147271852833,0.251135638867167,0.149461231152401,20,1,0,5000,3.40317041666667,0,0,0,0
LIRCMOP5_BC,1,50000,distance20,1891096984,1,1,0.203784195110152,0.135414346206193,0.234429414391642,0.174021217789697,20,1,1,5000,1.94953004166667,0,0,0,0
LIRCMOP5_BC,1,50000,adversarial2000,1891096984,1,1,0.203784195110152,0.124235274959435,0.241251658521671,0.155093984868589,20,1,5,5000,2.15696258333333,2,0,1,0
LIRCMOP5_BC,1,50000,distance2000,1891096984,1,1,0.203784195110152,0.129522423243795,0.239084129879841,0.166737681128924,20,2,4,5000,2.24875983333333,5,0,1,1
LIRCMOP5_BC,1,50000,de,1891096984,1,1,0.203784195110152,0.115752704704009,0.245314259480124,0.167838110998427,0,0,0,5000,1.69817908333333,0,0,0,0
LIRCMOP5_BC,1,50000,pair_only,1891096984,1,1,0.203784195110152,0.117092551384578,0.242470115537725,0.164038369485077,14,8,4,5000,1.77483516666667,12,8,3,4
LIRCMOP5_BC,1,80000,raw,1891096984,1,1,0.0231293045717907,0.0215145029914622,0.283268016668089,0.0223998284373887,20,0,0,5000,2.22223620833333,0,0,0,0
LIRCMOP5_BC,1,80000,adversarial20,1891096984,1,1,0.0231293045717907,0.0210151968234111,0.283217139292911,0.0219988340041015,20,0,1,5000,2.83534920833333,0,0,0,0
LIRCMOP5_BC,1,80000,distance20,1891096984,1,1,0.0231293045717907,0.0215499009911274,0.28305125417929,0.0223143482142031,20,1,1,5000,3.08812816666667,1,4,0,1
LIRCMOP5_BC,1,80000,adversarial2000,1891096984,1,1,0.0231293045717907,0.0218542071981244,0.282879031496132,0.0224126561918046,20,0,0,5000,3.03250295833333,0,0,0,0
LIRCMOP5_BC,1,80000,distance2000,1891096984,1,1,0.0231293045717907,0.0213069948872243,0.283008965851034,0.0220959265508066,20,2,2,5000,3.001179875,4,5,1,0
LIRCMOP5_BC,1,80000,de,1891096984,1,1,0.0231293045717907,0.0210808107372973,0.283143811062072,0.0219812928671592,0,0,0,5000,1.653787875,0,0,0,0
LIRCMOP5_BC,1,80000,pair_only,1891096984,1,1,0.0231293045717907,0.0208154307079757,0.28330750913806,0.0216102945211351,12,4,0,5000,1.8569675,3,14,0,4
LIRCMOP6_BC,1,20000,raw,1891096984,1,1,1.34791215973994,1.34694046850355,0,1.34735924877441,20,0,33,5000,2.02339104166667,0,0,5,0
LIRCMOP6_BC,1,20000,adversarial20,1891096984,1,1,1.34791215973994,1.34749637040122,0,1.34773133840114,20,0,31,5000,2.76548229166667,1,0,2,0
LIRCMOP6_BC,1,20000,distance20,1891096984,1,1,1.34791215973994,1.34814010236232,0,1.34797303462331,20,0,51,5000,3.17698945833333,3,1,6,0
LIRCMOP6_BC,1,20000,adversarial2000,1891096984,1,1,1.34791215973994,1.34684495315659,0,1.3469934318161,20,0,48,5000,3.506391125,1,0,5,0
LIRCMOP6_BC,1,20000,distance2000,1891096984,1,1,1.34791215973994,1.34768069599767,0,1.34781555190731,20,0,69,5000,3.93386866666667,6,0,4,0
LIRCMOP6_BC,1,20000,de,1891096984,1,1,1.34791215973994,1.34659367804169,0,1.3470209504557,0,0,0,5000,2.11738708333333,0,0,0,0
LIRCMOP6_BC,1,20000,pair_only,1891096984,1,1,1.34791215973994,1.34729949745815,0,1.34759458809028,20,0,78,5000,2.32291575,1,0,19,0
LIRCMOP6_BC,1,50000,raw,1891096984,1,1,0.128832032757393,0.0750573105827413,0.172464741279171,0.0838493208046643,20,0,0,5000,1.77849491666667,0,0,0,0
LIRCMOP6_BC,1,50000,adversarial20,1891096984,1,1,0.128832032757393,0.0750573105827413,0.172464741279171,0.0838493208046643,20,0,0,5000,2.6480935,0,0,0,0
