problem,seed,prefixFE,mode,backboneSeed,queryAvailable,trainingStream,initialIGD,finalIGD,finalHV,IGDAUC,firstSelected,firstSurvivedP1,firstGuidedInfeasible,suffixFE,wallSeconds,firstSurvivedP2,firstGuidedFeasible,firstRetainedInfeasibleEndpoints,firstRetainedFeasibleEndpoints
LIRCMOP6_BC,1,50000,distance20,1891096984,1,1,0.128832032757393,0.0358222200403601,0.182782705817434,0.0746692788253637,20,1,4,5000,2.12343495833333,0,0,0,0
LIRCMOP6_BC,1,50000,adversarial2000,1891096984,1,1,0.128832032757393,0.0494508169144212,0.178215237946641,0.0802338164704744,20,0,1,5000,2.955817625,0,0,0,0
LIRCMOP6_BC,1,50000,distance2000,1891096984,1,1,0.128832032757393,0.0402511569096102,0.182152894617582,0.077335462599944,20,1,2,5000,3.71556325,2,0,0,0
LIRCMOP6_BC,1,50000,de,1891096984,1,1,0.128832032757393,0.0393892746616467,0.181847906394006,0.0745438546754434,0,0,0,5000,1.85698008333333,0,0,0,0
LIRCMOP6_BC,1,50000,pair_only,1891096984,1,1,0.128832032757393,0.0514596151394114,0.177345840545539,0.0844302024574735,8,4,0,5000,1.87958308333333,4,13,0,2
LIRCMOP6_BC,1,80000,raw,1891096984,0,1,0.0198650529916481,0.0174310306874584,0.191950167007709,0.0186802379934108,0,0,0,5000,1.65208958333333,0,0,0,0
LIRCMOP6_BC,1,80000,adversarial20,1891096984,0,1,0.0198650529916481,0.0174310306874584,0.191950167007709,0.0186802379934108,0,0,0,5000,1.55550954166667,0,0,0,0
LIRCMOP6_BC,1,80000,distance20,1891096984,0,1,0.0198650529916481,0.0174310306874584,0.191950167007709,0.0186802379934108,0,0,0,5000,1.69634075,0,0,0,0
LIRCMOP6_BC,1,80000,adversarial2000,1891096984,0,1,0.0198650529916481,0.0174310306874584,0.191950167007709,0.0186802379934108,0,0,0,5000,1.475624125,0,0,0,0
LIRCMOP6_BC,1,80000,distance2000,1891096984,0,1,0.0198650529916481,0.0174310306874584,0.191950167007709,0.0186802379934108,0,0,0,5000,1.60948266666667,0,0,0,0
LIRCMOP6_BC,1,80000,de,1891096984,0,1,0.0198650529916481,0.0174310306874584,0.191950167007709,0.0186802379934108,0,0,0,5000,1.51575558333333,0,0,0,0
LIRCMOP6_BC,1,80000,pair_only,1891096984,0,1,0.0198650529916481,0.0174310306874584,0.191950167007709,0.0186802379934108,0,0,0,5000,1.63923383333333,0,0,0,0
LIRCMOP7_BC,1,20000,raw,1891096984,1,1,0.116053950259326,0.110306318410113,0.248657549189544,0.112228625071218,20,0,16,5000,2.28347341666667,1,5,2,0
LIRCMOP7_BC,1,20000,adversarial20,1891096984,1,1,0.116053950259326,0.108844374622025,0.249029286122209,0.113049871905672,20,0,25,5000,2.99366758333333,4,1,2,0
LIRCMOP7_BC,1,20000,distance20,1891096984,1,1,0.116053950259326,0.110718021524589,0.248229092008541,0.111907226544244,20,1,20,5000,3.33018504166667,12,8,4,1
LIRCMOP7_BC,1,20000,adversarial2000,1891096984,1,1,0.116053950259326,0.112131554301025,0.248017171482453,0.11326416363205,20,0,15,5000,3.70194258333333,3,20,2,0
LIRCMOP7_BC,1,20000,distance2000,1891096984,1,1,0.116053950259326,0.109334724290595,0.248537344502779,0.112226809931473,20,1,32,5000,4.48474933333333,9,5,7,1
LIRCMOP7_BC,1,20000,de,1891096984,1,1,0.116053950259326,0.112273272082152,0.247566800094408,0.113927331389446,0,0,0,5000,2.03544479166667,0,0,0,0
LIRCMOP7_BC,1,20000,pair_only,1891096984,1,1,0.116053950259326,0.111967894813314,0.247710287480103,0.114356986120252,20,2,49,5000,1.898274625,4,7,18,1
LIRCMOP7_BC,1,50000,raw,1891096984,1,1,0.0791380824412716,0.0614752211464987,0.265691929296764,0.0683121111120271,20,0,13,5000,1.84668145833333,0,0,0,0
LIRCMOP7_BC,1,50000,adversarial20,1891096984,1,1,0.0791380824412716,0.0620664314378104,0.267072758585381,0.0791819701173198,20,0,17,5000,2.79026170833333,0,5,2,0
LIRCMOP7_BC,1,50000,distance20,1891096984,1,1,0.0791380824412716,0.078818249084266,0.26196623059854,0.0778906286014532,20,0,16,5000,4.13866154166667,2,7,2,0
LIRCMOP7_BC,1,50000,adversarial2000,1891096984,1,1,0.0791380824412716,0.0719253119550204,0.263642389826736,0.0729354890821433,20,0,3,5000,3.421307,0,1,0,0
LIRCMOP7_BC,1,50000,distance2000,1891096984,1,1,0.0791380824412716,0.0715722415946136,0.262369667752504,0.0748780756881765,20,3,36,5000,3.68686345833333,4,36,4,3
LIRCMOP7_BC,1,50000,de,1891096984,1,1,0.0791380824412716,0.0716093527560337,0.262466601661109,0.0747417955107877,0,0,0,5000,1.77377483333333,0,0,0,0
LIRCMOP7_BC,1,50000,pair_only,1891096984,1,1,0.0791380824412716,0.065681002897347,0.264338675182323,0.076210430446933,20,3,33,5000,2.15885266666667,3,25,17,3
LIRCMOP7_BC,1,80000,raw,1891096984,1,1,0.0105797636404637,0.00912603704356425,0.293341331001219,0.00992585143701768,20,0,19,5000,1.974724125,0,0,1,0
LIRCMOP7_BC,1,80000,adversarial20,1891096984,1,1,0.0105797636404637,0.0097468554861442,0.292966197679202,0.010191083113624,20,0,18,5000,3.167692125,0,4,3,0
LIRCMOP7_BC,1,80000,distance20,1891096984,1,1,0.0105797636404637,0.00930919538303696,0.293141708035902,0.00995166527190118,20,0,25,5000,2.80672204166667,0,0,2,0
LIRCMOP7_BC,1,80000,adversarial2000,1891096984,1,1,0.0105797636404637,0.00952238709593108,0.293062517684254,0.0101367544474397,20,0,15,5000,3.239252625,0,0,1,0
LIRCMOP7_BC,1,80000,distance2000,1891096984,1,1,0.0105797636404637,0.00936658637516017,0.293191362010699,0.00998088171506568,20,0,28,5000,3.21937033333333,0,0,3,0
LIRCMOP7_BC,1,80000,de,1891096984,1,1,0.0105797636404637,0.00969202226085198,0.29302235864544,0.0100514965247467,0,0,0,5000,2.01682833333333,0,0,0,0
LIRCMOP7_BC,1,80000,pair_only,1891096984,1,1,0.0105797636404637,0.00996916732414413,0.292864363150129,0.0102461197651025,20,0,53,5000,1.96227933333333,0,0,20,0
LIRCMOP8_BC,1,20000,raw,1891096984,1,1,0.186415690105875,0.139532804054548,0.239813724170163,0.172220630345834,20,0,32,5000,1.92458833333333,0,0,2,0
LIRCMOP8_BC,1,20000,adversarial20,1891096984,1,1,0.186415690105875,0.152320953959305,0.240159751644481,0.16320358869255,20,0,23,5000,2.3164945,0,0,1,0
LIRCMOP8_BC,1,20000,distance20,1891096984,1,1,0.186415690105875,0.17349733133738,0.234730440028793,0.18044597564303,20,0,37,5000,2.550171,12,0,4,0
LIRCMOP8_BC,1,20000,adversarial2000,1891096984,1,1,0.186415690105875,0.146241242007895,0.238723037033118,0.16593775224581,20,0,32,5000,2.86066666666667,4,1,2,0
LIRCMOP8_BC,1,20000,distance2000,1891096984,1,1,0.186415690105875,0.134699975518759,0.243009410166458,0.161759193618389,20,1,53,5000,2.83281808333333,14,0,5,1
LIRCMOP8_BC,1,20000,de,1891096984,1,1,0.186415690105875,0.137389868306311,0.243637856732491,0.165715053321271,0,0,0,5000,1.752278625,0,0,0,0
LIRCMOP8_BC,1,20000,pair_only,1891096984,1,1,0.186415690105875,0.148170722049703,0.237361905262317,0.163835246960952,20,1,65,5000,1.72265254166667,4,10,19,1
LIRCMOP8_BC,1,50000,raw,1891096984,1,1,0.0127664118070928,0.0104388895411797,0.292608613313534,0.0109642482885499,20,1,8,5000,1.98147791666667,0,8,1,0
LIRCMOP8_BC,1,50000,adversarial20,1891096984,1,1,0.0127664118070928,0.0102073252159534,0.29275446527691,0.0109808724329102,20,0,20,5000,3.36985958333333,0,0,1,0
LIRCMOP8_BC,1,50000,distance20,1891096984,1,1,0.0127664118070928,0.0100570981576473,0.292693205181038,0.0111301507819506,20,0,30,5000,2.89527475,0,0,0,0
LIRCMOP8_BC,1,50000,adversarial2000,1891096984,1,1,0.0127664118070928,0.010319592533452,0.292593068114282,0.0108542142537171,20,0,31,5000,3.1088775,0,0,1,0
LIRCMOP8_BC,1,50000,distance2000,1891096984,1,1,0.0127664118070928,0.0103629903650132,0.292709816757134,0.0111116263999933,20,0,42,5000,2.21458766666667,0,0,4,0
LIRCMOP8_BC,1,50000,de,1891096984,1,1,0.0127664118070928,0.0108993323009419,0.292476942057157,0.0112871222174381,0,0,0,5000,1.935413875,0,0,0,0
LIRCMOP8_BC,1,50000,pair_only,1891096984,1,1,0.0127664118070928,0.0108821379569786,0.292339993331368,0.011238700550192,20,0,67,5000,1.60606708333333,0,0,19,0
LIRCMOP8_BC,1,80000,raw,1891096984,1,1,0.00847039024383235,0.00844139600175174,0.293711961584417,0.00846447213381204,20,0,8,5000,1.8350135,0,7,0,0
LIRCMOP8_BC,1,80000,adversarial20,1891096984,1,1,0.00847039024383235,0.00829176675751862,0.293815542226086,0.00842639372010531,20,0,5,5000,2.88274483333333,0,1,0,0
LIRCMOP8_BC,1,80000,distance20,1891096984,1,1,0.00847039024383235,0.00832429640711287,0.293817140433322,0.008448676601751,20,0,19,5000,3.18267066666667,0,4,3,0
LIRCMOP8_BC,1,80000,adversarial2000,1891096984,1,1,0.00847039024383235,0.00827408050759286,0.293820037816982,0.00846917814505881,20,0,10,5000,2.118689,0,0,3,0
LIRCMOP8_BC,1,80000,distance2000,1891096984,1,1,0.00847039024383235,0.008803334593981,0.293565193354515,0.0086267710431161,20,0,25,5000,2.21275645833333,0,5,3,0
LIRCMOP8_BC,1,80000,de,1891096984,1,1,0.00847039024383235,0.00867491499616438,0.293599998744572,0.00850642738080226,0,0,0,5000,1.333483625,0,0,0,0
LIRCMOP8_BC,1,80000,pair_only,1891096984,1,1,0.00847039024383235,0.00824408109075809,0.29379920191107,0.00839096806131633,20,0,54,5000,1.83650533333333,0,0,17,0
