exactDistance,weightedDecisionMSE,conditionalVariance,varianceFraction,gradientCosine,objectiveGap,reverseCoverageGap,seenObjectiveGap,conditionalSeenGap,singletonObjectiveGap,multipleObjectiveGap,archiveExcludedObjectiveGap,archiveUnseenObjectiveGap,directionError,seenDirectionError,singletonConditions,multipleConditions,archiveExcludedConditions,archiveUnseenConditions,queryConditions,generatedFeasibleRate,offlineFE,offlineObjRows,offlineConRows,addedUpdates,trainingSeconds,problem,stage,stream,loss
0.494338005781174,0.00220828888984709,7.43203248248767e-05,0.0336551640351833,-0.630477887931139,0.350930241160301,0.249665930181813,0.149240553348462,0.469276933583522,0.153416015384097,0.100327998073882,0.139162417567545,0.553728523908041,22.7222992284771,12.1935658385754,82.0,7.0,11.0,100.0,200.0,0.12,200.0,400.0,200.0,0.0,0.0,LIRCMOP7_BC,early,1.0,adversarial
0.480848431587219,0.00210038674787513,7.43203248248767e-05,0.0353841143304028,0.286836674163254,0.348348050730514,0.235734571822806,0.146994087226231,0.421544422414005,0.15344336220882,0.0714454374301929,0.118806688601315,0.552802628083537,18.1892214132632,8.82037107141596,82.0,7.0,11.0,100.0,200.0,0.135,200.0,400.0,200.0,20.0,12.073088625,LIRCMOP7_BC,early,1.0,adversarial
0.442584604024887,0.00178575116857671,7.43203248248767e-05,0.0416185222962009,-0.12089337638311,0.237450359315499,0.228612497016624,0.0812228623146083,0.438505659041871,0.0834894210734307,0.0546717454255458,0.0650678134779625,0.395454911688421,6.43700268272102,5.90981757556667,82.0,7.0,11.0,100.0,200.0,0.2,200.0,400.0,200.0,200.0,31.9215703333333,LIRCMOP7_BC,early,1.0,adversarial
0.4287368953228,0.00164427557475861,7.43203248248767e-05,0.0451994336994196,-0.162693499556109,0.273392193000345,0.215624014753937,0.10571537406645,0.429931647449386,0.109158969065876,0.065376118358884,0.0836227588233573,0.443499199610981,5.37909495481029,5.26319929909713,82.0,7.0,11.0,100.0,200.0,0.235,200.0,400.0,200.0,2000.0,118.01952075,LIRCMOP7_BC,early,1.0,adversarial
0.494338005781174,0.00220828888984709,7.43203248248767e-05,0.0336551640351833,-0.630477887931139,0.350930241160301,0.249665930181813,0.149240553348462,0.469276933583522,0.153416015384097,0.100327998073882,0.139162417567545,0.553728523908041,22.7222992284771,12.1935658385754,82.0,7.0,11.0,100.0,200.0,0.12,200.0,400.0,200.0,0.0,0.0,LIRCMOP7_BC,early,2.0,adversarial
0.480446577072144,0.00209358879831408,7.43203248248767e-05,0.0354990076774986,0.430944925374113,0.352459521793582,0.240448889598824,0.145355759852732,0.428015481741736,0.151499268472909,0.0733889445878052,0.118162291109114,0.56255456529623,19.681583723355,9.79386079101276,82.0,7.0,11.0,100.0,200.0,0.135,200.0,400.0,200.0,20.0,12.2178596666667,LIRCMOP7_BC,early,2.0,adversarial
0.442430585622787,0.00178577013417823,7.43203248248767e-05,0.0416180802906513,-0.247046844937213,0.232691386547881,0.233349274639456,0.0785221270361543,0.446073181549711,0.0802200392722827,0.0586322979843639,0.0631723725603738,0.388549119051944,6.48117179353093,5.65318721822401,82.0,7.0,11.0,100.0,200.0,0.205,200.0,400.0,200.0,200.0,31.6341236666667,LIRCMOP7_BC,early,2.0,adversarial
0.426947772502899,0.0016478319580219,7.43203248248767e-05,0.0451018833947685,-0.387626175481395,0.271297287443331,0.223020609606995,0.0946259644915206,0.403242689282419,0.0969618072252034,0.0672632353255215,0.085950595692085,0.44892290096308,5.34764095535597,4.78695123191541,82.0,7.0,11.0,100.0,200.0,0.235,200.0,400.0,200.0,2000.0,116.885251833333,LIRCMOP7_BC,early,2.0,adversarial
0.494338005781174,0.00220828888984709,7.43203248248767e-05,0.0336551640351833,-0.630477887931139,0.350930241160301,0.249665930181813,0.149240553348462,0.469276933583522,0.153416015384097,0.100327998073882,0.139162417567545,0.553728523908041,22.7222992284771,12.1935658385754,82.0,7.0,11.0,100.0,200.0,0.12,200.0,400.0,200.0,0.0,0.0,LIRCMOP7_BC,early,3.0,adversarial
0.479471981525421,0.00208377968418539,7.43203248248767e-05,0.0356661145076528,0.468258068659884,0.340842149065032,0.234270554772095,0.142125307253925,0.423925683927349,0.146860490748521,0.086656014888656,0.115007502294476,0.542541949421677,18.5787607424649,9.30618547295147,82.0,7.0,11.0,100.0,200.0,0.14,200.0,400.0,200.0,20.0,12.0552446666667,LIRCMOP7_BC,early,3.0,adversarial
