problem,stage,loss,stream,addedUpdates,exactDistanceRatio,seenObjectiveGapRatio,singletonObjectiveGapRatio,conditionalSeenGapRatio,reverseCoverageGapRatio,directionErrorRatio
LIRCMOP7_BC,early,adversarial,1.0,20.0,1.029486875835222,0.9489398252121479,0.9472609121783765,0.955855541651463,1.2752499226242249,2.7195380397901094
LIRCMOP7_BC,early,adversarial,1.0,200.0,0.9121207600366036,0.5417374775494535,0.5379729686727808,1.0404241145114557,1.5381224319144455,0.8693327087807212
LIRCMOP7_BC,early,adversarial,1.0,2000.0,0.9269507171775179,0.7615605659026939,0.755770983316462,1.1187827432594628,1.2767963458245224,0.5200477329245875
LIRCMOP7_BC,early,adversarial,2.0,20.0,1.0105812848742477,0.5584579059279037,0.5565915653969661,0.8721340602136403,1.3724726224595252,3.347819140495577
LIRCMOP7_BC,early,adversarial,2.0,200.0,0.8957906157778417,0.49205589020853285,0.48451208139416524,0.8301348896513595,1.801931481329536,1.065267166771117
LIRCMOP7_BC,early,adversarial,2.0,2000.0,0.8906800458185123,0.5887336279698907,0.5773754029996082,0.9944968452613451,1.8100735526659772,0.8524089553166818
LIRCMOP7_BC,early,adversarial,3.0,20.0,1.0285023021486046,0.890969879273302,0.8827853094730925,0.9665303790748347,1.4146770926330616,2.754637245780033
LIRCMOP7_BC,early,adversarial,3.0,200.0,0.936616440096236,0.6132979371026719,0.6169837895033876,1.2608384746281653,1.6501981567862094,1.1213769950141836
LIRCMOP7_BC,early,adversarial,3.0,2000.0,0.8481180644409729,0.48813210149043496,0.48119979204456936,0.7245928150942754,1.7065063150573683,0.6709945956905021
LIRCMOP7_BC,early,distance,1.0,20.0,1.0753653245680537,1.6240521394979737,1.6653609717514806,0.8927395632383347,0.982526115795984,2.607893015682623
LIRCMOP7_BC,early,distance,1.0,200.0,1.0372508609463145,0.9939049501785288,1.015751146586677,1.0530745216125041,1.0045599075505618,1.6707760389181037
LIRCMOP7_BC,early,distance,1.0,2000.0,1.0280483617157088,0.8493840661827289,0.8424453420710771,1.1167940194760635,1.0947274039708152,1.706815454044056
LIRCMOP7_BC,early,distance,2.0,20.0,1.07633576276675,1.6699811013672259,1.7024430557594428,1.0459264825334635,1.0992554638193601,3.7553817479715694
LIRCMOP7_BC,early,distance,2.0,200.0,1.0418133926483424,0.9575185573635171,0.9741677471450209,0.9944383074872695,0.9599925281130898,1.4268775089113528
