problem,stage,addedUpdates,pairedStreams,supportCount,exactDistanceRatioGeoMean,seenObjectiveGapRatioGeoMean,singletonObjectiveGapRatioGeoMean,conditionalSeenGapRatioGeoMean,objectiveGapRatioGeoMean,reverseCoverageGapRatioGeoMean,directionErrorRatioGeoMean,weightedDecisionMSERatioGeoMean
LIRCMOP7_BC,early,20.0,3,0,0.9836614972615157,0.9235368073043434,0.9269417489540027,0.9827047727227218,0.9625195625709148,1.0065626168288044,0.9834330659843595,0.9686634513633542
LIRCMOP7_BC,early,200.0,3,0,0.981797841273392,0.9379601516307347,0.9358751031607253,0.972272887083978,0.9288525305850303,1.0384732623054183,0.8816955955887615,0.965336289521622
LIRCMOP7_BC,early,2000.0,3,0,0.9677653546157411,0.8068305201865387,0.7919516916225087,0.9727294254175991,0.7707460485995946,1.097979674345145,0.7302896745525647,0.9543555512835885
LIRCMOP7_BC,late,20.0,3,0,0.9931331153533156,0.9823111479258234,0.9816131356888106,1.023642869421095,0.9884051367655837,1.001849807962665,1.0371709185868203,0.9905661140652878
LIRCMOP7_BC,late,200.0,3,0,0.9776646727330912,0.9145200623516636,0.9185337479248389,0.9594084812032078,0.9279585896577086,0.9878968278859992,0.9289978393992683,0.9426707841803429
LIRCMOP7_BC,late,2000.0,3,0,0.9565538506605276,0.973931259673992,1.02072916467132,1.0112984024299418,0.9367789558965353,1.2263097552726971,0.9194683273226876,0.9121086398769032
LIRCMOP7_BC,middle,20.0,3,0,0.9872812150523369,1.0036224511738612,0.9969395789561193,1.0099741433653837,0.9985170645828682,1.0332765899931193,0.9327536639719476,0.9829125841815765
LIRCMOP7_BC,middle,200.0,3,0,0.971420752191044,0.9585610543099871,0.9340526209023804,1.042716473762066,0.9517740288038387,1.093780935317709,0.9679572132664802,0.9491011126594571
LIRCMOP7_BC,middle,2000.0,3,0,0.9710314269277303,0.8819839173562651,0.9002596209780755,0.9633738165246889,0.9460559221887506,1.0208762160882672,1.3369815637933944,0.9462963552926458
LIRCMOP8_BC,early,20.0,3,0,0.9612451700906445,0.962856953021472,0.9740557091650456,0.9215613927209952,0.9577146523531106,1.1182336420211834,0.9487117041429665,0.9305190286633823
LIRCMOP8_BC,early,200.0,3,0,0.9582339356616628,1.040144970253095,1.0401182431289975,0.9834174893275445,0.9186101406209018,1.2452904327872607,0.8750924741049237,0.9311543395416809
LIRCMOP8_BC,early,2000.0,3,0,0.9665341939790182,0.8764205098163966,0.8770196207767925,0.9188006486113814,0.920082623520864,0.9075593996596847,0.9255223890980404,0.9471734763576526
LIRCMOP8_BC,late,20.0,3,0,0.9846594740091221,1.1047181075748225,1.056693132697642,1.047224254267783,1.1267457895415405,1.026483413504774,0.9950632649895156,0.9682643061885321
LIRCMOP8_BC,late,200.0,3,0,0.9837419273412467,0.9740957546250666,0.9587646328418423,0.957912760536882,0.992069212589811,1.130488164115047,0.9714698705822026,0.9743837147635961
LIRCMOP8_BC,late,2000.0,3,0,0.9751053929712044,1.067949405190331,1.0799397307224508,1.0676069261665275,1.0559508208610713,1.0590863635659278,0.9431291873118449,0.9360824214095461
LIRCMOP8_BC,middle,20.0,3,0,0.9863635065175433,1.0284026875036294,1.0164618087932877,0.9601180488123185,1.0234588719804503,1.0163312091733643,0.9456202652710646,0.9803815649612077
LIRCMOP8_BC,middle,200.0,3,0,0.9796474825460539,0.9953592107989193,0.9734536886378681,1.0250579187538613,0.945266228165542,1.2452381746506505,1.1049239870522731,0.9656244158928466
LIRCMOP8_BC,middle,2000.0,3,0,0.9615494993799731,1.0040427820596125,1.0022586744389854,1.0280921667552392,0.9466937610143278,1.1992747222105915,0.8445162534033055,0.9385113023009151
