exactDistance,weightedDecisionMSE,conditionalVariance,varianceFraction,gradientCosine,objectiveGap,reverseCoverageGap,seenObjectiveGap,conditionalSeenGap,singletonObjectiveGap,multipleObjectiveGap,archiveExcludedObjectiveGap,archiveUnseenObjectiveGap,directionError,seenDirectionError,singletonConditions,multipleConditions,archiveExcludedConditions,archiveUnseenConditions,queryConditions,generatedFeasibleRate,offlineFE,offlineObjRows,offlineConRows,problem,searchSeed,stage,observationFE,trainingFE,currentArchivePairs,currentActivePairs,fixedTrainingPairs
0.487163543701172,0.002233361782571,0.000103979524165293,0.0465574028250785,-0.269202061607188,0.100778530005877,0.231158958447335,0.0936421872200263,0.386409765025094,0.0931122178248613,0.0981228375609663,0.118367058125346,0.106684106893982,6.621103448488,5.50593415587873,93,11,15,81,200,0.185,200,400,200,LIRCMOP5_BC,1,early,20000,20000,136,62,62
0.699397563934326,0.00438561244737418,4.87821154389407e-05,0.0111232162039644,-0.305830752617317,0.375547034204746,0.458819387250836,0.332850865568774,1.09607263051711,0.336950570037308,0.226258549386887,NaN,0.382210598095909,14.931105974106,12.6251917717184,26,1,0,173,200,0.05,200,400,200,LIRCMOP5_BC,1,first,5400,5400,18,15,15
0.3715940117836,0.00156158169200488,5.46841806848427e-06,0.00350184565846406,-0.589813539612511,1.24093823956098,0.253046211537626,0.131992060274897,0.455993933426924,0.136375330793011,0.079392814057535,0.24520311678157,1.32379864522495,16.5884242340441,10.6738141030532,12,1,1,186,200,0.36,200,400,200,LIRCMOP5_BC,1,late,80000,79000,14,6,8
0.462527692317963,0.0021440752048835,8.69698576293618e-05,0.0405628764472781,-0.231401184384759,0.475680159407066,0.230825543100044,0.196081114886273,0.592222315068794,0.215816636494583,0.0776679852364095,NaN,0.496725248779598,16.9351740958677,4.55405178310523,12,2,0,186,200,0.17,200,400,200,LIRCMOP5_BC,1,middle,50000,49000,9,7,9
0.458168298006058,0.00208193099790155,0.000328509463787827,0.157790754890024,-0.558225215905944,9.96473813036787,0.440965448807567,0.23428922880918,0.556859060335533,0.230107345276848,0.255198646470837,0.273993518727555,10.6967105822065,31.4094398810684,7.67870462728205,10,2,2,186,200,0.67,200,400,200,LIRCMOP5_BC,1,terminal,99800,97800,18,6,9
0.692486822605133,0.00445553642752044,0.000249911902030064,0.0560901938735001,-0.186693514559393,0.188835315631949,0.284465732256493,0.118078593091788,0.518154754257589,0.120616909055111,0.0991388509039203,0.0876198359926827,0.369163713441878,9.83078855971522,5.1208821256573,97,13,30,60,200,0.065,200,400,200,LIRCMOP6_BC,1,early,20000,20000,297,68,68
0.859184563159943,0.0065800267971622,0,0,-0.15965569416921,0.914125857704211,0.284504381812736,0.438424961350309,0.982689413852938,0.438424961350309,NaN,NaN,0.952696200651825,15.9995808716564,5.99082111398491,15,0,0,185,200,0.56,200,400,200,LIRCMOP6_BC,1,first,5600,5400,4,4,8
0.368226528167725,0.00114424782590243,0,0,-0.0318376778079645,1.16297312603373,0.203942123977056,0.218572018580211,0.244985484528613,0.218572018580211,NaN,NaN,1.21267844747865,27.0744340536927,7.06134998432172,10,0,0,190,200,0.165,200,400,200,LIRCMOP6_BC,1,late,80000,74400,0,0,9
0.50182044506073,0.00212032227042812,0,0,0.0426689144100993,0.614392986512938,0.193440860147734,0.358877159614641,0.435867984370189,0.358877159614641,NaN,NaN,0.627841187928638,10.699317372003,8.53723577543137,10,0,0,190,200,0.06,200,400,200,LIRCMOP6_BC,1,middle,50000,49800,6,4,8
0.368226528167725,0.00114424782590243,0,0,-0.0318376778079645,1.16297312603373,0.203942123977056,0.218572018580211,0.244985484528613,0.218572018580211,NaN,NaN,1.21267844747865,27.0744340536927,7.06134998432172,10,0,0,190,200,0.165,200,400,200,LIRCMOP6_BC,1,terminal,99800,74400,0,0,9
0.494338005781174,0.00220828888984709,7.43203248248767e-05,0.0336551640351833,-0.630477887931139,0.350930241160301,0.249665930181813,0.149240553348462,0.469276933583522,0.153416015384097,0.100327998073882,0.139162417567545,0.553728523908041,22.7222992284771,12.1935658385754,82,7,11,100,200,0.12,200,400,200,LIRCMOP7_BC,1,early,20000,20000,243,51,51
1.15659415721893,0.0118274686633319,0,0,-0.235322610623871,1.54109847286845,0.463306513921505,1.09551340513585,1.76344705145204,1.09551340513585,NaN,NaN,1.59617078461069,19.8874733951747,13.7919287646235,22,0,0,178,200,0.55,200,400,200,LIRCMOP7_BC,1,first,4400,4200,3,3,12
0.850335359573364,0.00760277642372036,0.000501431264313615,0.0659537038007812,-0.0987746786148624,0.0776923018800694,0.160657056453904,0.0757906519092082,0.380202378884906,0.0687836309239941,0.119106781635986,0.0886343993855033,0.0687459744064843,8.9807033886613,9.46101839338113,136,22,34,8,200,0.02,200,400,200,LIRCMOP7_BC,1,late,80000,80000,500,95,95
0.60798716545105,0.00385463248424652,0.000255478770335953,0.0662783731990191,-0.55618833842868,0.103238508515442,0.270977753579063,0.0881480356925345,0.417866231177552,0.0881477388411228,0.088150503269894,0.0665388798377826,0.238212276220026,3.30371499657933,3.40447877238108,133,16,27,24,200,0.125,200,400,200,LIRCMOP7_BC,1,middle,50000,50000,500,87,87
1.13936185836792,0.0164971228444362,0.00070471806031504,0.042717634278435,-0.742091537587748,0.104481663113246,0.123872545331649,0.106013544433091,0.38050435312978,0.109012851559247,0.0850183945499992,0.103750221451429,0.088539701386111,9.77933079847494,8.44504767259509,133,19,35,13,200,0.065,200,400,200,LIRCMOP7_BC,1,terminal,99800,99800,500,92,92
0.461382478475571,0.00198354611459391,5.3535951266729e-05,0.0269900209895999,-0.214838051375472,0.184767549812831,0.0990335766990416,0.1537687015782,0.450694407816536,0.153414785765661,0.157229211745246,0.14002000969522,0.244347200255127,6.80781872101466,6.86334119185397,88,9,30,73,200,0.08,200,400,200,LIRCMOP8_BC,1,early,20000,20000,230,58,58
1.01809859275818,0.0107427205716438,0,0,-0.0543388325864754,0.756308316492306,0.938780945535545,0.715171543995218,1.79530331330979,0.715171543995218,NaN,NaN,0.759885427144226,11.0848149772267,5.96704591890931,16,0,0,184,200,0.335,200,400,200,LIRCMOP8_BC,1,first,5200,5000,4,4,11
0.756548166275024,0.00626443593081477,0.000455938825609318,0.0727821037112942,0.486014334749108,0.258509494489437,0.073020832930653,0.227871549600078,0.403485691727912,0.165824745099222,0.545551188644459,0.435199038135052,0.0333320399937206,7.74747959731044,7.15675721945088,128,25,38,9,200,0.09,200,400,200,LIRCMOP8_BC,1,late,80000,80000,500,94,94
0.732143640518188,0.0050819503345652,0.000209373803146021,0.0411994980985848,-0.401759043367276,0.0780729543831067,0.0933873005847674,0.0817537240493551,0.287089052740056,0.0890353842621658,0.0344229326660852,0.0451937109644333,0.0998686082067749,10.4067103599941,7.65849509148355,117,18,35,30,200,0.13,200,400,200,LIRCMOP8_BC,1,middle,50000,50000,500,80,80
0.679524123668671,0.00544478696996053,0.00041866594241896,0.0768929886015348,-0.183709470718859,0.0755603560494359,0.112717279652798,0.0752357733341456,0.218683828393901,0.0728216071569912,0.0884130970511132,0.0802268526282148,0.0602665994813341,5.11103909023009,4.74712884831736,131,24,37,8,200,0.1,200,400,200,LIRCMOP8_BC,1,terminal,99800,99800,500,96,96
