problem,stage,stream,addedUpdates,exactDistanceRatio,seenObjectiveGapRatio,singletonObjectiveGapRatio,conditionalSeenGapRatio,objectiveGapRatio,reverseCoverageGapRatio,directionErrorRatio,weightedDecisionMSERatio,supportCriterion
LIRCMOP7_BC,early,1.0,20.0,0.9824143102188612,0.914509732981018,0.9150434406719833,0.9903484369346506,0.9662091244077403,1.0112803316511623,1.0175747756202969,0.9651991462584891,0
LIRCMOP7_BC,early,1.0,200.0,0.9810600528258828,0.9425359771671794,0.9404181079823735,0.9819171554779688,0.9301562885073829,1.0417183966759676,0.8914575629585999,0.96416167993206,0
LIRCMOP7_BC,early,1.0,2000.0,0.965188085685668,0.7221040734705529,0.7032272472103617,0.9496375173304867,0.7547689255332526,1.1271161867679051,0.6780631583891487,0.9546229704168515,0
LIRCMOP7_BC,early,2.0,20.0,0.983048191712828,0.9420971117191211,0.9446490547479144,0.9754766835212693,0.9639337624700045,0.9991137824267581,0.9598809429065802,0.968262262133124,0
LIRCMOP7_BC,early,2.0,200.0,0.9815828452339161,0.9579585913445681,0.9579515387679438,0.9761445777465483,0.9334954749776323,1.038715920572647,0.8782446929537305,0.9648799240482031,0
LIRCMOP7_BC,early,2.0,2000.0,0.9689177501868992,0.8243615667706202,0.8098311995134245,0.9926891036383741,0.7712377020095761,1.08469679784516,0.6889552183048128,0.9513276562845651,0
LIRCMOP7_BC,early,3.0,20.0,0.9855247348867913,0.9142787421447734,0.921393453832189,0.982345550521415,0.9574373569051958,1.0093362707636595,0.9737572791523813,0.9725429866052384,0
LIRCMOP7_BC,early,3.0,200.0,0.9827513894106823,0.9139206521786584,0.9098905607696357,0.9589048855914525,0.9229372238270571,1.0349963912613085,0.8754670518097976,0.966969467666249,0
LIRCMOP7_BC,early,3.0,2000.0,0.9691954069837737,0.8823267032629193,0.8721795077389666,0.9763489018772767,0.7865596383136871,1.0826943161599927,0.8337279068915698,0.9571248883697424,0
LIRCMOP7_BC,late,1.0,20.0,0.9930216742592292,0.9671176965248441,0.9628570515187687,1.0230233012604328,0.9760013820356892,0.9843008092392483,1.0562563132379679,0.9917527236110343,0
LIRCMOP7_BC,late,1.0,200.0,0.9757330281554703,0.9115081520531144,0.901018124292635,0.965971596805934,0.9352795443869699,0.9572655705681055,0.9806733947236901,0.9386086154648391,0
LIRCMOP7_BC,late,1.0,2000.0,0.9563386816514448,0.9229842032753727,0.9699267444753181,1.0185778824456455,0.8944244419489349,1.2163832859005734,0.9338546973265008,0.90505115599853,0
LIRCMOP7_BC,late,2.0,20.0,0.9941556257623437,0.9846496246160406,0.9883627181436829,1.0236750913624217,0.9866243845325788,1.016510632944677,1.019857067409286,0.9916487555109421,0
LIRCMOP7_BC,late,2.0,200.0,0.977452167417878,0.8747991550158554,0.8920142605137863,0.9337195676427947,0.87377193953305,0.9811710240910492,0.8916899391964439,0.9425823036413808,0
LIRCMOP7_BC,late,2.0,2000.0,0.9575973846118432,0.9518234738741276,0.9684372255738369,1.0111315701215455,0.9138302027209586,1.2540752048097807,0.9596225620392603,0.9197695276287379,0
LIRCMOP7_BC,late,3.0,20.0,0.992222995586256,0.995373715694002,0.993900510571355,1.0242305723666527,1.0027731659556074,1.0050046931935972,1.0357200067188412,0.988300758750331,0
LIRCMOP7_BC,late,3.0,200.0,0.9798131136601735,0.9592035995983488,0.9642286415381062,0.9791062954426458,0.9777915031237876,1.026496846350423,0.9168659659213999,0.9468394052143271,0
LIRCMOP7_BC,late,3.0,2000.0,0.9557264367808967,1.0515604331831883,1.1321948155785762,1.0042366140779657,1.005778185188943,1.2089449461963022,0.867422261151714,0.9115648368969345,0
LIRCMOP7_BC,middle,1.0,20.0,0.9865677301145003,1.0183129086243068,1.010549471379034,1.0203721426803167,0.9824376192473869,1.0512007099023624,0.8758808154620956,0.9814895874785257,0
LIRCMOP7_BC,middle,1.0,200.0,0.9728803050821022,0.973443706506016,0.9519111964527535,1.0307244941530207,0.9468281596470284,1.0807009872237736,0.9452860955605924,0.9498643232021402,0
LIRCMOP7_BC,middle,1.0,2000.0,0.9715943935978596,0.8730854926430306,0.8856577267180018,0.9759809016345522,0.9478591546523628,1.015144961504094,1.4055791748174935,0.9503739655398034,0
LIRCMOP7_BC,middle,2.0,20.0,0.9872191510677898,0.9923369478021328,0.9836960201948206,1.0032020882701373,1.008234470194163,1.0229013947048096,0.943385509016919,0.9841440601076626,0
LIRCMOP7_BC,middle,2.0,200.0,0.9702049937530471,0.9128140507295908,0.8814537183293957,1.0479356198693572,0.9388028034370186,1.1078761316186267,0.8699554650450101,0.9476981998655988,0
LIRCMOP7_BC,middle,2.0,2000.0,0.9703652947735204,0.8827503481943818,0.9008122686824585,0.9450087924946945,0.9433805264919558,1.0078913203153774,1.3586932207750653,0.9444711000695049,0
LIRCMOP7_BC,middle,3.0,20.0,0.9880573287556657,1.0003931124372474,0.9967540765418459,1.00643039746561,1.0050784207188443,1.0259598230706914,0.9821247962872681,0.983105925832395,0
LIRCMOP7_BC,middle,3.0,200.0,0.9711788446624359,0.9912111566822233,0.9712210373505236,1.049594401791232,0.9699648720529109,1.0929348990264771,1.1028290340197364,0.9497423760286943,0
LIRCMOP7_BC,middle,3.0,2000.0,0.9711349896536348,0.8901994641504244,0.9145408429781762,0.9694096684319969,0.9469339990939898,1.0398662650122927,1.2514097473579844,0.9440571763671668,0
LIRCMOP8_BC,early,1.0,20.0,0.959866665940577,0.9747947925464606,0.98867209570172,0.9195658647151712,0.9625583635153935,1.1292253817181037,0.9355283175582862,0.9286802487263004,0
LIRCMOP8_BC,early,1.0,200.0,0.9587846236210377,1.0369623321022299,1.044882256278976,0.9880602135070017,0.9158090772255263,1.2209530293602544,0.8635516211462466,0.9318003034451926,0
LIRCMOP8_BC,early,1.0,2000.0,0.9678578781062234,0.8674146246812965,0.8705547935664816,0.9227641285460694,0.9111856893858784,0.905596846338343,1.014645739387272,0.9475817130904788,0
LIRCMOP8_BC,early,2.0,20.0,0.9614714055667299,0.9491195698799079,0.9584809954984819,0.9248937048107339,0.9517313654553605,1.1249136671285171,0.9436172854888739,0.9290707627647189,0
LIRCMOP8_BC,early,2.0,200.0,0.9583895174004471,1.0358827306935994,1.0272659284766006,0.9719204198756506,0.9293718975564773,1.2443579298421932,0.8555783921123816,0.9301002225466586,0
LIRCMOP8_BC,early,2.0,2000.0,0.9664585654172735,0.8560863053310134,0.8520362734334844,0.9075114727905803,0.9213419940239568,0.8983758516401044,0.9088735530147464,0.948142001820408,0
LIRCMOP8_BC,early,3.0,20.0,0.9623991468951978,0.9648308558677468,0.9752492063425003,0.920233739800232,0.9588859196836683,1.1007731735593542,0.9672749701047154,0.9338148448995648,0
LIRCMOP8_BC,early,3.0,200.0,0.9575280968589902,1.047630288956516,1.0483297315637083,0.9903749896389208,0.9107500967804523,1.2710647599720184,0.9070134662905927,0.9315634035255722,0
LIRCMOP8_BC,early,3.0,2000.0,0.965287851218202,0.9065532244597226,0.9094393326360681,0.926234709813603,0.9277964995307459,0.9188237373926723,0.8596919995133439,0.9457982962190523,0
LIRCMOP8_BC,late,1.0,20.0,0.984579394482753,1.0775851587137848,1.036800624199568,1.0411438080156716,1.0957064360367406,1.0283852811470342,0.9855833790206777,0.9691142661559241,0
LIRCMOP8_BC,late,1.0,200.0,0.9826971160286402,0.9742924368964403,0.9625352720803413,0.9820722326746648,0.9881627889127795,1.1757773625001704,1.018834947082675,0.9717717784590372,0
LIRCMOP8_BC,late,1.0,2000.0,0.9777626508180473,1.0296777157326764,1.041915949368513,1.074851948817478,1.0017389106123602,1.0902132000083051,0.948145223808487,0.9261981780074244,0
LIRCMOP8_BC,late,2.0,20.0,0.9875057933834375,1.1285820764204786,1.0651671904538305,1.0573327940130623,1.1593898277971282,1.0102665638980806,1.0158558892865,0.9737536869070165,0
LIRCMOP8_BC,late,2.0,200.0,0.9825174666974068,0.9887352861789772,0.9742327477222062,0.9316880350153968,0.9996763342687452,1.092010657897876,0.947130231290882,0.9712957589565417,0
LIRCMOP8_BC,late,2.0,2000.0,0.9673805047340007,1.1134119257431732,1.119023944977418,1.0838885653193837,1.121855485460344,1.0463966690995576,0.9006354846081016,0.935823590234499,0
LIRCMOP8_BC,late,3.0,20.0,0.9819012138767158,1.1085867099731268,1.0683993726118122,1.043269842298177,1.1260408171747094,1.041031753999744,0.9840713931953502,0.9619614437756986,0
LIRCMOP8_BC,late,3.0,200.0,0.9860151396098413,0.959479249653688,0.939845873388845,0.9606472099916179,0.9884120007955406,1.125242398781995,0.9501112821385405,0.980108770748083,0
LIRCMOP8_BC,late,3.0,2000.0,0.9802207695253086,1.0624166102329542,1.0802555128676448,1.0444817716529518,1.0477064489632166,1.0413251178693057,0.9824029101330616,0.9463338136583054,0
LIRCMOP8_BC,middle,1.0,20.0,0.9888477779100666,1.037614373785096,1.0254916331619832,0.9642243469823215,1.031206214942775,1.0241188036646756,0.9605412044888505,0.9839244507460688,0
LIRCMOP8_BC,middle,1.0,200.0,0.9804280036680452,1.0026720642913958,0.9762560124521836,1.0193666847666858,0.9557638824492746,1.2556251143028982,1.1075529619579232,0.9630901683812525,0
LIRCMOP8_BC,middle,1.0,2000.0,0.9614852560000086,0.9657178427135207,0.9440276152323819,1.0186576290936684,0.9284631082534706,1.1424983904649175,0.8410233395495745,0.9395802574797708,0
LIRCMOP8_BC,middle,2.0,20.0,0.9831710455243708,1.021101911882293,1.017006500425535,0.9590780732819647,1.0105904458039239,1.0096958198408592,0.9152989995393424,0.9749844707082262,0
LIRCMOP8_BC,middle,2.0,200.0,0.9796048778471881,0.9470319279770262,0.9291197659282374,1.0182392653681454,0.908389942706341,1.217294598699421,1.133948458223972,0.9689180564402649,0
LIRCMOP8_BC,middle,2.0,2000.0,0.9604480211708714,1.0366306338456972,1.0464018713579208,1.0339292026661566,0.9828678105589825,1.2212458260054806,0.8532826909065128,0.9335964233038083,0
LIRCMOP8_BC,middle,3.0,20.0,0.9870802571587278,1.0265604778321127,1.0069718890242119,0.9570659074749432,1.0287041109997523,1.0152310396163662,0.961770219438781,0.982258865264345,0
LIRCMOP8_BC,middle,3.0,200.0,0.978910155431467,1.0385226740296716,1.0169754391154264,1.0376835663138322,0.9728356874594943,1.2632857284538497,1.074086821141625,0.9648742501366973,0
LIRCMOP8_BC,middle,3.0,2000.0,0.9627165621602206,1.011072646032779,1.0191926070692412,1.0317562457391591,0.929755553267788,1.236224511533845,0.8393112663992489,0.9423786953695499,0
