problem,stage,loss,addedUpdates,streams,exactDistanceRatioGeoMean,seenObjectiveGapRatioGeoMean,singletonObjectiveGapRatioGeoMean,conditionalSeenGapRatioGeoMean,reverseCoverageGapRatioGeoMean,directionErrorRatioGeoMean
LIRCMOP7_BC,early,adversarial,20.0,3,1.022819763873197,0.7786890119436138,0.7749739630762793,0.9305299152494035,1.3528576622105568,2.927119910093976
LIRCMOP7_BC,early,adversarial,200.0,3,0.9146891801109592,0.5467955103958437,0.5438088523185146,1.0288202644360174,1.659924845723057,1.012664070511928
LIRCMOP7_BC,early,adversarial,2000.0,3,0.8879971263810228,0.6026338931667226,0.5943714965546686,0.9307100367642895,1.5799448146423136,0.6675289077422534
LIRCMOP7_BC,early,distance,20.0,3,1.0751881307174773,1.6021770054178497,1.6328830734873598,0.9460073904801848,1.0156898840214954,2.9856287048422763
LIRCMOP7_BC,early,distance,200.0,3,1.036081154548262,0.9638177309641407,0.9813434866723052,1.009017611472341,0.9844969658526592,1.4053276157617918
LIRCMOP7_BC,early,distance,2000.0,3,1.0315230007059335,0.8104876472808312,0.804152410908533,1.073540965837146,1.1210026586876964,1.4969909223278628
LIRCMOP7_BC,late,adversarial,20.0,3,0.9933718872801565,1.0458561482767335,0.9740320918997398,1.044424195403991,1.0321555025152618,0.9024992355405443
LIRCMOP7_BC,late,adversarial,200.0,3,0.9432895032842444,1.0951501615717578,1.101055511591973,1.0353652933329398,1.3879405812973256,0.9149095435320916
LIRCMOP7_BC,late,adversarial,2000.0,3,0.9126179379238989,0.798217518797461,0.7578671557471687,0.8855809185236165,1.2137833736453592,0.9657373769192933
LIRCMOP7_BC,late,distance,20.0,3,1.0357202694063035,1.1557167682006713,1.0838530570882141,1.1203315582438302,0.9582240934979155,1.1464821611984983
LIRCMOP7_BC,late,distance,200.0,3,1.0624305526489657,0.9768265466395797,1.038647893996425,1.110214615192558,0.894868951475504,1.2819702309958025
LIRCMOP7_BC,late,distance,2000.0,3,1.0244457908999047,0.9996719908306169,0.9741779857200075,1.0294901318177736,0.9969326952566203,1.4312452286897692
LIRCMOP7_BC,middle,adversarial,20.0,3,0.9887754083737276,1.034396620612157,1.0503064346208086,0.946236873914678,1.0414866622495258,0.8093466456961129
LIRCMOP7_BC,middle,adversarial,200.0,3,0.9345992586235092,0.7114746646636708,0.6773765588025881,0.9098754106525493,1.2238645226010296,0.8588212642431752
LIRCMOP7_BC,middle,adversarial,2000.0,3,0.9213946096155002,0.5771554996672646,0.5449414407720764,0.9500860359350016,1.5577844882947312,0.4795804390489018
LIRCMOP7_BC,middle,distance,20.0,3,1.0280982093328732,1.1591220630720054,1.183752445281015,1.0287503458745426,1.0735392741173917,1.04331036877928
LIRCMOP7_BC,middle,distance,200.0,3,1.0435653870328434,1.0846779610300805,1.0543018941491555,1.001511071841938,0.9933555443956348,1.0342637164077069
LIRCMOP7_BC,middle,distance,2000.0,3,1.0351801371836553,1.0640766469424199,1.0654345162184387,1.0464524044071557,1.1261585200051527,1.4282982415986079
LIRCMOP8_BC,early,adversarial,20.0,3,0.9377093551248945,1.0202457955291804,1.027857690767485,1.0593946391801565,1.008065454630526,1.0054286554861023
LIRCMOP8_BC,early,adversarial,200.0,3,0.9242317018024826,1.008684841364914,0.9944273867671829,1.0395224904874156,1.2969044866230721,1.2077588244643023
LIRCMOP8_BC,early,adversarial,2000.0,3,0.8856307041548234,1.3106950572411469,1.311976496019767,1.1895786903418557,2.027408451909519,0.6766803166420177
