addedUpdates,distanceBefore,distanceAfter,distanceChange,fullVsAdversarialCosine,fullVsUsedCosine,adamDirectionalDerivative,adamStepNorm,adversarialGradientNorm,distanceGradientNorm,usedGradientNorm,problem,stage,stream,fraction,fractionalDistance,fractionalChange
1,0.487163580721623,0.49169667892886,0.00453309820723685,0.154897765983016,0.154897765983016,-0.0054124401814576,0.0489330775077528,1.21053837219588,0.892932706381139,1.21053837219588,LIRCMOP5_BC,early,1,0.01,0.487110452378092,-5.31283435307728e-05
1,0.487163580721623,0.49169667892886,0.00453309820723685,0.154897765983016,0.154897765983016,-0.0054124401814576,0.0489330775077528,1.21053837219588,0.892932706381139,1.21053837219588,LIRCMOP5_BC,early,1,0.1,0.486721347674507,-0.000442233047116269
1,0.487163580721623,0.49169667892886,0.00453309820723685,0.154897765983016,0.154897765983016,-0.0054124401814576,0.0489330775077528,1.21053837219588,0.892932706381139,1.21053837219588,LIRCMOP5_BC,early,1,1,0.49169667892886,0.00453309820723685
1,0.487163580721623,0.48628613557858,-0.00087744514304372,0.465227607338724,0.465227607338724,-0.0129496916793327,0.0550211707491655,1.52536692533006,0.661540468182487,1.52536692533006,LIRCMOP5_BC,early,2,0.01,0.487035300080865,-0.000128280640757872
1,0.487163580721623,0.48628613557858,-0.00087744514304372,0.465227607338724,0.465227607338724,-0.0129496916793327,0.0550211707491655,1.52536692533006,0.661540468182487,1.52536692533006,LIRCMOP5_BC,early,2,0.1,0.485987798028868,-0.00117578269275481
1,0.487163580721623,0.48628613557858,-0.00087744514304372,0.465227607338724,0.465227607338724,-0.0129496916793327,0.0550211707491655,1.52536692533006,0.661540468182487,1.52536692533006,LIRCMOP5_BC,early,2,1,0.48628613557858,-0.00087744514304372
1,0.487163580721623,0.483315996047837,-0.00384758467378665,0.555067079973466,0.555067079973466,-0.0131445560227283,0.0488968087695656,1.18147565825853,0.715066976740669,1.18147565825853,LIRCMOP5_BC,early,3,0.01,0.487033040684288,-0.000130540037335369
1,0.487163580721623,0.483315996047837,-0.00384758467378665,0.555067079973466,0.555067079973466,-0.0131445560227283,0.0488968087695656,1.18147565825853,0.715066976740669,1.18147565825853,LIRCMOP5_BC,early,3,0.1,0.485939611948954,-0.00122396877266889
1,0.487163580721623,0.483315996047837,-0.00384758467378665,0.555067079973466,0.555067079973466,-0.0131445560227283,0.0488968087695656,1.18147565825853,0.715066976740669,1.18147565825853,LIRCMOP5_BC,early,3,1,0.483315996047837,-0.00384758467378665
1,0.462527716369693,0.461475409725734,-0.00105230664395811,0.201093609478671,0.201093609478671,-0.00594068854967279,0.0398352034586429,0.824336045301112,1.0430979215997,0.824336045301112,LIRCMOP5_BC,middle,1,0.01,0.462468794603791,-5.89217659012209e-05
1,0.462527716369693,0.461475409725734,-0.00105230664395811,0.201093609478671,0.201093609478671,-0.00594068854967279,0.0398352034586429,0.824336045301112,1.0430979215997,0.824336045301112,LIRCMOP5_BC,middle,1,0.1,0.461982525183248,-0.000545191186444194
1,0.462527716369693,0.461475409725734,-0.00105230664395811,0.201093609478671,0.201093609478671,-0.00594068854967279,0.0398352034586429,0.824336045301112,1.0430979215997,0.824336045301112,LIRCMOP5_BC,middle,1,1,0.461475409725734,-0.00105230664395811
1,0.462527716369693,0.463648316007697,0.00112059963800404,0.0498333381769325,0.0498333381769325,-0.00233164573975881,0.0366830845454998,0.661334343532751,0.856274681248494,0.661334343532751,LIRCMOP5_BC,middle,2,0.01,0.462504749739694,-2.29666299981224e-05
1,0.462527716369693,0.463648316007697,0.00112059963800404,0.0498333381769325,0.0498333381769325,-0.00233164573975881,0.0366830845454998,0.661334343532751,0.856274681248494,0.661334343532751,LIRCMOP5_BC,middle,2,0.1,0.462329178076352,-0.000198538293340211
1,0.462527716369693,0.463648316007697,0.00112059963800404,0.0498333381769325,0.0498333381769325,-0.00233164573975881,0.0366830845454998,0.661334343532751,0.856274681248494,0.661334343532751,LIRCMOP5_BC,middle,2,1,0.463648316007697,0.00112059963800404
1,0.462527716369693,0.46461556449528,0.00208784812558693,0.00764887827620416,0.00764887827620416,-0.00147902362152664,0.0371124653205,0.709470560781613,1.01963376688464,0.709470560781613,LIRCMOP5_BC,middle,3,0.01,0.462513321507319,-1.43948623735346e-05
1,0.462527716369693,0.46461556449528,0.00208784812558693,0.00764887827620416,0.00764887827620416,-0.00147902362152664,0.0371124653205,0.709470560781613,1.01963376688464,0.709470560781613,LIRCMOP5_BC,middle,3,0.1,0.462415599901756,-0.000112116467936518
1,0.462527716369693,0.46461556449528,0.00208784812558693,0.00764887827620416,0.00764887827620416,-0.00147902362152664,0.0371124653205,0.709470560781613,1.01963376688464,0.709470560781613,LIRCMOP5_BC,middle,3,1,0.46461556449528,0.00208784812558693
1,0.371594009963739,0.406704000246741,0.0351099902830017,-0.421588232901198,-0.421588232901198,0.0134196511266367,0.0473587225635968,1.61778336639212,2.19217100259668,1.61778336639212,LIRCMOP5_BC,late,1,0.01,0.371730552637438,0.000136542673699003
1,0.371594009963739,0.406704000246741,0.0351099902830017,-0.421588232901198,-0.421588232901198,0.0134196511266367,0.0473587225635968,1.61778336639212,2.19217100259668,1.61778336639212,LIRCMOP5_BC,late,1,0.1,0.373171087534083,0.00157707757034375
1,0.371594009963739,0.406704000246741,0.0351099902830017,-0.421588232901198,-0.421588232901198,0.0134196511266367,0.0473587225635968,1.61778336639212,2.19217100259668,1.61778336639212,LIRCMOP5_BC,late,1,1,0.406704000246741,0.0351099902830017
1,0.371594009963739,0.397802899855528,0.0262088898917885,-0.374432937832944,-0.374432937832944,0.00932253944557819,0.0440285728032754,1.40286116168045,1.97626921631676,1.40286116168045,LIRCMOP5_BC,late,2,0.01,0.371688990369343,9.49804056044057e-05
1,0.371594009963739,0.397802899855528,0.0262088898917885,-0.374432937832944,-0.374432937832944,0.00932253944557819,0.0440285728032754,1.40286116168045,1.97626921631676,1.40286116168045,LIRCMOP5_BC,late,2,0.1,0.372704172253679,0.00111016228994026
1,0.371594009963739,0.397802899855528,0.0262088898917885,-0.374432937832944,-0.374432937832944,0.00932253944557819,0.0440285728032754,1.40286116168045,1.97626921631676,1.40286116168045,LIRCMOP5_BC,late,2,1,0.397802899855528,0.0262088898917885
1,0.371594009963739,0.401180381936983,0.0295863719732436,-0.41564315250971,-0.41564315250971,0.0132820899765319,0.0447539254631104,1.47911994110512,2.07717054957584,1.47911994110512,LIRCMOP5_BC,late,3,0.01,0.371728587843083,0.000134577879343678
1,0.371594009963739,0.401180381936983,0.0295863719732436,-0.41564315250971,-0.41564315250971,0.0132820899765319,0.0447539254631104,1.47911994110512,2.07717054957584,1.47911994110512,LIRCMOP5_BC,late,3,0.1,0.373096548035545,0.00150253807180645
1,0.371594009963739,0.401180381936983,0.0295863719732436,-0.41564315250971,-0.41564315250971,0.0132820899765319,0.0447539254631104,1.47911994110512,2.07717054957584,1.47911994110512,LIRCMOP5_BC,late,3,1,0.401180381936983,0.0295863719732436
1,0.692486790470533,0.69426335990025,0.00177656942971727,0.0155231372636404,0.0155231372636404,-0.000896397238642433,0.0365066233164012,0.879594328562436,0.729118218027264,0.879594328562436,LIRCMOP6_BC,early,1,0.01,0.692478101683279,-8.68878725346356e-06
1,0.692486790470533,0.69426335990025,0.00177656942971727,0.0155231372636404,0.0155231372636404,-0.000896397238642433,0.0365066233164012,0.879594328562436,0.729118218027264,0.879594328562436,LIRCMOP6_BC,early,1,0.1,0.692423387784469,-6.34026860635295e-05
1,0.692486790470533,0.69426335990025,0.00177656942971727,0.0155231372636404,0.0155231372636404,-0.000896397238642433,0.0365066233164012,0.879594328562436,0.729118218027264,0.879594328562436,LIRCMOP6_BC,early,1,1,0.69426335990025,0.00177656942971727
1,0.692486790470533,0.692868720490616,0.000381930020083132,0.147348371537868,0.147348371537868,-0.00259716520354714,0.0356015495993256,0.927685779197126,0.789514091158293,0.927685779197126,LIRCMOP6_BC,early,2,0.01,0.692461121444924,-2.56690256084102e-05
1,0.692486790470533,0.692868720490616,0.000381930020083132,0.147348371537868,0.147348371537868,-0.00259716520354714,0.0356015495993256,0.927685779197126,0.789514091158293,0.927685779197126,LIRCMOP6_BC,early,2,0.1,0.692257621522064,-0.000229168948468694
1,0.692486790470533,0.692868720490616,0.000381930020083132,0.147348371537868,0.147348371537868,-0.00259716520354714,0.0356015495993256,0.927685779197126,0.789514091158293,0.927685779197126,LIRCMOP6_BC,early,2,1,0.692868720490616,0.000381930020083132
1,0.692486790470533,0.701407658671346,0.00892086820081395,-0.0388791904553644,-0.0388791904553644,0.00101449164834815,0.0461988384574158,1.29695261021612,0.725405168650865,1.29695261021612,LIRCMOP6_BC,early,3,0.01,0.692497735163902,1.09446933693746e-05
1,0.692486790470533,0.701407658671346,0.00892086820081395,-0.0388791904553644,-0.0388791904553644,0.00101449164834815,0.0461988384574158,1.29695261021612,0.725405168650865,1.29695261021612,LIRCMOP6_BC,early,3,0.1,0.692668709385119,0.000181918914586299
1,0.692486790470533,0.701407658671346,0.00892086820081395,-0.0388791904553644,-0.0388791904553644,0.00101449164834815,0.0461988384574158,1.29695261021612,0.725405168650865,1.29695261021612,LIRCMOP6_BC,early,3,1,0.701407658671346,0.00892086820081395
1,0.501820460325642,0.485145777166129,-0.0166746831595134,0.341525502034745,0.341525502034745,-0.0187335020455625,0.0362778525603178,1.07689106424574,1.86517502819618,1.07689106424574,LIRCMOP6_BC,middle,1,0.01,0.50163330984764,-0.000187150478002551
1,0.501820460325642,0.485145777166129,-0.0166746831595134,0.341525502034745,0.341525502034745,-0.0187335020455625,0.0362778525603178,1.07689106424574,1.86517502819618,1.07689106424574,LIRCMOP6_BC,middle,1,0.1,0.499968651583291,-0.00185180874235141
