problem,FE,pairedRuns,quota20Mean,quota20Std,quota20Median,quota30Mean,quota30Std,quota30Median,quota40Mean,quota40Std,quota40Median,quota50Mean,quota50Std,quota50Median,bestMeanQuota,meanDelta30Minus20,quota30Wins,quota20WinsVs30,ties30,signTestP30Vs20,meanDelta40Minus20,quota40Wins,quota20WinsVs40,ties40,signTestP40Vs20,meanDelta50Minus20,quota50Wins,quota20WinsVs50,ties50,signTestP50Vs20
LIRCMOP5_BC,100000,10,0.0186303493200686,0.00502734564945079,0.0198506070009167,0.0198350294075665,0.0060855435489406,0.0173536768008642,0.0220254856229985,0.011522814930107,0.0192225869811333,0.0238445664932482,0.0104687835177386,0.0231233165498667,20,0.00120468008749793,5,5,0,1,0.0033951363029299,5,5,0,1,0.00521421717317967,2,8,0,0.109375
LIRCMOP7_BC,100000,10,0.0166473803713534,0.0256284329247799,0.00854171863014912,0.00853488306246739,0.000501768069520979,0.00850483574798112,0.0118668104701712,0.0105825951645624,0.00841652540058183,0.0168598906087286,0.0249525766910102,0.00860569141665197,30,-0.00811249730888598,6,4,0,0.75390625,-0.00478056990118213,6,4,0,0.75390625,0.000212510237375186,5,5,0,1
LIRCMOP8_BC,100000,10,0.008067112144634,0.000295228772131675,0.00805455140572598,0.0124580145425911,0.0132564287248278,0.00830465528282606,0.00848519381426572,0.000333814015343551,0.00849782678359553,0.0115081370415836,0.00800782084197858,0.00848365987009906,20,0.00439090239795714,3,7,0,0.34375,0.000418081669631725,1,9,0,0.021484375,0.00344102489694963,2,8,0,0.109375
LIRCMOP10_BC,100000,10,0.0246387384329416,0.00588607088469595,0.0231174178265069,0.0315493241736421,0.0274023672749523,0.0197562419065372,0.0429938217335841,0.0365248175643494,0.0262724956937769,0.027855687159518,0.00592561476668921,0.0263888443020647,20,0.0069105857407005,4,6,0,0.75390625,0.0183550833006425,3,7,0,0.34375,0.00321694872657637,3,7,0,0.34375
LIRCMOP12_BC,100000,10,0.0426884391158131,0.0273817116313664,0.0349050554773384,0.0372874050166482,0.025706633742039,0.032208209587356,0.0331756107313893,0.0375316207515602,0.0174183958529694,0.0303454850204047,0.0260269549863417,0.0245710636832541,50,-0.00540103409916484,7,3,0,0.34375,-0.00951282838442375,7,3,0,0.34375,-0.0123429540954084,7,3,0,0.34375
LIRCMOP14_BC,100000,10,0.0995612105099394,0.00145016687795467,0.0992109841139839,0.0989032770259673,0.0010111152924981,0.0988151238945188,0.0986688796222274,0.000857478449826864,0.0987176697100402,0.0988184651019622,0.00123346888889375,0.0984046626548268,40,-0.000657933483972129,6,4,0,0.75390625,-0.000892330887712008,7,3,0,0.34375,-0.000742745407977161,7,3,0,0.34375
