problem,FE,pairedRuns,quota20Mean,quota20Std,quota20Median,quota30Mean,quota30Std,quota30Median,quota40Mean,quota40Std,quota40Median,quota50Mean,quota50Std,quota50Median,bestMeanQuota,meanDelta30Minus20,quota30Wins,quota20WinsVs30,ties30,signTestP30Vs20,meanDelta40Minus20,quota40Wins,quota20WinsVs40,ties40,signTestP40Vs20,meanDelta50Minus20,quota50Wins,quota20WinsVs50,ties50,signTestP50Vs20
LIRCMOP5_BC,10000,10,1.24300309378741,0.00961483494782525,1.23883437955945,1.239386150699,0.00804380120718769,1.23919022796491,1.23933095678998,0.00623805246145032,1.23968179620834,1.2401868258694,0.00723611828058079,1.23945824318197,40,-0.00361694308841443,5,5,0,1,-0.00367213699743698,6,4,0,0.75390625,-0.00281626791801368,6,4,0,0.75390625
LIRCMOP5_BC,20000,10,1.12601041198871,0.299202685106723,1.21928795954508,1.13937177024845,0.260689689078625,1.22082385372706,0.955032926613821,0.430802582776436,1.21589340582641,1.0559219883138,0.360541824407491,1.22181682086466,40,0.0133613582597342,4,6,0,0.75390625,-0.170977485374891,6,4,0,0.75390625,-0.0700884236749158,6,4,0,0.75390625
LIRCMOP5_BC,30000,10,1.02385170049132,0.407336216393185,1.21529428879172,1.04681727489988,0.3565357694059,1.2158134575633,0.936905473358521,0.451402550614022,1.21139577804732,0.950470334004325,0.436711745747506,1.21602135232993,40,0.0229655744085592,6,4,0,0.75390625,-0.0869462271328005,6,4,0,0.75390625,-0.0733813664869963,5,5,0,1
LIRCMOP5_BC,40000,10,0.843395163904729,0.480794190643638,1.1952496185955,0.906063933296653,0.465107962395218,1.17182197312834,0.853618513869207,0.47815085084063,1.19237296781633,0.829256180099665,0.484454045352005,1.17821030859004,50,0.0626687693919246,5,5,0,1,0.0102233499644785,6,4,0,0.75390625,-0.0141389838050637,7,3,0,0.34375
LIRCMOP5_BC,50000,10,0.703453245599891,0.526513117223059,0.790302047072434,0.546318343226074,0.545628636066335,0.186579691120704,0.51876121507843,0.478676699334368,0.301528379817578,0.624611950192293,0.529949741260238,0.462860641611811,40,-0.157134902373817,5,5,0,1,-0.184692030521462,6,4,0,0.75390625,-0.0788412954075983,4,6,0,0.75390625
LIRCMOP5_BC,60000,10,0.355154484724582,0.372749650514436,0.236863564523984,0.221571449465878,0.264819809039444,0.0785785080337212,0.316183602329244,0.458951108407084,0.119268079623819,0.388563207094914,0.461433032203987,0.136614947665843,30,-0.133583035258704,7,3,0,0.34375,-0.0389708823953376,6,4,0,0.75390625,0.0334087223703319,6,4,0,0.75390625
LIRCMOP5_BC,70000,10,0.211936165203924,0.34568084400858,0.073604576521525,0.0638777114786337,0.0486710836602777,0.0526817150902776,0.0967127243570342,0.104352635097488,0.0595588495016319,0.139374054942742,0.156563463236331,0.0635828348906303,30,-0.14805845372529,5,5,0,1,-0.11522344084689,4,6,0,0.75390625,-0.072562110261182,6,4,0,0.75390625
LIRCMOP5_BC,80000,10,0.054483004865152,0.0475034873662005,0.0389458864258093,0.0358611683201748,0.0180480030904637,0.0328557759665454,0.0499433392378281,0.0570185082587496,0.030751964617076,0.0490256145952493,0.0287685889852483,0.0455746941432591,30,-0.0186218365449772,5,5,0,1,-0.00453966562732392,6,4,0,0.75390625,-0.0054573902699027,4,6,0,0.75390625
LIRCMOP5_BC,90000,10,0.0256693105357379,0.0103139314601612,0.0242434095444355,0.0261644534945347,0.0115348963102643,0.0215491469338487,0.0356622415793638,0.0380326161718823,0.0239272891781694,0.0301352417385505,0.015431449490524,0.0276223328035272,20,0.000495142958796762,6,4,0,0.75390625,0.00999293104362586,4,6,0,0.75390625,0.00446593120281252,5,5,0,1
LIRCMOP5_BC,100000,10,0.0186303493200686,0.00502734564945079,0.0198506070009167,0.0198350294075665,0.0060855435489406,0.0173536768008642,0.0220254856229985,0.011522814930107,0.0192225869811333,0.0238445664932482,0.0104687835177386,0.0231233165498667,20,0.00120468008749793,5,5,0,1,0.0033951363029299,5,5,0,1,0.00521421717317967,2,8,0,0.109375
