problem,run,seed,quotaPercent,FE,IGD
LIRCMOP5_BC,1,1,20,10000,1.23526921995258
LIRCMOP5_BC,1,1,20,20000,1.21425354118575
LIRCMOP5_BC,1,1,20,30000,1.21075690417872
LIRCMOP5_BC,1,1,20,40000,1.20377316321466
LIRCMOP5_BC,1,1,20,50000,1.18784025711199
LIRCMOP5_BC,1,1,20,60000,0.310555526343605
LIRCMOP5_BC,1,1,20,70000,0.236064816039955
LIRCMOP5_BC,1,1,20,80000,0.101226199205036
LIRCMOP5_BC,1,1,20,90000,0.0212885703249527
LIRCMOP5_BC,1,1,20,100000,0.0163512498405436
LIRCMOP5_BC,2,2,20,10000,1.26253761817164
LIRCMOP5_BC,2,2,20,20000,1.20068586296366
LIRCMOP5_BC,2,2,20,30000,1.19669564858176
LIRCMOP5_BC,2,2,20,40000,0.509376110318048
LIRCMOP5_BC,2,2,20,50000,0.0825729366906979
LIRCMOP5_BC,2,2,20,60000,0.0458148162207769
LIRCMOP5_BC,2,2,20,70000,0.0424284196315871
LIRCMOP5_BC,2,2,20,80000,0.0301057291687262
LIRCMOP5_BC,2,2,20,90000,0.0170475776711431
LIRCMOP5_BC,2,2,20,100000,0.0150934409595874
LIRCMOP5_BC,3,3,20,10000,1.24034725217651
LIRCMOP5_BC,3,3,20,20000,1.21587199924435
LIRCMOP5_BC,3,3,20,30000,1.21499240380086
LIRCMOP5_BC,3,3,20,40000,0.37729931191601
LIRCMOP5_BC,3,3,20,50000,0.364967054390524
LIRCMOP5_BC,3,3,20,60000,0.344126835764284
LIRCMOP5_BC,3,3,20,70000,0.323050603967244
LIRCMOP5_BC,3,3,20,80000,0.0553221495419268
LIRCMOP5_BC,3,3,20,90000,0.0269057385696032
LIRCMOP5_BC,3,3,20,100000,0.0206490306506693
LIRCMOP5_BC,4,4,20,10000,1.23926521346844
LIRCMOP5_BC,4,4,20,20000,1.23047472244074
LIRCMOP5_BC,4,4,20,30000,1.22277123879103
LIRCMOP5_BC,4,4,20,40000,1.20090194419065
LIRCMOP5_BC,4,4,20,50000,1.16231125431922
LIRCMOP5_BC,4,4,20,60000,0.476596792064199
LIRCMOP5_BC,4,4,20,70000,0.0685101660664441
LIRCMOP5_BC,4,4,20,80000,0.0350781721319351
LIRCMOP5_BC,4,4,20,90000,0.0215810805192678
LIRCMOP5_BC,4,4,20,100000,0.019052183351164
LIRCMOP5_BC,5,5,20,10000,1.24733039708131
LIRCMOP5_BC,5,5,20,20000,1.22018974479897
LIRCMOP5_BC,5,5,20,30000,1.21631591426389
LIRCMOP5_BC,5,5,20,40000,1.21540148499919
LIRCMOP5_BC,5,5,20,50000,1.19989512625669
LIRCMOP5_BC,5,5,20,60000,1.19983754140542
LIRCMOP5_BC,5,5,20,70000,1.15651019018807
LIRCMOP5_BC,5,5,20,80000,0.170519788454067
LIRCMOP5_BC,5,5,20,90000,0.0360755634490531
LIRCMOP5_BC,5,5,20,100000,0.0227662703064569
LIRCMOP5_BC,6,6,20,10000,1.23747428301185
LIRCMOP5_BC,6,6,20,20000,0.2748894066497
LIRCMOP5_BC,6,6,20,30000,0.181223443210398
LIRCMOP5_BC,6,6,20,40000,0.0526549831109664
LIRCMOP5_BC,6,6,20,50000,0.0258645268610082
LIRCMOP5_BC,6,6,20,60000,0.0211797273036995
