problem,run,seed,FE,IGD20,IGD30,IGD40,IGD50,delta30Minus20,delta40Minus20,delta50Minus20
LIRCMOP5_BC,1,1,10000,1.23526921995258,1.23734328560767,1.23455717410063,1.229116650217,0.00207406565509349,-0.000712045851953391,-0.00615256973557465
LIRCMOP5_BC,1,1,20000,1.21425354118575,1.21910500020969,1.21216606055815,0.347205559841775,0.00485145902393724,-0.00208748062760167,-0.867047981343978
LIRCMOP5_BC,1,1,30000,1.21075690417872,1.19380922999149,1.20718387813255,0.27081160124006,-0.0169476741872285,-0.0035730260461615,-0.939945302938655
LIRCMOP5_BC,1,1,40000,1.20377316321466,1.15491788097627,1.19716787205387,0.182220570868624,-0.0488552822383932,-0.00660529116079278,-1.02155259234604
LIRCMOP5_BC,1,1,50000,1.18784025711199,0.117006544516111,1.1883371090943,0.13428126845323,-1.07083371259588,0.000496851982316304,-1.05355898865876
LIRCMOP5_BC,1,1,60000,0.310555526343605,0.0531588493085042,1.17772282095615,0.0418020490666754,-0.257396677035101,0.867167294612549,-0.26875347727693
LIRCMOP5_BC,1,1,70000,0.236064816039955,0.0301665188124112,0.33325456240573,0.0146013670847779,-0.205898297227544,0.0971897463657748,-0.221463448955177
LIRCMOP5_BC,1,1,80000,0.101226199205036,0.0222697933324871,0.0541826166643396,0.012134654222711,-0.0789564058725493,-0.0470435825406968,-0.0890915449823254
LIRCMOP5_BC,1,1,90000,0.0212885703249527,0.0191217000510644,0.0265617742851453,0.0114983448365085,-0.00216687027388832,0.00527320396019264,-0.00979022548844419
LIRCMOP5_BC,1,1,100000,0.0163512498405436,0.0152230977928563,0.0195939171844576,0.0104109593481381,-0.00112815204768737,0.00324266734391394,-0.00594029049240555
LIRCMOP5_BC,2,2,10000,1.26253761817164,1.24536203037345,1.23990771710819,1.24798550347403,-0.0171755877981918,-0.0226299010634536,-0.0145521146976075
LIRCMOP5_BC,2,2,20000,1.20068586296366,1.22391529844233,1.22770236766596,1.23217479947458,0.0232294354786644,0.0270165047022992,0.0314889365109123
LIRCMOP5_BC,2,2,30000,1.19669564858176,1.21771086446849,1.22656858525446,1.23037181583669,0.0210152158867283,0.0298729366726957,0.0336761672549291
LIRCMOP5_BC,2,2,40000,0.509376110318048,1.21639991021819,1.22533178322871,0.327356983258963,0.707023799900137,0.71595567291066,-0.182019127059085
LIRCMOP5_BC,2,2,50000,0.0825729366906979,1.17925863599547,0.26360044654522,0.105145805327631,1.09668569930477,0.181027509854522,0.0225728686369333
LIRCMOP5_BC,2,2,60000,0.0458148162207769,0.459985829797342,0.145870853768692,0.0811276859752392,0.414171013576565,0.100056037547915,0.0353128697544623
LIRCMOP5_BC,2,2,70000,0.0424284196315871,0.0894568146854053,0.0553364923700865,0.0670641723469256,0.0470283950538182,0.0129080727384994,0.0246357527153384
LIRCMOP5_BC,2,2,80000,0.0301057291687262,0.0626694788482679,0.0255349949793139,0.0654338611977932,0.0325637496795417,-0.00457073418941224,0.0353281320290671
LIRCMOP5_BC,2,2,90000,0.0170475776711431,0.0452409181682197,0.018275954565536,0.0516751905260055,0.0281933404970766,0.00122837689439286,0.0346276128548623
LIRCMOP5_BC,2,2,100000,0.0150934409595874,0.0275056820562761,0.0148129330474633,0.0428866063628004,0.0124122410966887,-0.000280507912124094,0.027793165403213
LIRCMOP5_BC,3,3,10000,1.24034725217651,1.24597448998753,1.22937754928523,1.23218628795638,0.00562723781101471,-0.0109697028912858,-0.00816096422013457
LIRCMOP5_BC,3,3,20000,1.21587199924435,1.22254270724443,0.372911969086362,0.397586727420157,0.00667070800008118,-0.842960030157983,-0.818285271824188
LIRCMOP5_BC,3,3,30000,1.21499240380086,1.22259241136064,0.322728999392084,0.350573554939531,0.00760000755978107,-0.892263404408775,-0.864418848861328
LIRCMOP5_BC,3,3,40000,0.37729931191601,1.22021589866988,0.296217685646494,0.290036344623512,0.842916586753867,-0.0810816262695163,-0.0872629672924985
LIRCMOP5_BC,3,3,50000,0.364967054390524,1.18808002642368,0.279359202910703,0.241151870258194,0.823112972033158,-0.0856078514798211,-0.12381518413233
LIRCMOP5_BC,3,3,60000,0.344126835764284,0.102649680485676,0.220662811832131,0.179826688124941,-0.241477155278608,-0.123464023932152,-0.164300147639343
LIRCMOP5_BC,3,3,70000,0.323050603967244,0.0750174086874649,0.0433063754038282,0.140994375340497,-0.248033195279779,-0.279744228563416,-0.182056228626747
LIRCMOP5_BC,3,3,80000,0.0553221495419268,0.0664757885991069,0.0272938624461098,0.0209502432949164,0.0111536390571801,-0.028028287095817,-0.0343719062470104
LIRCMOP5_BC,3,3,90000,0.0269057385696032,0.042869619336743,0.0237584627671351,0.0130794354952169,0.0159638807671398,-0.00314727580246809,-0.0138263030743863
LIRCMOP5_BC,3,3,100000,0.0206490306506693,0.0289465568621758,0.0195497894163617,0.0116475538985554,0.00829752621150647,-0.00109924123430758,-0.00900147675211393
LIRCMOP5_BC,4,4,10000,1.23926521346844,1.22383234486351,1.25038617379571,1.24053993579187,-0.0154328686049328,0.0111209603272688,0.00127472232343306
LIRCMOP5_BC,4,4,20000,1.23047472244074,1.21601920883472,1.23498366920078,1.22630697638133,-0.0144555136060216,0.00450894676003899,-0.00416774605941739
LIRCMOP5_BC,4,4,30000,1.22277123879103,1.2139160506581,1.21602549775718,1.21125371399975,-0.0088551881329253,-0.00674574103384651,-0.0115175247912822
LIRCMOP5_BC,4,4,40000,1.20090194419065,1.16271474399163,0.681104593890967,1.16435005923249,-0.0381872001990189,-0.519797350299684,-0.0365518849581623
LIRCMOP5_BC,4,4,50000,1.16231125431922,0.140513102414235,0.149386927225517,0.684569412965427,-1.02179815190498,-1.0129243270937,-0.477741841353792
LIRCMOP5_BC,4,4,60000,0.476596792064199,0.0545073355817662,0.0825422249772684,0.31022814228073,-0.422089456482433,-0.394054567086931,-0.166368649783469
LIRCMOP5_BC,4,4,70000,0.0685101660664441,0.031660986599484,0.0720663216912914,0.060101497434335,-0.0368491794669601,0.00355615562484723,-0.00840866863210912
LIRCMOP5_BC,4,4,80000,0.0350781721319351,0.0281993988577085,0.0278379354432251,0.0353123238337042,-0.00687877327422652,-0.0072402366887099,0.000234151701769179
LIRCMOP5_BC,4,4,90000,0.0215810805192678,0.0183812677179416,0.0233710347010468,0.0244831373358642,-0.00319981280132621,0.00178995418177901,0.00290205681659637
LIRCMOP5_BC,4,4,100000,0.019052183351164,0.0163630945998041,0.0188953845459048,0.0204612015977475,-0.00268908875135987,-0.000156798805259165,0.0014090182465835
LIRCMOP5_BC,5,5,10000,1.24733039708131,1.23479442257296,1.23593353780224,1.23582575578962,-0.0125359745083482,-0.0113968592790694,-0.011504641291693
LIRCMOP5_BC,5,5,20000,1.22018974479897,0.397691319154302,1.21587996916649,1.21513126756348,-0.822498425644673,-0.00430977563248414,-0.00505847723549691
