problem,run,condition_mode,gen,bmem_count,boundary_count,bmem_ref_coverage,finite_gap_count,inf_gap_count,median_gap,max_gap,train_count,query_count,condition_dim,train_param_ratio,gan_sample_reuse,train_pair_dec_dist50,train_pair_dec_dist90,train_tau_iqr,missing_ref_query_count,large_gap_query_count,raw_generated_count,feasible_generated_count,generated_per_train,boundary_dist50,boundary_dist90,query_width90,segment_width90,segment_width90_ratio,side_rate,pair_margin50,ref_cover,query_obj_dist50,query_obj_dist90,missing_ref_query_obj_dist90,large_gap_query_obj_dist90,feasible_rate,boundary_sample_current_count,boundary_sample_prev_pair_count,boundary_sample_merged_count,boundary_sample_finite_count,boundary_feasible_count,boundary_infeasible_count,boundary_main_feasible_count,boundary_ref_with_main_feasible_count,boundary_ref_with_neighbor_infeasible_count,boundary_ref_pairable_count,boundary_pair_distance_count,boundary_pair_dominated_skip_count,boundary_pair_appended_count,boundary_candidate_raw_count,boundary_candidate_finite_count,boundary_candidate_pareto_count,boundary_candidate_gap_count,boundary_candidate_dedup_count,boundary_candidate_final_count,dataset_bmem_input_count,dataset_valid_train_count,dataset_invalid_train_count,dataset_query_count
DASCMOP2_BC,3,ref_tau,13,39,1,0.13,39,0,0.00991399022731618,0.0227363018087514,39,20,3,0.0020415641522274,82.0512820512821,0.962270085150422,1.13157699222322,0,11,9,20,5,0.512820512820513,0.0422612853417809,0.0538780714852366,0,0.0556616341482413,NaN,0.95,0.143570030491846,0.153846153846154,0.0459446618089488,0.0564175594087294,0.0556758905194831,0.0596733000812614,0.25,400,36,472,472,171,301,64,14,86,14,5527,0,42,42,42,42,39,39,39,39,39,0,20
DASCMOP2_BC,3,ref_tau,14,42,1,0.14,42,0,0.0117945520189533,0.0273798007971861,42,20,3,0.00219860754855258,76.1904761904762,0.851365900471333,1.13157699222322,0,11,9,20,0,0.476190476190476,0.14928225919797,0.216416710981894,0,0.217094544286454,NaN,0.8,0.158913941104083,0,0.150167757799654,0.217257054431052,0.244535650667551,0.184514811494326,0,400,39,478,478,182,296,63,15,91,15,4760,0,45,45,45,45,42,42,42,42,42,0,20
DASCMOP2_BC,3,ref_tau,15,42,1,0.14,42,0,0.0134360724231872,0.0317469797790332,42,20,3,0.00219860754855258,76.1904761904762,0.825615002556983,1.0646990870489,0,13,7,20,7,0.476190476190476,0.0881674167847129,0.110773392970775,0,0.112058963635476,NaN,0.6,0.09378746989644,0.571428571428571,0.0890876370763362,0.112463350020581,0.119957407308152,0.10109805348924,0.35,400,42,484,484,188,296,62,14,97,14,4524,0,42,42,42,42,42,42,42,42,42,0,20
DASCMOP2_BC,3,ref_tau,16,36,1,0.12,36,0,0.0114702903599776,0.0241939928034841,36,20,3,0.00188452075590221,88.8888888888889,0.742516735877037,0.998494721382671,0,15,5,20,0,0.555555555555556,0.208673213873337,0.231054702677614,0,0.23218585386809,NaN,0.65,0.0505675088173646,0,0.212555276271048,0.233358240898262,0.237864005319639,0.228852476476885,0,400,42,484,484,182,302,69,13,100,13,4752,1,39,39,39,39,36,36,36,36,36,0,20
DASCMOP2_BC,3,ref_tau,17,39,1,0.13,39,0,0.0110497838631717,0.0227367154361453,39,20,3,0.0020415641522274,82.0512820512821,0.777216520934107,0.998494721382671,0,13,7,20,0,0.512820512820513,0.057181748500179,0.0643067133815845,0,0.0644708870566892,NaN,0.8,0.0551309630912752,0,0.0600396084093021,0.0649021989919099,0.0660884065144195,0.0615636252304223,0,400,36,472,472,176,296,64,14,93,14,4355,0,42,42,42,42,39,39,39,39,39,0,20
DASCMOP2_BC,3,ref_tau,18,45,1,0.15,45,0,0.0143587320000582,0.0288639605943347,45,20,3,0.00235565094487777,71.1111111111111,0.835981605130769,1.01688331415482,0,11,9,20,0,0.444444444444444,0.0498773691589024,0.0626521183822553,0,0.0630221506499985,NaN,0.75,0.0943055789325744,0,0.051192415969583,0.0632711066126382,0.0654589843088267,0.05942991253297,0,400,39,478,478,174,304,65,16,90,16,4532,0,48,48,48,48,45,45,45,45,45,0,20
DASCMOP2_BC,3,ref_tau,19,48,1,0.16,48,0,0.00987737031876705,0.0264565396431219,48,20,3,0.00251269434120295,66.6666666666667,0.815951664466003,1.01688331415482,0,11,9,20,0,0.416666666666667,0.140701261538943,0.148785156777405,0,0.149041032343216,NaN,0.25,-0.0636425949616845,0,0.145631201351885,0.149146981587559,0.14993710870918,0.149194387814136,0,400,45,490,490,178,312,75,17,94,17,5153,0,51,51,51,51,48,48,48,48,48,0,20
DASCMOP2_BC,3,ref_tau,20,48,1,0.16,48,0,0.0111709959063208,0.0265315543342502,48,20,3,0.00251269434120295,66.6666666666667,0.790144321156179,1.01688331415482,0,10,10,20,0,0.416666666666667,0.221180644870348,0.254572743085679,0,0.254572743085679,NaN,0.3,-0.158919647562682,0,0.221610269739609,0.256085549735119,0.261427579898549,0.249644572548339,0,400,48,496,496,188,308,79,17,96,17,5143,0,51,51,51,51,48,48,48,48,48,0,20
DASCMOP2_BC,3,ref_tau,21,45,1,0.15,45,0,0.0083175234407869,0.0239783203108605,45,20,3,0.00235565094487777,71.1111111111111,0.776847316658045,1.01688331415482,0,11,9,20,0,0.444444444444444,0.350940362740672,0.388409352141268,0,0.389676184635718,NaN,0.55,0.0154615468872337,0,0.354284572920593,0.390069186195471,0.394142431874863,0.390943787947258,0,400,48,496,496,195,301,78,16,100,16,5253,0,48,48,48,48,45,45,45,45,45,0,20
DASCMOP2_BC,3,ref_tau,22,51,1,0.17,51,0,0.00871522965401039,0.0162894211151151,51,20,3,0.00266973773752814,62.7450980392157,0.776847316658045,1.01688331415482,0,9,11,20,0,0.392156862745098,0.316518543148708,0.347813293432919,0,0.349792632144232,NaN,0.7,0.0208520714372561,0,0.318265166277062,0.349829950525592,0.35878718064034,0.349179807745511,0,400,45,490,490,187,303,82,18,100,18,4930,0,54,54,54,54,51,51,51,51,51,0,20
