problem,run,target_FE,actual_FE,gen,bmem_count,boundary_count,train_count,query_count,raw_generated_count,feasible_generated_count,boundary_dist50,boundary_dist90,query_width90,generated_new_ref_hit_rate,train_dec_rmse,train_obj_dist50,train_obj_dist90,train_feasible_rate,query_obj_dist50,query_obj_dist90,feasible_rate,branch,ganIter,outDir
LIRCMOP6_BC,1,70000,70168,322,42,8,42,5,20,8,0.00966409565132674,0.012002943597121,0.000691866924824313,0.4,0.0892202373332517,0.0120424078782159,0.0200864122036614,0.214285714285714,0.0125082060331208,0.0160693645241331,0.4,chain,30,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_CGAN/branch_ablation_chain_vs_single_20260621_195647/chain_iter030
LIRCMOP6_BC,1,100000,100088,458,41,9,41,5,20,8,0.0103718411634987,0.0140603618716657,0.00135631480735996,0,0.0600634478449013,0.00220012670168906,0.0144935071928106,0.609756097560976,0.0148911218912703,0.0202204519150283,0.4,chain,30,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_CGAN/branch_ablation_chain_vs_single_20260621_195647/chain_iter030
LIRCMOP8_BC,1,10000,10144,48,39,7,39,5,20,0,0.00684212520067224,0.00897144604431079,0.000812388577652582,1,0.0646954745052704,0.0241263095398305,0.0509591304728812,0,0.0462207605176435,0.0591268066095653,0,chain,30,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_CGAN/branch_ablation_chain_vs_single_20260621_195647/chain_iter030
LIRCMOP8_BC,1,30000,30164,139,51,12,51,5,20,8,0.00845201007741717,0.0128531888456315,0.000424858808560921,1,0.0642912804233018,0.0142857400962958,0.0183145493594042,0.117647058823529,0.012194186825012,0.01908057135794,0.4,chain,30,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_CGAN/branch_ablation_chain_vs_single_20260621_195647/chain_iter030
LIRCMOP8_BC,1,50000,50184,230,53,15,53,5,20,15,0.0034137911780465,0.0413746388923511,0.000938420726744501,0,0.0639932998306352,0.00501136262731319,0.00695610369191746,0.188679245283019,0.00657541868622398,0.043136028028401,0.75,chain,30,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_CGAN/branch_ablation_chain_vs_single_20260621_195647/chain_iter030
LIRCMOP8_BC,1,70000,70204,321,59,11,59,5,20,1,0.00330734586310887,0.00992910146058178,0.000416487541523002,0.8,0.0661508973544741,0.00316362956002494,0.00589063804725564,0.0677966101694915,0.00645006094238523,0.0108872299203376,0.05,chain,30,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_CGAN/branch_ablation_chain_vs_single_20260621_195647/chain_iter030
LIRCMOP8_BC,1,100000,100124,457,72,5,72,5,20,0,0.00257416351512754,0.00699096534294003,0.000980205762279085,0.4,0.0716662571231001,0.00424543098303224,0.00639364147282536,0.0416666666666667,0.00533675791994651,0.00885350716501257,0,chain,30,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_CGAN/branch_ablation_chain_vs_single_20260621_195647/chain_iter030
DASCMOP1_BC,1,10000,10048,45,16,2,16,5,20,0,0.0690608355065202,0.0713477342270872,0.00245857106214994,1,0.158165011159783,0.0716314737221658,0.104108942770935,0,0.071808182725334,0.0792180787656104,0,chain,50,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_CGAN/branch_ablation_chain_vs_single_20260621_195647/chain_iter050
DASCMOP1_BC,1,30000,30068,136,31,3,31,5,20,0,0.0218984449780378,0.0261631577822563,0.00187356656144616,1,0.0809032418182408,0.0237525061701988,0.0456058618609685,0.193548387096774,0.030194302177083,0.0925222575327795,0,chain,50,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_CGAN/branch_ablation_chain_vs_single_20260621_195647/chain_iter050
DASCMOP1_BC,1,50000,50088,227,29,2,29,5,20,0,0.0308140519259848,0.0343762296403938,0.000259723836975623,1,0.0806533357701982,0.00615887934577746,0.0339435311864077,0.413793103448276,0.0340176654934938,0.0354769787663735,0,chain,50,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_CGAN/branch_ablation_chain_vs_single_20260621_195647/chain_iter050
DASCMOP1_BC,1,70000,70108,318,29,3,29,5,20,4,0.0257744993466649,0.043250946220107,0.000710901048474844,1,0.0928768081744366,0.0118608294591394,0.0483768282370247,0.689655172413793,0.02862311732291,0.0478434752405614,0.2,chain,50,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_CGAN/branch_ablation_chain_vs_single_20260621_195647/chain_iter050
