branch,ganIter,all_stage_rows,final_rows,all_boundary_dist90,all_query_obj_dist90,all_query_width90,all_new_ref_hit,all_feasible_rate,final_boundary_dist90,final_query_obj_dist90,final_query_width90,final_new_ref_hit,final_feasible_rate
chain,30,20,4,0.0283440282235241,0.0320928911594516,0.000824190051049549,1,0,0.0210715558764925,0.0259364853559877,0.000908098643362801,0.7,0.2
chain,50,20,4,0.0222161981724388,0.0353892154964138,0.000868374742433002,1,0.225,0.0188498878212308,0.0280115825403948,0.000408880694349019,1,0.425
chain,100,20,4,0.015698938526947,0.0321849609504743,0.000859171274160588,1,0.4,0.0230806570028887,0.0332000622209692,0.000331982043335863,0.8,0.55
single,30,20,4,0.0200794392029369,0.0268881455595801,0.000841884987256294,1,0,0.0181432086076846,0.0230746766937923,0.000667824048260453,1,0.1
single,50,20,4,0.00825684466796167,0.0339677102130217,0.000659430602001808,1,0,0.012212784211288,0.0270130377586709,0.00084554330237668,1,0
single,100,20,4,0.011963507370489,0.0292434268779563,0.000727498999209131,1,0.175,0.0222375182376336,0.0463120648063271,0.000484856868168071,0.6,0.125
