problem,family,run,seed,candidateCount,eligibleCandidateCount,shortlistedCandidateCount,selectedCandidateCount,selectedSeedCount,feasibleSeedCount,infeasibleSeedCount,selectedUpdateCount,M1,M1_eligible,M1_selected,M2,M3,M4,M3_downstream,M4_tight,M4_recover,gateOpenRate,refineUseCount,refineGainPerSeed,UBY,ABS,AGS,FFC,FGY,tightBracketAbsCount,recoverAbsCount,M5_boundaryEce,M5_boundaryGap,M5_valid,M5_auditReady,M5_boundaryCount,updateCount,validUpdateCount,auditReadyUpdateCount,meanUpdateEceBd,meanUpdateGapBd,finalTrustGate,finalTrustAuditPass,finalTrustWeight,finalCalibrator,variant,variantDescription,requestedCalibrator,variantElapsedSeconds
DASCMOP1_BC,DASCMOP_BC,1,1001,26294,22270,19440,7038,7038,230,6808,911,0.0595254260333881,0.0630100356869905,0.0380171297816794,0.96874111963626,0,1,0.0434782608695652,0.561251468860165,0.0583137485311398,0,0,0,0.0014208581983518,10,0,0,0.0434782608695652,3821,397,0.237261477091325,0.167596994597734,1,1,100,898,864,864,0.253258168568585,0.240267683864347,0,0,0,beta,bridge_gap_0,Bridge ablation with BridgeActivationGap = 0,beta,226.448220916667
DASCMOP1_BC,DASCMOP_BC,2,1002,24525,21283,19001,6998,6998,216,6782,918,0.0644428551557644,0.0678376301401418,0.0411465461508823,0.970848813946842,0,1,0.0555555555555556,0.67826599823061,0.0507225007372457,0,0,0,0.00171477565018577,12,0,0,0.0555555555555556,4600,344,0.180959242512507,0.180959242512507,1,1,99,916,875,875,0.257648671748458,0.246707296511632,0,0,0,beta,bridge_gap_0,Bridge ablation with BridgeActivationGap = 0,beta,226.448220916667
DASCMOP1_BC,DASCMOP_BC,3,1003,25571,21721,19300,7043,7043,165,6878,919,0.0662825059118549,0.0710561899156917,0.0410723869787556,0.978702257560699,0,1,0.0909090909090909,0.512939808083745,0.0613550450712416,0,0,0,0.00212977424393014,15,0,0,0.0909090909090909,3528,422,0.166112281586227,0.166112281586227,1,1,99,919,887,887,0.253386504786572,0.235770964185848,0,0,0,beta,bridge_gap_0,Bridge ablation with BridgeActivationGap = 0,beta,226.448220916667
DASCMOP1_BC,DASCMOP_BC,4,1004,26313,23033,19719,7188,7188,257,6931,919,0.0708426916000105,0.074122802979626,0.0433221532907346,0.965358931552588,0,1,0.0311284046692607,0.759197806954263,0.0639157408743327,0,0,0,0.00111296605453534,8,0,0,0.0311284046692607,5262,443,0.187999307353885,0.187999307353885,1,1,95,862,845,845,0.239934092606216,0.220100367216392,0,0,0,beta,bridge_gap_0,Bridge ablation with BridgeActivationGap = 0,beta,226.448220916667
DASCMOP1_BC,DASCMOP_BC,5,1005,25498,21284,19383,7152,7152,132,7020,916,0.0770169048342746,0.0838995973257538,0.0445742456827994,0.982941834451902,0,1,0.0757575757575758,0.556552706552706,0.0626780626780627,0,0,0,0.00139821029082774,10,0,0,0.0757575757575758,3907,440,0.173995995557687,0.173995995557687,1,1,92,903,854,854,0.253923656428829,0.232885921249587,0,0,0,beta,bridge_gap_0,Bridge ablation with BridgeActivationGap = 0,beta,226.448220916667
DASCMOP1_BC,DASCMOP_BC,6,1006,24884,21193,19108,7009,7009,153,6856,916,0.0697158691511802,0.0740396446529428,0.0460448525308304,0.980311028677415,0,1,0.0980392156862745,0.640898483080513,0.0545507584597433,0,0,0,0.00214010557854187,15,0,0,0.0980392156862745,4394,374,0.227866663902239,0.15540970070442,1,1,94,896,858,858,0.241309114407718,0.227919267716538,0,0,0,beta,bridge_gap_0,Bridge ablation with BridgeActivationGap = 0,beta,226.448220916667
DASCMOP2_BC,DASCMOP_BC,1,1001,32233,29455,20340,7241,7241,580,6661,916,0.0472314246029988,0.0498827918756864,0.0165295006648384,0.922386410716752,0.0172413793103448,1,0.0310344827586207,0.479807836661162,0.132562678276535,0.00215982721382289,6,6.00264421641681e-06,0.00248584449661649,18,0,10,0.0310344827586207,3196,883,0.173817792689869,0.15139042644418,1,1,100,760,756,756,0.193462916422999,0.181726684051727,0,0,0,beta,bridge_gap_0,Bridge ablation with BridgeActivationGap = 0,beta,226.448220916667
DASCMOP2_BC,DASCMOP_BC,2,1002,32014,29594,20204,7220,7220,741,6479,917,0.0370353465973567,0.0383614227249346,0.0185255244861213,0.900554016620499,0.0121457489878543,1,0.0310391363022942,0.582960333384782,0.144312393887946,0.00971922246220302,22,2.71141469726095e-07,0.00318559556786704,23,0,9,0.0310391363022942,3777,935,0.158376260410904,0.158376260410904,1,1,100,642,638,638,0.175332530007122,0.168268619209977,0,0,0,beta,bridge_gap_0,Bridge ablation with BridgeActivationGap = 0,beta,226.448220916667
DASCMOP2_BC,DASCMOP_BC,3,1003,32059,29427,20173,7229,7229,765,6464,919,0.0351787130829946,0.0360181793086228,0.0237318444717286,0.897081200719325,0.0065359477124183,1,0.0274509803921569,0.696782178217822,0.104733910891089,0.00971922246220302,12,2.73599943964303e-06,0.00290496610872873,21,0,5,0.0274509803921569,4504,677,0.248801425007794,0.211555981316716,1,1,99,696,692,692,0.186045976966261,0.177905745398171,0,0,0,beta,bridge_gap_0,Bridge ablation with BridgeActivationGap = 0,beta,226.448220916667
DASCMOP2_BC,DASCMOP_BC,4,1004,33368,30305,20761,7284,7284,717,6567,916,0.035059446138831,0.0363414500188783,0.0197210247635583,0.904997254255903,0.0139470013947001,1,0.0348675034867503,0.650525354042942,0.128978224455611,0.00539956803455724,5,4.74602884742505e-07,0.00343218012081274,25,0,10,0.0348675034867503,4272,847,0.171518679743134,0.171518679743134,1,1,100,680,676,676,0.160744178943534,0.151714040978459,0,0,0,beta,bridge_gap_0,Bridge ablation with BridgeActivationGap = 0,beta,226.448220916667
DASCMOP2_BC,DASCMOP_BC,5,1005,32851,30210,20453,7283,7283,713,6570,915,0.0352748542456037,0.0362586290449985,0.0219480981555018,0.905808046134835,0.0154277699859748,1,0.0378681626928471,0.636225266362253,0.134855403348554,0.0161987041036717,28,5.4364376796416e-06,0.00370726349031992,27,0,11,0.0378681626928471,4180,886,0.201095405168214,0.201095405168214,1,1,100,690,686,686,0.16207843646325,0.1538424854065,0,0,0,beta,bridge_gap_0,Bridge ablation with BridgeActivationGap = 0,beta,226.448220916667
