problem,FE,oldPairs,newPairs,oldActive,newActive,rejectedPairs,infeasibleDominatedPairs
LIRCMOP5_BC,5200,328,17,13,13,186,0
LIRCMOP5_BC,10000,500,23,20,19,524,462
LIRCMOP5_BC,30000,500,103,61,61,475,269
LIRCMOP5_BC,50000,500,119,44,44,469,238
LIRCMOP5_BC,70000,500,6,67,3,532,488
LIRCMOP5_BC,100000,500,10,89,9,522,514
LIRCMOP6_BC,5400,177,9,9,9,117,0
LIRCMOP6_BC,10000,500,38,22,20,533,487
LIRCMOP6_BC,30000,500,60,27,27,487,326
LIRCMOP6_BC,50000,500,5,30,4,540,536
LIRCMOP6_BC,70000,500,18,77,10,532,531
LIRCMOP6_BC,100000,500,0,89,0,536,536
LIRCMOP7_BC,4200,244,14,12,12,151,0
LIRCMOP7_BC,10000,500,15,14,10,535,465
LIRCMOP7_BC,30000,500,184,88,88,395,179
LIRCMOP7_BC,50000,500,218,77,77,357,207
LIRCMOP7_BC,70000,500,240,87,87,345,155
LIRCMOP7_BC,100000,500,289,95,95,294,148
LIRCMOP8_BC,4800,285,9,9,7,195,114
LIRCMOP8_BC,10000,500,68,52,48,525,387
LIRCMOP8_BC,30000,500,184,75,75,403,240
LIRCMOP8_BC,50000,500,217,86,86,351,174
LIRCMOP8_BC,70000,500,268,91,91,303,115
LIRCMOP8_BC,100000,500,294,97,97,292,143
LIRCMOP9_BC,10000,500,3,4,2,529,398
LIRCMOP9_BC,11600,500,10,8,5,538,480
LIRCMOP9_BC,30000,500,120,9,8,498,451
LIRCMOP9_BC,50000,500,73,13,11,499,442
LIRCMOP9_BC,70000,500,119,10,9,483,417
LIRCMOP9_BC,100000,500,68,24,15,497,454
