problem,FE,pairs,biasRMSE,noiseRMSE,biasMSEShare,targetConditionStd,generatedConditionStd,adjacentTargetJumpMedian,adjacentGeneratedJumpMedian,largestErrorCoordinate,largestCoordinateShare
LIRCMOP7_BC,30000,88,0.0528803249518261,0.00947688169571923,0.968881868168533,0.0603821740980036,0.0240643362505588,0.0582656896251278,0.00136121935911403,5,0.143424305423052
LIRCMOP9_BC,30000,9,0.167231436898941,0.0238200093353444,0.980115024570076,0.282696481543547,0.182981075749903,0.0226308290395793,0.00345964345659292,9,0.127477549284176
