variant,maxCandidatePairsPerRef,problem,stage_count,train_count_med,train_count_p90,train_count_max,ref_cov_med,param_ratio_med,sample_reuse_med,raw_generated_med,feasible_rate_med,boundary_dist90_med,pair_margin50_med,missing_ref_query_total,large_gap_query_total,figure_count
pair3,3,DASCMOP1_BC,5,78,86.6,87,0.26,0.0040831283044548,41.025641025641,20,0,0.132802504639167,0.000174948600741576,82,18,6
pair3,3,DASCMOP2_BC,5,114,129.6,132,0.38,0.00596764906035701,28.0701754385965,20,0.4,0.0601340647648066,0.0482260356282624,38,62,6
pair3,3,DASCMOP4_BC,5,43,56.8,60,0.15,0.00225095534732764,74.4186046511628,20,0,0.972311314160266,-9.24922253872675e-05,100,0,6
pair3,3,DASCMOP5_BC,5,0,63.6,66,0.21,0,50.9090909090909,0,0,2.14668512866769,-0.00051087630853859,40,0,6
pair3,3,LIRCMOP5_BC,5,90,147.8,153,0.3,0.00471130188975554,35.5555555555556,20,0.35,0.0150721424109441,0.0536730970741472,89,11,6
pair3,3,LIRCMOP6_BC,5,109,177,207,0.37,0.0057059100664817,29.3577981651376,20,0.25,0.021274796765075,0.0242841448248658,89,11,6
pair3,3,LIRCMOP7_BC,5,96,207.6,222,0.32,0.0050253886824059,33.3333333333333,20,0.1,0.0126814445052292,0.0336564285385916,100,0,6
pair3,3,LIRCMOP8_BC,5,105,172.8,192,0.35,0.00549651887138146,30.4761904761905,20,0.25,0.0332635197736787,0.00519860799673263,100,0,6
pair3,3,LIRCMOP9_BC,5,57,76.8,78,0.19,0.00298382453017851,56.140350877193,20,0.6,0.000959171432336521,0.00330504025767663,100,0,6
pair3,3,LIRCMOP10_BC,5,93,135,147,0.31,0.00486834528608072,34.4086021505376,20,0.1,0.00174864517451361,0.00751482292549359,100,0,6
pair5,5,DASCMOP1_BC,5,130,143,145,0.26,0.006805213840758,24.6153846153846,20,0.1,0.0677141903350666,0.225025615572924,81,19,6
pair5,5,DASCMOP2_BC,5,205,219,225,0.41,0.0107312987488876,15.609756097561,20,0.35,0.0421750650908376,0.0445058949833656,29,71,6
pair5,5,DASCMOP4_BC,5,95,133,145,0.19,0.00497304088363084,33.6842105263158,20,0,1.24767750309956,0.000215119215489737,97,3,6
pair5,5,DASCMOP5_BC,5,0,161,189,0.31,0,21.9109866168689,0,0,2.25288737249755,0.00905827984836056,40,0,6
pair5,5,LIRCMOP5_BC,5,150,213,225,0.3,0.00785216981625923,21.3333333333333,20,1,0.0296873031668171,0.050103095535532,100,0,6
pair5,5,LIRCMOP6_BC,5,169,281,355,0.34,0.0088467779929854,18.9349112426036,20,0.55,0.0159847297223896,0.0120679044853121,98,2,6
pair5,5,LIRCMOP7_BC,5,210,363.8,385,0.42,0.0109930377427629,15.2380952380952,20,0.4,0.0580711647643382,0.0110321046116161,100,0,6
pair5,5,LIRCMOP8_BC,5,205,223.8,233,0.41,0.0107312987488876,15.609756097561,20,0.25,0.021777547201424,0.00525201987108195,97,3,6
pair5,5,LIRCMOP9_BC,5,95,153,155,0.19,0.00497304088363084,33.6842105263158,20,0.3,0.00667874329495498,0.004008014632018,100,0,6
pair5,5,LIRCMOP10_BC,5,170,211,225,0.34,0.00889912579176046,18.8235294117647,20,0.4,0.000954171699969625,0.00365407333429767,100,0,6
