variant,maxCandidatePairsPerRef,problem,run,target_FE,actual_FE,gen,bmem_count,boundary_count,bmem_ref_coverage,finite_gap_count,inf_gap_count,median_gap,max_gap,train_count,query_count,condition_dim,train_param_ratio,gan_sample_reuse,train_pair_dec_dist50,train_pair_dec_dist90,train_tau_iqr,missing_ref_query_count,large_gap_query_count,raw_generated_count,feasible_generated_count,generated_per_train,boundary_dist50,boundary_dist90,query_width90,segment_width90,segment_width90_ratio,side_rate,pair_margin50,ref_cover,query_obj_dist50,query_obj_dist90,feasible_rate,boundary_sample_current_count,boundary_sample_prev_pair_count,boundary_sample_merged_count,boundary_sample_finite_count,boundary_feasible_count,boundary_infeasible_count,boundary_main_feasible_count,boundary_ref_with_main_feasible_count,boundary_ref_with_neighbor_infeasible_count,boundary_ref_pairable_count,boundary_pair_distance_count,boundary_pair_dominated_skip_count,boundary_pair_appended_count,boundary_candidate_raw_count,boundary_candidate_finite_count,boundary_candidate_pareto_count,boundary_candidate_gap_count,boundary_candidate_dedup_count,boundary_candidate_final_count,dataset_bmem_input_count,dataset_valid_train_count,dataset_invalid_train_count,dataset_query_count
pair3,3,LIRCMOP8_BC,1,30000,30182,139,34,1,0.12,34,0,0.0021771415081588,0.00372022860614192,34,20,3,0.00177982515835209,94.1176470588235,0.287151608887335,0.442639927373476,0,20,0,20,3,0.588235294117647,0.0184107871014576,0.0332635197736787,0,0.0572821041494561,NaN,0.55,0.00366956674925384,0.25,0.0400992273235148,0.0574454434800459,0.15,400,39,478,478,360,118,163,36,68,15,1281,52,40,40,40,40,34,34,34,34,34,0,20
pair3,3,LIRCMOP8_BC,1,50000,50202,230,144,1,0.48,144,0,0.00182739518162258,0.00630096068790176,144,20,3,0.00753808302360886,22.2222222222222,0.259083518128759,0.430856985011959,0,20,0,20,1,0.138888888888889,0.0100620586445484,0.0339752432767359,0,0.039476125282172,NaN,0.55,0.000786362769417737,0.0416666666666667,0.0132904222578335,0.0402109623098888,0.05,400,142,684,684,385,299,275,52,100,52,8864,50,153,153,153,153,144,144,144,144,144,0,20
pair3,3,LIRCMOP8_BC,1,70000,70002,320,105,1,0.35,105,0,0.000664625315373158,0.00216923575779633,105,20,3,0.00549651887138146,30.4761904761905,0.273762817307268,0.427780280975872,0,20,0,20,12,0.19047619047619,0.0190839201117987,0.0324401114775643,0,0.0341245111917933,NaN,0.6,0.0147517267866821,0.114285714285714,0.0208858467895074,0.0343595295832989,0.6,400,123,646,646,395,251,271,62,77,44,11785,17,126,126,126,126,105,105,105,105,105,0,20
pair3,3,LIRCMOP8_BC,1,100000,100142,457,192,1,0.64,192,0,0.00154701488833313,0.00457512908942604,192,20,3,0.0100507773648118,16.6666666666667,0.319856803792392,0.631884014510595,0,20,0,20,5,0.104166666666667,0.018418840758064,0.0250527137408006,0,0.0262504921131671,NaN,0.6,0.00519860799673263,0.09375,0.0225792564012641,0.0303026093688973,0.25,400,196,792,792,410,382,325,68,100,68,12858,4,204,204,204,204,192,192,192,192,192,0,20
pair3,3,LIRCMOP9_BC,1,10000,10121,47,27,1,0.09,27,0,0.000774626425770896,0.00259958017839715,27,20,3,0.00141339056692666,100,0.316416656178257,0.547136337512718,0,20,0,20,17,0.740740740740741,1.51395524731354e-05,0.000164920111182183,0,0.00274821718749218,NaN,0.95,0.0339734434899532,0.222222222222222,0.00937924452385033,0.0182436752061875,0.85,400,33,466,466,244,222,111,11,75,11,6014,26,33,33,33,33,27,27,27,27,27,0,20
pair3,3,LIRCMOP9_BC,1,30000,30141,138,39,1,0.13,39,0,0.00224630488440471,0.00686816200599454,39,20,3,0.0020415641522274,82.0512820512821,0.0925203954842907,0.132603725484726,0,20,0,20,16,0.512820512820513,0.00024292554465377,0.000560077761166563,0,0.000717025946486878,NaN,0.05,-0.0103677617926181,0.307692307692308,0.0031393506322323,0.00492252135342429,0.8,400,74,548,548,379,169,231,14,67,13,16155,95,39,39,39,39,39,39,39,39,39,0,20
pair3,3,LIRCMOP9_BC,1,50000,50161,229,75,1,0.25,75,0,0.00659024777886762,0.0142426205043739,75,20,3,0.00392608490812961,42.6666666666667,0.0755019264132933,0.119441047016178,0,20,0,20,12,0.266666666666667,0.000604158776280579,0.232814845055534,0,0.23371084900546,NaN,0.55,0.00297255071173182,0.32,0.0028119822674891,0.248970441922195,0.6,400,66,532,532,323,209,221,28,80,26,5495,253,78,78,78,75,75,75,75,75,75,0,20
pair3,3,LIRCMOP9_BC,1,70000,70181,320,57,1,0.19,57,0,0.00205588640688072,0.00909287190486037,57,20,3,0.00298382453017851,56.140350877193,0.0755019264132933,0.161341502323592,0,20,0,20,5,0.350877192982456,0.000309090523538934,0.0111955991049509,0,0.0174707631502534,NaN,0.6,0.00482277625737491,0.210526315789474,0.000990108334250163,0.0187168774870414,0.25,400,51,502,502,269,233,196,19,100,19,6038,66,57,57,57,57,57,57,57,57,57,0,20
pair3,3,LIRCMOP9_BC,1,100000,100101,456,78,1,0.26,78,0,0.00396501717127723,0.012705148161334,78,20,3,0.0040831283044548,41.025641025641,0.0816628588540874,0.127736873573304,0,20,0,20,2,0.256410256410256,0.000460713440502792,0.000959171432336521,0,0.00100911154632687,NaN,0.75,0.00330504025767663,0.0769230769230769,0.000790646867374454,0.00199326290737043,0.1,400,66,532,532,267,265,196,28,100,28,4137,154,78,78,78,78,78,78,78,78,78,0,20
pair3,3,LIRCMOP10_BC,1,10000,10124,47,45,1,0.15,45,0,0.0047392797312317,0.0149109452960474,45,20,3,0.00235565094487777,71.1111111111111,0.472319541945856,0.76000453234929,0,20,0,20,0,0.444444444444444,0.000100219681307948,0.000465758634504257,0,0.000632263866330335,NaN,0.05,-0.0558361429034352,0,0.0053746456388526,0.0119236413418499,0,400,37,474,474,310,164,166,16,67,15,4740,106,45,45,45,45,45,45,45,45,45,0,20
